arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1774831348272683008,1774831348272683008,1774831348274876218,0.000000,2.193210,2.193210,200
1774831348272875008,1774831348274876218,1774831348277165243,2.001210,2.289025,4.290235,200
1774831348274620928,1774831348277165243,1774831348283735890,2.544315,6.570647,9.114962,200
1774831348276592896,1774831348283735890,1774831348286733038,7.142994,2.997148,10.140142,200
1774831348295710976,1774831348295710976,1774831348299487738,0.000000,3.776762,3.776762,200
1774831348315138048,1774831348315138048,1774831348318340219,0.000000,3.202171,3.202171,200
1774831348373300992,1774831348373300992,1774831348375562370,0.000000,2.261378,2.261378,200
1774831348444667136,1774831348444667136,1774831348448378761,0.000000,3.711625,3.711625,200
1774831348467685888,1774831348467685888,1774831348470647637,0.000000,2.961749,2.961749,200
1774831348497643008,1774831348497643008,1774831348500275312,0.000000,2.632304,2.632304,200
1774831348503941120,1774831348503941120,1774831348506942599,0.000000,3.001479,3.001479,200
1774831348513669120,1774831348513669120,1774831348517630829,0.000000,3.961709,3.961709,200
1774831348534953984,1774831348534953984,1774831348538618216,0.000000,3.664232,3.664232,200
1774831348545039872,1774831348545039872,1774831348549156450,0.000000,4.116578,4.116578,200
1774831348551371008,1774831348551371008,1774831348554654871,0.000000,3.283863,3.283863,200
1774831348591523840,1774831348591523840,1774831348593639980,0.000000,2.116140,2.116140,200
1774831348609455104,1774831348609455104,1774831348611785629,0.000000,2.330525,2.330525,200
1774831348610426880,1774831348611785629,1774831348614419903,1.358749,2.634274,3.993023,200
1774831348669711104,1774831348669711104,1774831348672282592,0.000000,2.571488,2.571488,200
1774831348719788032,1774831348719788032,1774831348722981032,0.000000,3.193000,3.193000,200
1774831348747129088,1774831348747129088,1774831348749234054,0.000000,2.104966,2.104966,200
1774831348771033088,1774831348771033088,1774831348773496968,0.000000,2.463880,2.463880,200
1774831348816121088,1774831348816121088,1774831348818595110,0.000000,2.474022,2.474022,200
1774831348837188864,1774831348837188864,1774831348839685403,0.000000,2.496539,2.496539,200
1774831348857257984,1774831348857257984,1774831348859505108,0.000000,2.247124,2.247124,200
1774831348966237184,1774831348966237184,1774831348968338450,0.000000,2.101266,2.101266,200
1774831348995851008,1774831348995851008,1774831348998866966,0.000000,3.015958,3.015958,200
1774831348999796992,1774831348999796992,1774831349003920755,0.000000,4.123763,4.123763,200
1774831349026444800,1774831349026444800,1774831349029622932,0.000000,3.178132,3.178132,200
1774831349065367040,1774831349065367040,1774831349068234507,0.000000,2.867467,2.867467,200
1774831349121346048,1774831349121346048,1774831349125051287,0.000000,3.705239,3.705239,200
1774831349168092928,1774831349168092928,1774831349171398423,0.000000,3.305495,3.305495,200
1774831349250981120,1774831349250981120,1774831349253221133,0.000000,2.240013,2.240013,200
1774831349279759872,1774831349279759872,1774831349283340108,0.000000,3.580236,3.580236,200
1774831349413989120,1774831349413989120,1774831349416205439,0.000000,2.216319,2.216319,200
1774831349445616128,1774831349445616128,1774831349447918753,0.000000,2.302625,2.302625,200
1774831349476672768,1774831349476672768,1774831349479759124,0.000000,3.086356,3.086356,200
1774831349516062976,1774831349516062976,1774831349518822783,0.000000,2.759807,2.759807,200
1774831349555207936,1774831349555207936,1774831349557350782,0.000000,2.142846,2.142846,200
1774831349647824128,1774831349647824128,1774831349649935639,0.000000,2.111511,2.111511,200
1774831349668751872,1774831349668751872,1774831349671671358,0.000000,2.919486,2.919486,200
1774831349717710848,1774831349717710848,1774831349721161861,0.000000,3.451013,3.451013,200
1774831349741552128,1774831349741552128,1774831349744110710,0.000000,2.558582,2.558582,200
1774831349747389184,1774831349747389184,1774831349751455476,0.000000,4.066292,4.066292,200
1774831349771620096,1774831349771620096,1774831349773874092,0.000000,2.253996,2.253996,200
1774831349774644992,1774831349774644992,1774831349784096201,0.000000,9.451209,9.451209,200
1774831349778199040,1774831349784096201,1774831349788967538,5.897161,4.871337,10.768498,200
1774831349787077888,1774831349788967538,1774831349791449275,1.889650,2.481737,4.371387,200
1774831349802966016,1774831349802966016,1774831349805574317,0.000000,2.608301,2.608301,200
1774831349830432768,1774831349830432768,1774831349834027295,0.000000,3.594527,3.594527,200
1774831349846652928,1774831349846652928,1774831349849438529,0.000000,2.785601,2.785601,200
1774831349879798784,1774831349879798784,1774831349882699927,0.000000,2.901143,2.901143,200
1774831349880770048,1774831349882699927,1774831349884934540,1.929879,2.234613,4.164492,200
1774831349894947072,1774831349894947072,1774831349897198848,0.000000,2.251776,2.251776,200
1774831349982574080,1774831349982574080,1774831349984764325,0.000000,2.190245,2.190245,200
1774831350035689216,1774831350035689216,1774831350038447141,0.000000,2.757925,2.757925,200
1774831350062923008,1774831350062923008,1774831350065819858,0.000000,2.896850,2.896850,200
1774831350086405888,1774831350086405888,1774831350088626113,0.000000,2.220225,2.220225,200
1774831350122763008,1774831350122763008,1774831350125956651,0.000000,3.193643,3.193643,200
1774831350146179840,1774831350146179840,1774831350148401535,0.000000,2.221695,2.221695,200
1774831350163207168,1774831350163207168,1774831350165316122,0.000000,2.108954,2.108954,200
1774831350330238976,1774831350330238976,1774831350332679266,0.000000,2.440290,2.440290,200
