arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1774346919156210944,1774346919156210944,1774346919157926386,0.000000,1.715442,1.715442,200
1774346919161683968,1774346919161683968,1774346919164433925,0.000000,2.749957,2.749957,200
1774346919164175872,1774346919164433925,1774346919165145192,0.258053,0.711267,0.969320,200
1774346919170429952,1774346919170429952,1774346919171346386,0.000000,0.916434,0.916434,200
1774346919172358144,1774346919172358144,1774346919173081296,0.000000,0.723152,0.723152,200
1774346919175446016,1774346919175446016,1774346919177573695,0.000000,2.127679,2.127679,200
1774346919187345152,1774346919187345152,1774346919188786746,0.000000,1.441594,1.441594,200
1774346919187489024,1774346919188786746,1774346919191370042,1.297722,2.583296,3.881018,200
1774346919195902208,1774346919195902208,1774346919196550044,0.000000,0.647836,0.647836,200
1774346919272846080,1774346919272846080,1774346919274583316,0.000000,1.737236,1.737236,200
1774346919273540864,1774346919274583316,1774346919278604059,1.042452,4.020743,5.063195,200
1774346919399406080,1774346919399406080,1774346919402739015,0.000000,3.332935,3.332935,200
1774346919423659008,1774346919423659008,1774346919425799556,0.000000,2.140548,2.140548,200
1774346919459953920,1774346919459953920,1774346919462402417,0.000000,2.448497,2.448497,200
1774346919474713088,1774346919474713088,1774346919476969233,0.000000,2.256145,2.256145,200
1774346919569054976,1774346919569054976,1774346919572138770,0.000000,3.083794,3.083794,200
1774346919706875136,1774346919706875136,1774346919708082067,0.000000,1.206931,1.206931,200
1774346920090771968,1774346920090771968,1774346920091849231,0.000000,1.077263,1.077263,200
1774346920174731008,1774346920174731008,1774346920177414670,0.000000,2.683662,2.683662,200
1774346920276815872,1774346920276815872,1774346920279751290,0.000000,2.935418,2.935418,200
1774346920372143872,1774346920372143872,1774346920374153270,0.000000,2.009398,2.009398,200
1774346920372723968,1774346920374153270,1774346920376418597,1.429302,2.265327,3.694629,200
1774346920406670080,1774346920406670080,1774346920407948294,0.000000,1.278214,1.278214,200
1774346920434752000,1774346920434752000,1774346920437178576,0.000000,2.426576,2.426576,200
1774346920478631936,1774346920478631936,1774346920480486227,0.000000,1.854291,1.854291,200
1774346920517831168,1774346920517831168,1774346920518358609,0.000000,0.527441,0.527441,200
1774346920542537984,1774346920542537984,1774346920543795847,0.000000,1.257863,1.257863,200
1774346920841120000,1774346920841120000,1774346920842346047,0.000000,1.226047,1.226047,200
1774346920932389120,1774346920932389120,1774346920933211161,0.000000,0.822041,0.822041,200
1774346921087478016,1774346921087478016,1774346921089618564,0.000000,2.140548,2.140548,200
1774346921119981056,1774346921119981056,1774346921123112254,0.000000,3.131198,3.131198,200
1774346921229542144,1774346921229542144,1774346921232259565,0.000000,2.717421,2.717421,200
1774346921367773952,1774346921367773952,1774346921369155709,0.000000,1.381757,1.381757,200
1774346921511069184,1774346921511069184,1774346921512240868,0.000000,1.171684,1.171684,200
1774346921513295872,1774346921513295872,1774346921514780089,0.000000,1.484217,1.484217,200
1774346921549447936,1774346921549447936,1774346921552652508,0.000000,3.204572,3.204572,200
1774346921849052928,1774346921849052928,1774346921850703068,0.000000,1.650140,1.650140,200
1774346921903819008,1774346921903819008,1774346921907918770,0.000000,4.099762,4.099762,200
1774346921941137920,1774346921941137920,1774346921941926171,0.000000,0.788251,0.788251,200
1774346922005292032,1774346922005292032,1774346922010281953,0.000000,4.989921,4.989921,200
1774346922034625024,1774346922034625024,1774346922037770698,0.000000,3.145674,3.145674,200
1774346922066855936,1774346922066855936,1774346922069404835,0.000000,2.548899,2.548899,200
1774346922307853056,1774346922307853056,1774346922310936850,0.000000,3.083794,3.083794,200
1774346922343090944,1774346922343090944,1774346922344394821,0.000000,1.303877,1.303877,200
1774346922409256960,1774346922409256960,1774346922410741177,0.000000,1.484217,1.484217,200
1774346922414856960,1774346922414856960,1774346922417437696,0.000000,2.580736,2.580736,200
1774346922521548032,1774346922521548032,1774346922522195043,0.000000,0.647011,0.647011,200
1774346922577990912,1774346922577990912,1774346922582689912,0.000000,4.699000,4.699000,200
1774346922633966848,1774346922633966848,1774346922634948026,0.000000,0.981178,0.981178,200
1774346922706348032,1774346922706348032,1774346922708085268,0.000000,1.737236,1.737236,200
1774346922919162880,1774346922919162880,1774346922920938145,0.000000,1.775265,1.775265,200
1774346923050448896,1774346923050448896,1774346923052061048,0.000000,1.612152,1.612152,200
1774346923131827200,1774346923131827200,1774346923133482528,0.000000,1.655328,1.655328,200
1774346923239734016,1774346923239734016,1774346923241775513,0.000000,2.041497,2.041497,200
1774346923299475968,1774346923299475968,1774346923300896873,0.000000,1.420905,1.420905,200
1774346923623662848,1774346923623662848,1774346923625012854,0.000000,1.350006,1.350006,200
1774346923658091008,1774346923658091008,1774346923659051134,0.000000,0.960126,0.960126,200
1774346923678469888,1774346923678469888,1774346923683437616,0.000000,4.967728,4.967728,200
1774346923913296896,1774346923913296896,1774346923914474866,0.000000,1.177970,1.177970,200
1774346924002778112,1774346924002778112,1774346924006221265,0.000000,3.443153,3.443153,200
1774346924020452096,1774346924020452096,1774346924022791732,0.000000,2.339636,2.339636,200
1774346924100089088,1774346924100089088,1774346924102770775,0.000000,2.681687,2.681687,200
1774346924181025024,1774346924181025024,1774346924184020892,0.000000,2.995868,2.995868,200
1774346924233798912,1774346924233798912,1774346924236496770,0.000000,2.697858,2.697858,200
1774346924502091008,1774346924502091008,1774346924503654741,0.000000,1.563733,1.563733,200
1774346924688805120,1774346924688805120,1774346924690256023,0.000000,1.450903,1.450903,200
1774346924694836992,1774346924694836992,1774346924697237137,0.000000,2.400145,2.400145,200
1774346925005009920,1774346925005009920,1774346925006232149,0.000000,1.222229,1.222229,200
1774346925075681024,1774346925075681024,1774346925077541935,0.000000,1.860911,1.860911,200
1774346925227731968,1774346925227731968,1774346925229708908,0.000000,1.976940,1.976940,200
1774346925243015936,1774346925243015936,1774346925244480361,0.000000,1.464425,1.464425,200
1774346925328873984,1774346925328873984,1774346925330800020,0.000000,1.926036,1.926036,200
1774346925542643968,1774346925542643968,1774346925545764723,0.000000,3.120755,3.120755,200
1774346925582432000,1774346925582432000,1774346925583887909,0.000000,1.455909,1.455909,200
1774346925705512960,1774346925705512960,1774346925708162805,0.000000,2.649845,2.649845,200
1774346925745763072,1774346925745763072,1774346925746808482,0.000000,1.045410,1.045410,200
1774346925870671872,1774346925870671872,1774346925872346486,0.000000,1.674614,1.674614,200
1774346925936069120,1774346925936069120,1774346925937942362,0.000000,1.873242,1.873242,200
1774346925960822016,1774346925960822016,1774346925962942818,0.000000,2.120802,2.120802,200
1774346926067933184,1774346926067933184,1774346926069007763,0.000000,1.074579,1.074579,200
1774346926087493888,1774346926087493888,1774346926090221021,0.000000,2.727133,2.727133,200
1774346926185291008,1774346926185291008,1774346926186757508,0.000000,1.466500,1.466500,200
1774346926433840128,1774346926433840128,1774346926435231031,0.000000,1.390903,1.390903,200
1774346926442092800,1774346926442092800,1774346926444252230,0.000000,2.159430,2.159430,200
1774346926559958016,1774346926559958016,1774346926561967414,0.000000,2.009398,2.009398,200
1774346926576731904,1774346926576731904,1774346926578482305,0.000000,1.750401,1.750401,200
1774346926672882944,1774346926672882944,1774346926673620386,0.000000,0.737442,0.737442,200
1774346926825264896,1774346926825264896,1774346926826877048,0.000000,1.612152,1.612152,200
1774346926846452992,1774346926846452992,1774346926847937209,0.000000,1.484217,1.484217,200
1774346926926152960,1774346926926152960,1774346926929821737,0.000000,3.668777,3.668777,200
1774346926973117184,1774346926973117184,1774346926975328369,0.000000,2.211185,2.211185,200
1774346927092817920,1774346927092817920,1774346927094321786,0.000000,1.503866,1.503866,200
1774346927104896000,1774346927104896000,1774346927105973922,0.000000,1.077922,1.077922,200
1774346927151403776,1774346927151403776,1774346927154496842,0.000000,3.093066,3.093066,200
1774346927178215936,1774346927178215936,1774346927179671454,0.000000,1.455518,1.455518,200
1774346927238904832,1774346927238904832,1774346927240235983,0.000000,1.331151,1.331151,200
1774346927273899008,1774346927273899008,1774346927276406479,0.000000,2.507471,2.507471,200
1774346927552809984,1774346927552809984,1774346927555160323,0.000000,2.350339,2.350339,200
1774346927755681024,1774346927755681024,1774346927756620986,0.000000,0.939962,0.939962,200
1774346927759251200,1774346927759251200,1774346927760073241,0.000000,0.822041,0.822041,200
1774346927950212096,1774346927950212096,1774346927954630369,0.000000,4.418273,4.418273,200
1774346928225015040,1774346928225015040,1774346928225990592,0.000000,0.975552,0.975552,200
1774346928244662016,1774346928244662016,1774346928246179015,0.000000,1.516999,1.516999,200
1774346928269762048,1774346928269762048,1774346928271422565,0.000000,1.660517,1.660517,200
1774346928277523968,1774346928277523968,1774346928279735153,0.000000,2.211185,2.211185,200
1774346928722834176,1774346928722834176,1774346928724783862,0.000000,1.949686,1.949686,200
1774346928884210176,1774346928884210176,1774346928888726950,0.000000,4.516774,4.516774,200
1774346928944624896,1774346928944624896,1774346928945741637,0.000000,1.116741,1.116741,200
1774346929511256064,1774346929511256064,1774346929513383743,0.000000,2.127679,2.127679,200
1774346929644893952,1774346929644893952,1774346929646273929,0.000000,1.379977,1.379977,200
1774346929684269056,1774346929684269056,1774346929685288866,0.000000,1.019810,1.019810,200
1774346929774262784,1774346929774262784,1774346929776295002,0.000000,2.032218,2.032218,200
1774346929921011968,1774346929921011968,1774346929923879625,0.000000,2.867657,2.867657,200
1774346930012107008,1774346930012107008,1774346930017360717,0.000000,5.253709,5.253709,200
1774346930258675200,1774346930258675200,1774346930260534070,0.000000,1.858870,1.858870,200
1774346930558135040,1774346930558135040,1774346930560408111,0.000000,2.273071,2.273071,200
1774346930577862144,1774346930577862144,1774346930579098078,0.000000,1.235934,1.235934,200
1774346930698235136,1774346930698235136,1774346930700553397,0.000000,2.318261,2.318261,200
1774346930715557120,1774346930715557120,1774346930716581756,0.000000,1.024636,1.024636,200
1774346930744841984,1774346930744841984,1774346930747033736,0.000000,2.191752,2.191752,200
1774346930842706944,1774346930842706944,1774346930844115603,0.000000,1.408659,1.408659,200
1774346930937673216,1774346930937673216,1774346930938342460,0.000000,0.669244,0.669244,200
1774346931228116992,1774346931228116992,1774346931230503921,0.000000,2.386929,2.386929,200
1774346931362157056,1774346931362157056,1774346931364243202,0.000000,2.086146,2.086146,200
1774346931424226048,1774346931424226048,1774346931426415259,0.000000,2.189211,2.189211,200
1774346931459863040,1774346931459863040,1774346931461069971,0.000000,1.206931,1.206931,200
1774346931593924096,1774346931593924096,1774346931597384667,0.000000,3.460571,3.460571,200
1774346931658199040,1774346931658199040,1774346931659320852,0.000000,1.121812,1.121812,200
