arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1774346919156210944,1774346919156210944,1774346919157842491,0.000000,1.631547,1.631547,200
1774346919161683968,1774346919161683968,1774346919163292157,0.000000,1.608189,1.608189,200
1774346919164175872,1774346919164175872,1774346919165834400,0.000000,1.658528,1.658528,200
1774346919170429952,1774346919170429952,1774346919172921610,0.000000,2.491658,2.491658,200
1774346919172358144,1774346919172921610,1774346919174566687,0.563466,1.645077,2.208543,200
1774346919175446016,1774346919175446016,1774346919176274866,0.000000,0.828850,0.828850,200
1774346919187345152,1774346919187345152,1774346919189415980,0.000000,2.070828,2.070828,200
1774346919187489024,1774346919189415980,1774346919190949935,1.926956,1.533955,3.460911,200
1774346919195902208,1774346919195902208,1774346919197475329,0.000000,1.573121,1.573121,200
1774346919272846080,1774346919272846080,1774346919274704327,0.000000,1.858247,1.858247,200
1774346919273540864,1774346919274704327,1774346919276674050,1.163463,1.969723,3.133186,200
1774346919399406080,1774346919399406080,1774346919402545208,0.000000,3.139128,3.139128,200
1774346919423659008,1774346919423659008,1774346919426094757,0.000000,2.435749,2.435749,200
1774346919459953920,1774346919459953920,1774346919461807173,0.000000,1.853253,1.853253,200
1774346919474713088,1774346919474713088,1774346919475924933,0.000000,1.211845,1.211845,200
1774346919569054976,1774346919569054976,1774346919570110301,0.000000,1.055325,1.055325,200
1774346919706875136,1774346919706875136,1774346919708858752,0.000000,1.983616,1.983616,200
1774346920090771968,1774346920090771968,1774346920094151620,0.000000,3.379652,3.379652,200
1774346920174731008,1774346920174731008,1774346920176521492,0.000000,1.790484,1.790484,200
1774346920276815872,1774346920276815872,1774346920278478549,0.000000,1.662677,1.662677,200
1774346920372143872,1774346920372143872,1774346920374432077,0.000000,2.288205,2.288205,200
1774346920372723968,1774346920374432077,1774346920375279300,1.708109,0.847223,2.555332,200
1774346920406670080,1774346920406670080,1774346920408169921,0.000000,1.499841,1.499841,200
1774346920434752000,1774346920434752000,1774346920436993269,0.000000,2.241269,2.241269,200
1774346920478631936,1774346920478631936,1774346920481346785,0.000000,2.714849,2.714849,200
1774346920517831168,1774346920517831168,1774346920519385763,0.000000,1.554595,1.554595,200
1774346920542537984,1774346920542537984,1774346920544655215,0.000000,2.117231,2.117231,200
1774346920841120000,1774346920841120000,1774346920843105475,0.000000,1.985475,1.985475,200
1774346920932389120,1774346920932389120,1774346920934983004,0.000000,2.593884,2.593884,200
1774346921087478016,1774346921087478016,1774346921088482550,0.000000,1.004534,1.004534,200
1774346921119981056,1774346921119981056,1774346921122311413,0.000000,2.330357,2.330357,200
1774346921229542144,1774346921229542144,1774346921230363904,0.000000,0.821760,0.821760,200
1774346921367773952,1774346921367773952,1774346921368246545,0.000000,0.472593,0.472593,200
1774346921511069184,1774346921511069184,1774346921512363418,0.000000,1.294234,1.294234,200
1774346921513295872,1774346921513295872,1774346921514404717,0.000000,1.108845,1.108845,200
1774346921549447936,1774346921549447936,1774346921552166331,0.000000,2.718395,2.718395,200
1774346921849052928,1774346921849052928,1774346921851497995,0.000000,2.445067,2.445067,200
1774346921903819008,1774346921903819008,1774346921904771713,0.000000,0.952705,0.952705,200
1774346921941137920,1774346921941137920,1774346921943817615,0.000000,2.679695,2.679695,200
1774346922005292032,1774346922005292032,1774346922006353958,0.000000,1.061926,1.061926,200
1774346922034625024,1774346922034625024,1774346922036304493,0.000000,1.679469,1.679469,200
1774346922066855936,1774346922066855936,1774346922068369634,0.000000,1.513698,1.513698,200
1774346922307853056,1774346922307853056,1774346922309709941,0.000000,1.856885,1.856885,200
1774346922343090944,1774346922343090944,1774346922345732393,0.000000,2.641449,2.641449,200
1774346922409256960,1774346922409256960,1774346922411670597,0.000000,2.413637,2.413637,200
1774346922414856960,1774346922414856960,1774346922416946073,0.000000,2.089113,2.089113,200
1774346922521548032,1774346922521548032,1774346922523975642,0.000000,2.427610,2.427610,200
1774346922577990912,1774346922577990912,1774346922580218906,0.000000,2.227994,2.227994,200
1774346922633966848,1774346922633966848,1774346922635248132,0.000000,1.281284,1.281284,200
1774346922706348032,1774346922706348032,1774346922707572650,0.000000,1.224618,1.224618,200
1774346922919162880,1774346922919162880,1774346922920548908,0.000000,1.386028,1.386028,200
1774346923050448896,1774346923050448896,1774346923052700242,0.000000,2.251346,2.251346,200
1774346923131827200,1774346923131827200,1774346923133374433,0.000000,1.547233,1.547233,200
1774346923239734016,1774346923239734016,1774346923245377904,0.000000,5.643888,5.643888,200
1774346923299475968,1774346923299475968,1774346923300639688,0.000000,1.163720,1.163720,200
1774346923623662848,1774346923623662848,1774346923624674621,0.000000,1.011773,1.011773,200
1774346923658091008,1774346923658091008,1774346923660666971,0.000000,2.575963,2.575963,200
1774346923678469888,1774346923678469888,1774346923682042180,0.000000,3.572292,3.572292,200
1774346923913296896,1774346923913296896,1774346923915555426,0.000000,2.258530,2.258530,200
1774346924002778112,1774346924002778112,1774346924005442371,0.000000,2.664259,2.664259,200
1774346924020452096,1774346924020452096,1774346924024032433,0.000000,3.580337,3.580337,200
1774346924100089088,1774346924100089088,1774346924101762028,0.000000,1.672940,1.672940,200
1774346924181025024,1774346924181025024,1774346924181885315,0.000000,0.860291,0.860291,200
1774346924233798912,1774346924233798912,1774346924235142522,0.000000,1.343610,1.343610,200
1774346924502091008,1774346924502091008,1774346924504916035,0.000000,2.825027,2.825027,200
1774346924688805120,1774346924688805120,1774346924689656537,0.000000,0.851417,0.851417,200
1774346924694836992,1774346924694836992,1774346924696620210,0.000000,1.783218,1.783218,200
1774346925005009920,1774346925005009920,1774346925007000393,0.000000,1.990473,1.990473,200
1774346925075681024,1774346925075681024,1774346925077178379,0.000000,1.497355,1.497355,200
1774346925227731968,1774346925227731968,1774346925230250768,0.000000,2.518800,2.518800,200
1774346925243015936,1774346925243015936,1774346925245360951,0.000000,2.345015,2.345015,200
1774346925328873984,1774346925328873984,1774346925334477498,0.000000,5.603514,5.603514,200
1774346925542643968,1774346925542643968,1774346925545035426,0.000000,2.391458,2.391458,200
1774346925582432000,1774346925582432000,1774346925583724607,0.000000,1.292607,1.292607,200
1774346925705512960,1774346925705512960,1774346925706836733,0.000000,1.323773,1.323773,200
