arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1774346919156210944,1774346919156210944,1774346919157878260,0.000000,1.667316,1.667316,200
1774346919161683968,1774346919161683968,1774346919162635636,0.000000,0.951668,0.951668,200
1774346919164175872,1774346919164175872,1774346919168252580,0.000000,4.076708,4.076708,200
1774346919170429952,1774346919170429952,1774346919173350107,0.000000,2.920155,2.920155,200
1774346919172358144,1774346919173350107,1774346919176874046,0.991963,3.523939,4.515902,200
1774346919175446016,1774346919176874046,1774346919180031972,1.428030,3.157926,4.585956,200
1774346919187345152,1774346919187345152,1774346919191444914,0.000000,4.099762,4.099762,200
1774346919187489024,1774346919191444914,1774346919193019014,3.955890,1.574100,5.529990,200
1774346919195902208,1774346919195902208,1774346919197443738,0.000000,1.541530,1.541530,200
1774346919272846080,1774346919272846080,1774346919273797367,0.000000,0.951287,0.951287,200
1774346919273540864,1774346919273797367,1774346919275890403,0.256503,2.093036,2.349539,200
1774346919399406080,1774346919399406080,1774346919407041333,0.000000,7.635253,7.635253,200
1774346919423659008,1774346919423659008,1774346919426678260,0.000000,3.019252,3.019252,200
1774346919459953920,1774346919459953920,1774346919462747940,0.000000,2.794020,2.794020,200
1774346919474713088,1774346919474713088,1774346919475655394,0.000000,0.942306,0.942306,200
1774346919569054976,1774346919569054976,1774346919570312798,0.000000,1.257822,1.257822,200
1774346919706875136,1774346919706875136,1774346919709379653,0.000000,2.504517,2.504517,200
1774346920090771968,1774346920090771968,1774346920094804644,0.000000,4.032676,4.032676,200
1774346920174731008,1774346920174731008,1774346920179541520,0.000000,4.810512,4.810512,200
1774346920276815872,1774346920276815872,1774346920279890871,0.000000,3.074999,3.074999,200
1774346920372143872,1774346920372143872,1774346920374182810,0.000000,2.038938,2.038938,200
1774346920372723968,1774346920374182810,1774346920375644755,1.458842,1.461945,2.920787,200
1774346920406670080,1774346920406670080,1774346920408155895,0.000000,1.485815,1.485815,200
1774346920434752000,1774346920434752000,1774346920435360226,0.000000,0.608226,0.608226,200
1774346920478631936,1774346920478631936,1774346920485010033,0.000000,6.378097,6.378097,200
1774346920517831168,1774346920517831168,1774346920518542435,0.000000,0.711267,0.711267,200
1774346920542537984,1774346920542537984,1774346920544093012,0.000000,1.555028,1.555028,200
1774346920841120000,1774346920841120000,1774346920843546576,0.000000,2.426576,2.426576,200
1774346920932389120,1774346920932389120,1774346920933792044,0.000000,1.402924,1.402924,200
1774346921087478016,1774346921087478016,1774346921088570893,0.000000,1.092877,1.092877,200
1774346921119981056,1774346921119981056,1774346921121058319,0.000000,1.077263,1.077263,200
1774346921229542144,1774346921229542144,1774346921230991041,0.000000,1.448897,1.448897,200
1774346921367773952,1774346921367773952,1774346921368980883,0.000000,1.206931,1.206931,200
1774346921511069184,1774346921511069184,1774346921512729697,0.000000,1.660513,1.660513,200
1774346921513295872,1774346921513295872,1774346921516211077,0.000000,2.915205,2.915205,200
1774346921549447936,1774346921549447936,1774346921550711259,0.000000,1.263323,1.263323,200
1774346921849052928,1774346921849052928,1774346921850407013,0.000000,1.354085,1.354085,200
1774346921903819008,1774346921903819008,1774346921905998953,0.000000,2.179945,2.179945,200
1774346921941137920,1774346921941137920,1774346921942536993,0.000000,1.399073,1.399073,200
1774346922005292032,1774346922005292032,1774346922006506421,0.000000,1.214389,1.214389,200
1774346922034625024,1774346922034625024,1774346922037459760,0.000000,2.834736,2.834736,200
1774346922066855936,1774346922066855936,1774346922068608871,0.000000,1.752935,1.752935,200
1774346922307853056,1774346922307853056,1774346922310223102,0.000000,2.370046,2.370046,200
1774346922343090944,1774346922343090944,1774346922344612851,0.000000,1.521907,1.521907,200
1774346922409256960,1774346922409256960,1774346922412700113,0.000000,3.443153,3.443153,200
1774346922414856960,1774346922414856960,1774346922416124376,0.000000,1.267416,1.267416,200
1774346922521548032,1774346922521548032,1774346922523421274,0.000000,1.873242,1.873242,200
1774346922577990912,1774346922577990912,1774346922579960531,0.000000,1.969619,1.969619,200
1774346922633966848,1774346922633966848,1774346922635391955,0.000000,1.425107,1.425107,200
1774346922706348032,1774346922706348032,1774346922707765998,0.000000,1.417966,1.417966,200
1774346922919162880,1774346922919162880,1774346922919788845,0.000000,0.625965,0.625965,200
1774346923050448896,1774346923050448896,1774346923052205576,0.000000,1.756680,1.756680,200
1774346923131827200,1774346923131827200,1774346923133493077,0.000000,1.665877,1.665877,200
1774346923239734016,1774346923239734016,1774346923242121358,0.000000,2.387342,2.387342,200
1774346923299475968,1774346923299475968,1774346923302050237,0.000000,2.574269,2.574269,200
1774346923623662848,1774346923623662848,1774346923626030239,0.000000,2.367391,2.367391,200
1774346923658091008,1774346923658091008,1774346923661104685,0.000000,3.013677,3.013677,200
1774346923678469888,1774346923678469888,1774346923680856817,0.000000,2.386929,2.386929,200
1774346923913296896,1774346923913296896,1774346923914085046,0.000000,0.788150,0.788150,200
1774346924002778112,1774346924002778112,1774346924004553738,0.000000,1.775626,1.775626,200
1774346924020452096,1774346924020452096,1774346924021275430,0.000000,0.823334,0.823334,200
1774346924100089088,1774346924100089088,1774346924102071697,0.000000,1.982609,1.982609,200
1774346924181025024,1774346924181025024,1774346924184040955,0.000000,3.015931,3.015931,200
