arrival_unix_ns,service_ms,queue_ms,response_ms,status_code
1774347106481780992,0.888135,0.932213,1.820348,200
1774347106470211072,8.056899,1.656779,9.713678,200
1774347106466908928,6.258363,8.435006,14.693369,200
1774347106474041088,1.331726,39.863977,41.195703,200
1774347106495172864,2.102643,6.039560,8.142203,200
1774347106483977984,24.807576,23.626213,48.433789,201
1774347106483758080,42.507557,17.519060,60.026617,200
1774347106613688064,1.806392,17.432811,19.239203,201
1774347106488212224,30.471532,8.955101,39.426633,200
1774347106491777792,17.894055,19.067910,36.961965,201
1774347106634507008,3.141174,3.362944,6.504118,200
1774347106673779968,0.638971,0.625902,1.264873,200
1774347106631289856,1.176630,13.229090,14.405720,200
1774347106693989120,4.485017,2.399127,6.884144,201
1774347106472090112,9.904479,84.246527,94.151006,201
1774347106656382208,0.898507,0.648824,1.547331,200
1774347106635873024,2.837290,9.150928,11.988218,201
1774347106753937920,9.749574,0.509450,10.259024,200
1774347106788086016,1.625498,0.851795,2.477293,200
1774347106774108928,5.538694,0.609568,6.148262,200
1774347106781441024,3.019648,0.591677,3.611325,200
1774347106780975104,4.199650,6.712597,10.912247,201
1774347106746804992,0.604618,0.824105,1.428723,200
1774347106784655104,4.125079,12.111007,16.236086,201
1774347106760164096,0.934423,0.583008,1.517431,200
1774347106750909184,2.635001,9.577138,12.212139,200
1774347106765590016,0.825563,3.754876,4.580439,201
1774347106849286144,1.934389,0.853244,2.787633,200
1774347106844145920,1.294107,3.071932,4.366039,201
1774347106855710976,1.493007,1.046836,2.539843,200
1774347106859396864,1.834981,0.591403,2.426384,200
1774347106882203136,2.193841,5.293421,7.487262,201
1774347106881819136,1.097005,0.643475,1.740480,200
1774347106895975168,2.211989,0.661608,2.873597,200
1774347106847963136,3.819984,24.328014,28.147998,201
1774347106889432064,0.840229,1.986196,2.826425,201
1774347106841458176,4.095131,0.795431,4.890562,200
1774347106928828928,0.666121,0.566757,1.232878,200
1774347106931951104,1.470762,0.778038,2.248800,200
1774347106963156992,3.665046,23.810978,27.476024,200
1774347106976978944,2.019566,5.208355,7.227921,200
1774347106966403072,1.974123,12.498207,14.472330,201
1774347106934196992,1.167443,17.291486,18.458929,201
1774347106968941824,2.573529,13.738868,16.312397,201
1774347106946464000,6.679999,11.233462,17.913461,200
1774347106942196992,1.856466,0.803318,2.659784,200
