id,trace_id,arrival_unix_ns,service_start_unix_ns,service_end_unix_ns,response_end_unix_ns,queue_ms,service_ms,response_ms,status_code,bytes_written
4676,25,1774346071604195670,1774346071604203552,1774346071606184203,1774346071606203846,0.008,1.981,2.008,200,3
4677,7,1774346071606446829,1774346071606449692,1774346071606945579,1774346071606966637,0.003,0.496,0.520,200,3
4678,16,1774346071610341083,1774346071610351660,1774346071611973554,1774346071611986561,0.011,1.622,1.645,200,3
4679,2,1774346071612420127,1774346071612425590,1774346071613129485,1774346071613144880,0.005,0.704,0.725,200,3
4680,3,1774346071615924554,1774346071615933799,1774346071618608560,1774346071618636434,0.009,2.675,2.712,200,3
4681,24,1774346071619060967,1774346071619063703,1774346071621175065,1774346071621364656,0.003,2.111,2.304,200,3
4682,5,1774346071626108349,1774346071626118778,1774346071627659048,1774346071627708149,0.010,1.540,1.600,200,3
4683,22,1774346071628278126,1774346071628283399,1774346071632317440,1774346071632349001,0.005,4.034,4.071,200,3
4684,15,1774346071633083168,1774346071633088536,1774346071634442236,1774346071634467933,0.005,1.354,1.385,200,3
4685,23,1774346071634777589,1774346071634781889,1774346071635868590,1774346071635896231,0.004,1.087,1.119,200,3
4686,12,1774346071636131469,1774346071636135790,1774346071638995457,1774346071639022189,0.004,2.860,2.891,200,3
4687,19,1774346071643180821,1774346071643190426,1774346071645788065,1774346071645823472,0.010,2.598,2.643,200,3
4688,26,1774346071646679226,1774346071646684572,1774346071647411237,1774346071647426157,0.005,0.727,0.747,200,3
4689,1,1774346071648675155,1774346071648682045,1774346071649091753,1774346071649100597,0.007,0.410,0.425,200,3
4690,10,1774346071653230394,1774346071653239207,1774346071655392226,1774346071655419698,0.009,2.153,2.189,200,3
4691,4,1774346071659261210,1774346071659268046,1774346071660040558,1774346071660061310,0.007,0.773,0.800,200,3
4692,14,1774346071663810568,1774346071663818577,1774346071665875422,1774346071665892106,0.008,2.057,2.082,200,3
4693,9,1774346071668105216,1774346071668111629,1774346071668851840,1774346071668871081,0.006,0.740,0.766,200,3
4694,11,1774346071672225472,1774346071672233640,1774346071672630245,1774346071672644193,0.008,0.397,0.419,200,3
4695,8,1774346071674718028,1774346071674727992,1774346071675783903,1774346071675793011,0.010,1.056,1.075,200,3
4696,21,1774346071681655796,1774346071681662981,1774346071682346831,1774346071682363769,0.007,0.684,0.708,200,3
4697,18,1774346071689591433,1774346071689597963,1774346071690468953,1774346071690477015,0.007,0.871,0.886,200,3
