arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1774345975065115195,1774345975065115195,1774345975066076701,0.000000,0.961506,0.961506,200
1774345975066975771,1774345975066975771,1774345975067922189,0.000000,0.946418,0.946418,200
1774345975071697608,1774345975071697608,1774345975072676568,0.000000,0.978960,0.978960,200
1774345975080997782,1774345975080997782,1774345975082527631,0.000000,1.529849,1.529849,200
1774345975081907282,1774345975082527631,1774345975083497886,0.620349,0.970255,1.590604,200
1774345975082506251,1774345975083497886,1774345975083955338,0.991635,0.457452,1.449087,200
1774345975083211048,1774345975083955338,1774345975085204226,0.744290,1.248888,1.993178,200
1774345975092462566,1774345975092462566,1774345975093361175,0.000000,0.898609,0.898609,200
1774345975097227670,1774345975097227670,1774345975098151476,0.000000,0.923806,0.923806,200
1774345975100128780,1774345975100128780,1774345975101237770,0.000000,1.108990,1.108990,200
1774345975108215325,1774345975108215325,1774345975109397494,0.000000,1.182169,1.182169,200
1774345975110003251,1774345975110003251,1774345975111974240,0.000000,1.970989,1.970989,200
1774345975111549535,1774345975111974240,1774345975113466479,0.424705,1.492239,1.916944,200
1774345975116981098,1774345975116981098,1774345975118086819,0.000000,1.105721,1.105721,200
1774345975120058204,1774345975120058204,1774345975120752096,0.000000,0.693892,0.693892,200
1774345975126697583,1774345975126697583,1774345975127293814,0.000000,0.596231,0.596231,200
1774345975129162665,1774345975129162665,1774345975130353983,0.000000,1.191318,1.191318,200
1774345975135133732,1774345975135133732,1774345975137270967,0.000000,2.137235,2.137235,200
1774345975136537631,1774345975137270967,1774345975138335680,0.733336,1.064713,1.798049,200
1774345975145652352,1774345975145652352,1774345975146633999,0.000000,0.981647,0.981647,200
1774345975161856062,1774345975161856062,1774345975163249452,0.000000,1.393390,1.393390,200
1774345975165646000,1774345975165646000,1774345975166114586,0.000000,0.468586,0.468586,200
1774345975169447671,1774345975169447671,1774345975170324384,0.000000,0.876713,0.876713,200
