arrival_unix_ns,service_ms,queue_ms,response_ms,status_code
1775039811087706306,30.472000,2.197000,32.670000,200
1775039811232696137,10.339000,0.095000,10.435000,200
1775039811353842767,10.421000,0.024000,10.446000,200
1775039811473054054,10.778000,0.026000,10.804000,200
1775039811604061803,9.976000,0.040000,10.016000,200
1775039811744364193,11.170000,0.029000,11.199000,200
1775039811864453643,11.322000,0.049000,11.371000,200
1775039811984740237,11.156000,0.025000,11.182000,200
1775039812106056118,10.727000,0.025000,10.752000,200
1775039812226151699,10.432000,0.125000,10.557000,200
1775039812344711689,10.312000,0.180000,10.493000,200
1775039812463647328,9.336000,0.023000,9.359000,200
1775039812583891214,10.356000,0.023000,10.379000,200
1775039812702592697,8.485000,0.050000,8.535000,200
1775039812820381296,10.375000,0.025000,10.400000,200
1775039812940097529,9.677000,0.037000,9.714000,200
1775039813058025958,10.372000,0.031000,10.404000,200
1775039813193945641,11.263000,0.040000,11.304000,200
1775039813316571977,11.759000,0.107000,11.866000,200
1775039813441967292,15.492000,0.030000,15.522000,200
1775039813571324874,11.944000,0.076000,12.020000,200
1775039813692441651,10.323000,0.024000,10.348000,200
1775039813811464362,8.041000,0.023000,8.065000,200
1775039813928829783,9.951000,0.025000,9.976000,200
1775039814053562371,9.897000,0.037000,9.934000,200
1775039814208221332,10.434000,0.059000,10.494000,200
1775039814327678435,10.891000,0.050000,10.942000,200
1775039814458041938,10.685000,0.042000,10.728000,200
1775039814577988515,10.676000,0.048000,10.724000,200
1775039814708950424,11.422000,0.028000,11.450000,200
1775039814841326677,9.632000,0.027000,9.660000,200
1775039814959751134,9.597000,0.023000,9.620000,200
1775039815091925725,10.132000,0.026000,10.158000,200
1775039815210783906,7.991000,0.063000,8.055000,200
1775039815327187554,9.834000,0.024000,9.859000,200
1775039815445513130,9.789000,0.029000,9.818000,200
1775039815582882009,7.779000,0.027000,7.806000,200
1775039815698831942,9.872000,0.031000,9.904000,200
1775039815828457301,10.168000,0.026000,10.195000,200
1775039815967425484,9.772000,0.033000,9.806000,200
1775039816218883288,8.188000,0.178000,8.366000,200
1775039816385822918,10.202000,15.681000,25.883000,200
1775039816526101979,12.032000,5.271000,17.304000,200
1775039816542074984,9.738000,122.388000,132.126000,200
1775039816603341010,9.802000,0.102000,9.905000,200
1775039816697883029,9.696000,2.909000,12.605000,200
1775039816914964654,9.503000,60.746000,70.249000,200
1775039816976549091,7.514000,5.580000,13.094000,200
1775039816991170422,11.875000,76.753000,88.628000,200
1775039817076873306,10.491000,0.056000,10.547000,200
1775039817084062202,10.886000,0.056000,10.943000,200
1775039817100638506,10.975000,65.659000,76.635000,200
1775039817209212473,9.702000,44.569000,54.271000,200
1775039817271022609,9.218000,45.399000,54.617000,200
1775039817443664882,10.182000,61.653000,71.835000,200
1775039817523313194,10.478000,13.665000,24.144000,200
1775039817536891786,9.996000,3.939000,13.936000,200
1775039817537703948,9.831000,5.207000,15.039000,200
1775039817849951796,10.503000,15.035000,25.538000,200
1775039817864950873,10.692000,20.739000,31.431000,200
1775039817896676106,8.399000,66.991000,75.390000,200
1775039818225074458,10.136000,15.467000,25.603000,200
1775039818225279703,10.486000,100.899000,111.385000,200
1775039818240662258,9.225000,0.049000,9.275000,200
1775039818522459117,11.024000,61.119000,72.144000,200
1775039818675864992,10.787000,15.028000,25.816000,200
1775039818753570527,10.445000,0.603000,11.049000,200
1775039818753608222,9.547000,51.510000,61.058000,200
1775039819033805127,31.142000,61.510000,92.652000,200
1775039819143435918,17.727000,30.362000,48.089000,200
1775039819235867578,8.258000,15.065000,23.324000,200
1775039819297967280,11.359000,5.151000,16.511000,200
1775039819487571702,9.521000,60.739000,70.260000,200
1775039819501140128,9.342000,0.073000,9.415000,200
1775039819577839027,8.983000,47.183000,56.167000,200
1775039819578066956,10.050000,23.765000,33.816000,200
1775039819580095369,10.215000,0.042000,10.258000,200
1775039819658129222,10.517000,24.788000,35.305000,200
1775039819733393016,9.709000,41.809000,51.519000,200
1775039819775172148,9.214000,47.088000,56.303000,200
1775039819816464704,11.142000,48.758000,59.901000,200
1775039820000717444,8.214000,50.288000,58.503000,200
1775039820040691214,9.854000,16.102000,25.956000,200
1775039820142208461,11.657000,20.803000,32.460000,200
1775039820162970167,7.492000,0.030000,7.522000,200
1775039820164712924,9.830000,0.237000,10.067000,200
1775039820216050789,10.689000,33.832000,44.521000,200
1775039820425559810,11.693000,32.184000,43.878000,200
1775039820525135055,8.360000,21.689000,30.049000,200
1775039820575598510,10.445000,24.668000,35.114000,200
1775039820791617631,10.890000,15.745000,26.635000,200
1775039820791679643,8.608000,0.038000,8.646000,200
1775039820817198951,10.842000,0.037000,10.880000,200
1775039821225198993,11.190000,42.068000,53.259000,200
1775039821225357707,8.449000,0.052000,8.502000,200
1775039821267001227,10.301000,52.199000,62.500000,200
1775039821576002875,10.799000,9.510000,20.309000,200
1775039821611002192,10.418000,3.138000,13.556000,200
1775039821612634631,9.143000,0.041000,9.185000,200
1775039821614083424,10.105000,83.313000,93.419000,200
1775039821717707327,9.546000,29.952000,39.498000,200
1775039821717912794,9.183000,0.045000,9.228000,200
1775039821719280997,8.093000,4.546000,12.640000,200
1775039821742749166,10.831000,54.814000,65.646000,200
1775039821829366454,10.163000,0.044000,10.207000,200
1775039821876294803,10.040000,16.248000,26.288000,200
1775039822127467770,9.783000,15.684000,25.467000,200
1775039822144458488,10.538000,35.489000,46.027000,200
1775039822188764069,8.040000,19.102000,27.143000,200
1775039822298068711,10.243000,77.330000,87.574000,200
1775039822298609581,10.517000,0.042000,10.560000,200
1775039822439643909,9.916000,29.316000,39.233000,200
1775039822453517340,9.104000,53.397000,62.502000,200
1775039822468929992,9.067000,0.070000,9.137000,200
1775039822515637668,7.677000,0.042000,7.719000,200
1775039822735534793,26.918000,31.638000,58.556000,200
1775039822891679522,8.658000,30.896000,39.555000,200
1775039823618889281,10.003000,30.505000,40.508000,200
1775039823883530456,11.133000,46.638000,57.771000,200
1775039823945474516,10.322000,31.546000,41.869000,200
1775039824210545980,10.555000,30.287000,40.843000,200
1775039824614570155,30.192000,30.639000,60.831000,200
1775039824818241189,10.629000,31.423000,42.052000,200
1775039825099214375,23.386000,15.656000,39.043000,200
1775039825181899334,9.704000,42.985000,52.689000,200
1775039825535018245,9.716000,13.824000,23.541000,200
1775039825566207556,7.959000,60.970000,68.930000,200
1775039825720711363,9.833000,46.573000,56.406000,200
1775039825751699173,9.236000,0.043000,9.279000,200
1775039825767245678,7.883000,0.046000,7.929000,200
1775039825782816352,10.340000,20.682000,31.023000,200
1775039826097178458,20.926000,30.886000,51.812000,200
1775039826128956835,9.819000,72.631000,82.450000,200
1775039826301489155,10.398000,61.735000,72.133000,200
1775039826507137779,11.065000,14.639000,25.704000,200
1775039826536688708,9.450000,33.374000,42.824000,200
1775039826632047339,10.054000,15.862000,25.917000,200
1775039826946266244,25.408000,31.286000,56.694000,200
1775039826962648331,9.758000,68.546000,78.304000,200
1775039827071989351,10.390000,101.266000,111.656000,200
1775039827289762754,9.457000,30.766000,40.224000,200
1775039827289831830,11.079000,21.755000,32.834000,200
1775039827353298023,9.120000,21.601000,30.721000,200
1775039827400324031,10.066000,76.969000,87.035000,200
1775039827615854624,10.178000,45.258000,55.436000,200
1775039827775648204,9.880000,17.210000,27.090000,200
1775039827900782309,10.131000,24.947000,35.079000,200
1775039827934224801,8.552000,14.379000,22.931000,200
1775039827934269350,9.446000,0.027000,9.474000,200
1775039827934289690,9.734000,6.211000,15.945000,200
1775039828083930328,9.718000,50.336000,60.054000,200
1775039828234082496,10.465000,83.140000,93.606000,200
1775039828259170093,9.488000,0.044000,9.533000,200
1775039828300998182,10.966000,5.410000,16.377000,200
1775039828409422450,13.449000,34.279000,47.729000,200
1775039828452480264,19.779000,3.818000,23.598000,200
1775039828452555132,13.069000,0.039000,13.108000,200
1775039828462858009,12.260000,22.404000,34.664000,200
1775039828499902654,12.347000,0.043000,12.391000,200
1775039828536993725,10.299000,0.049000,10.349000,200
1775039828600917315,7.878000,41.706000,49.584000,200
1775039828600960470,8.617000,0.053000,8.671000,200
1775039828834161602,9.511000,16.225000,25.736000,200
1775039829250934019,10.406000,33.349000,43.755000,200
1775039829250971794,9.268000,0.038000,9.307000,200
1775039829384793023,12.312000,31.045000,43.358000,200
1775039829559245819,10.367000,16.645000,27.012000,200
1775039829709469523,11.619000,8.048000,19.667000,200
1775039829717488191,11.935000,4.648000,16.584000,200
1775039829953088136,24.301000,31.230000,55.531000,200
1775039830186850853,11.853000,0.032000,11.885000,200
1775039830296220294,8.641000,15.677000,24.318000,200
1775039830497805630,12.329000,15.453000,27.782000,200
1775039830637985495,7.890000,47.483000,55.374000,200
1775039830872593796,8.830000,47.774000,56.605000,200
1775039830888649284,9.325000,0.041000,9.367000,200
1775039831183575803,23.237000,0.034000,23.271000,200
1775039831188197938,8.031000,0.044000,8.075000,200
1775039831296138096,8.272000,15.001000,23.273000,200
1775039831326368864,9.314000,47.716000,57.030000,200
1775039831326427430,9.507000,0.054000,9.562000,200
1775039831544278505,10.475000,31.781000,42.256000,200
1775039831825152265,30.397000,15.170000,45.567000,200
1775039831841134641,8.173000,0.044000,8.217000,200
1775039832058521713,20.599000,31.392000,51.991000,200
1775039832214583870,13.556000,15.861000,29.418000,200
1775039832291139118,10.272000,30.868000,41.140000,200
1775039832353131347,10.368000,62.613000,72.981000,200
1775039832353164072,10.012000,0.044000,10.057000,200
1775039832585138711,8.606000,63.125000,71.732000,200
1775039832649054855,8.133000,21.692000,29.825000,200
1775039832678985453,9.785000,22.130000,31.915000,200
1775039832774150564,11.145000,15.908000,27.054000,200
1775039832881087309,10.358000,14.668000,25.026000,200
1775039832881165233,9.159000,36.012000,45.171000,200
1775039832989853880,10.240000,62.494000,72.734000,200
1775039833067560060,9.917000,1.356000,11.274000,200
1775039833173256084,10.856000,96.570000,107.426000,200
1775039833252948874,11.605000,3.440000,15.045000,200
1775039833285663847,10.659000,81.211000,91.870000,200
1775039833486639060,16.602000,14.178000,30.780000,200
1775039833486689049,12.315000,44.360000,56.675000,200
1775039833592556995,9.899000,62.687000,72.587000,200
