arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775043824751756786,1775043824751756786,1775043824760721786,0.000000,8.965000,8.965000,200
1775043824782988506,1775043824782988506,1775043824797725506,0.000000,14.737000,14.737000,200
1775043824814471369,1775043824814471369,1775043824826729369,0.000000,12.258000,12.258000,200
1775043824848573555,1775043824848573555,1775043824867943555,0.000000,19.370000,19.370000,200
1775043825177583095,1775043825177583095,1775043825188700095,0.000000,11.117000,11.117000,200
1775043826856649773,1775043826856649773,1775043826867439773,0.000000,10.790000,10.790000,200
1775043826903706642,1775043826903706642,1775043826916305642,0.000000,12.599000,12.599000,200
1775043828133469909,1775043828133469909,1775043828145360909,0.000000,11.891000,11.891000,200
1775043829793047781,1775043829793047781,1775043829805998781,0.000000,12.951000,12.951000,200
1775043829797653505,1775043829805998781,1775043829821483781,8.345276,15.485000,23.830276,200
1775043829811961640,1775043829821483781,1775043829833299781,9.522141,11.816000,21.338141,200
1775043829819491115,1775043829833299781,1775043829845228781,13.808666,11.929000,25.737666,200
1775043829880040712,1775043829880040712,1775043829894568712,0.000000,14.528000,14.528000,200
1775043829880104138,1775043829894568712,1775043829906433712,14.464574,11.865000,26.329574,200
1775043829883093625,1775043829906433712,1775043829918419712,23.340087,11.986000,35.326087,200
1775043829886305436,1775043829918419712,1775043829945802712,32.114276,27.383000,59.497276,200
1775043829886346948,1775043829945802712,1775043829958010712,59.455764,12.208000,71.663764,200
1775043829902812394,1775043829958010712,1775043829973686712,55.198318,15.676000,70.874318,200
1775043829902995418,1775043829973686712,1775043829983410712,70.691294,9.724000,80.415294,200
1775043829916889835,1775043829983410712,1775043829995078712,66.520877,11.668000,78.188877,200
1775043829917556687,1775043829995078712,1775043830006874712,77.522025,11.796000,89.318025,200
1775043829977714920,1775043830006874712,1775043830017073712,29.159792,10.199000,39.358792,200
1775043830009486206,1775043830017073712,1775043830032932712,7.587506,15.859000,23.446506,200
1775043830026113963,1775043830032932712,1775043830048036712,6.818749,15.104000,21.922749,200
1775043830052603801,1775043830052603801,1775043830079261801,0.000000,26.658000,26.658000,200
1775043830054466718,1775043830079261801,1775043830091281801,24.795083,12.020000,36.815083,200
1775043830069961663,1775043830091281801,1775043830111034801,21.320138,19.753000,41.073138,200
1775043830163970345,1775043830163970345,1775043830178379345,0.000000,14.409000,14.409000,200
1775043830657007624,1775043830657007624,1775043830667906624,0.000000,10.899000,10.899000,200
1775043830660768266,1775043830667906624,1775043830681030624,7.138358,13.124000,20.262358,200
1775043830663389642,1775043830681030624,1775043830691349624,17.640982,10.319000,27.959982,200
1775043830680778173,1775043830691349624,1775043830702716624,10.571451,11.367000,21.938451,200
1775043830906280908,1775043830906280908,1775043830919562908,0.000000,13.282000,13.282000,200
1775043830906332501,1775043830919562908,1775043830929275908,13.230407,9.713000,22.943407,200
1775043831091750897,1775043831091750897,1775043831103455897,0.000000,11.705000,11.705000,200
1775043831109559335,1775043831109559335,1775043831120618335,0.000000,11.059000,11.059000,200
1775043831242308605,1775043831242308605,1775043831273337605,0.000000,31.029000,31.029000,200
1775043831290959826,1775043831290959826,1775043831303137826,0.000000,12.178000,12.178000,200
1775043831295416901,1775043831303137826,1775043831317253826,7.720925,14.116000,21.836925,200
1775043831314666029,1775043831317253826,1775043831329903826,2.587797,12.650000,15.237797,200
1775043831937257875,1775043831937257875,1775043831947980875,0.000000,10.723000,10.723000,200
1775043831944831182,1775043831947980875,1775043831959773875,3.149693,11.793000,14.942693,200
1775043831969315000,1775043831969315000,1775043831984167000,0.000000,14.852000,14.852000,200
1775043832008848732,1775043832008848732,1775043832021094732,0.000000,12.246000,12.246000,200
1775043832029606268,1775043832029606268,1775043832040891268,0.000000,11.285000,11.285000,200
1775043832346227986,1775043832346227986,1775043832377761986,0.000000,31.534000,31.534000,200
1775043832435376582,1775043832435376582,1775043832445308582,0.000000,9.932000,9.932000,200
1775043832468727462,1775043832468727462,1775043832482920462,0.000000,14.193000,14.193000,200
1775043832512029562,1775043832512029562,1775043832526858562,0.000000,14.829000,14.829000,200
1775043833704762540,1775043833704762540,1775043833718378540,0.000000,13.616000,13.616000,200
1775043833727878539,1775043833727878539,1775043833739895539,0.000000,12.017000,12.017000,200
1775043834554422634,1775043834554422634,1775043834563578634,0.000000,9.156000,9.156000,200
1775043834661957770,1775043834661957770,1775043834672010770,0.000000,10.053000,10.053000,200
1775043835043452731,1775043835043452731,1775043835056339731,0.000000,12.887000,12.887000,200
1775043835187405550,1775043835187405550,1775043835199765550,0.000000,12.360000,12.360000,200
1775043835192394347,1775043835199765550,1775043835213378550,7.371203,13.613000,20.984203,200
1775043835220505524,1775043835220505524,1775043835232772524,0.000000,12.267000,12.267000,200
1775043835253410164,1775043835253410164,1775043835265749164,0.000000,12.339000,12.339000,200
1775043835274901456,1775043835274901456,1775043835287596456,0.000000,12.695000,12.695000,200
1775043835277084983,1775043835287596456,1775043835300297456,10.511473,12.701000,23.212473,200
1775043835288331343,1775043835300297456,1775043835318192456,11.966113,17.895000,29.861113,200
1775043835817505683,1775043835817505683,1775043835831101683,0.000000,13.596000,13.596000,200
1775043835843370969,1775043835843370969,1775043835856692969,0.000000,13.322000,13.322000,200
1775043835877355595,1775043835877355595,1775043835889802595,0.000000,12.447000,12.447000,200
1775043835879408188,1775043835889802595,1775043835901593595,10.394407,11.791000,22.185407,200
1775043837022254027,1775043837022254027,1775043837033824027,0.000000,11.570000,11.570000,200
1775043837118442703,1775043837118442703,1775043837135292703,0.000000,16.850000,16.850000,200
1775043837783117319,1775043837783117319,1775043837795843319,0.000000,12.726000,12.726000,200
1775043840929865599,1775043840929865599,1775043840942765599,0.000000,12.900000,12.900000,200
1775043840948027644,1775043840948027644,1775043840963541644,0.000000,15.514000,15.514000,200
1775043842329349165,1775043842329349165,1775043842342293165,0.000000,12.944000,12.944000,200
1775043842717290494,1775043842717290494,1775043842731252494,0.000000,13.962000,13.962000,200
1775043842948095461,1775043842948095461,1775043842959818461,0.000000,11.723000,11.723000,200
1775043843754454015,1775043843754454015,1775043843765460015,0.000000,11.006000,11.006000,200
1775043843783090112,1775043843783090112,1775043843796974112,0.000000,13.884000,13.884000,200
1775043843793085723,1775043843796974112,1775043843808704112,3.888389,11.730000,15.618389,200
1775043843817675090,1775043843817675090,1775043843831886090,0.000000,14.211000,14.211000,200
1775043843820586157,1775043843831886090,1775043843844137090,11.299933,12.251000,23.550933,200
1775043843821227012,1775043843844137090,1775043843858049090,22.910078,13.912000,36.822078,200
1775043843867310991,1775043843867310991,1775043843880589991,0.000000,13.279000,13.279000,200
1775043845236014324,1775043845236014324,1775043845249808324,0.000000,13.794000,13.794000,200
1775043845236346024,1775043845249808324,1775043845261770324,13.462300,11.962000,25.424300,200
1775043845236430322,1775043845261770324,1775043845333875324,25.340002,72.105000,97.445002,200
1775043845236722163,1775043845333875324,1775043845345277324,97.153161,11.402000,108.555161,200
1775043845265164362,1775043845345277324,1775043845355436324,80.112962,10.159000,90.271962,200
1775043845265247618,1775043845355436324,1775043845367085324,90.188706,11.649000,101.837706,200
1775043845267137466,1775043845367085324,1775043845377958324,99.947858,10.873000,110.820858,200
1775043845267585551,1775043845377958324,1775043845395928324,110.372773,17.970000,128.342773,200
1775043845274193863,1775043845395928324,1775043845408395324,121.734461,12.467000,134.201461,200
1775043845295979216,1775043845408395324,1775043845422321324,112.416108,13.926000,126.342108,200
1775043845301636836,1775043845422321324,1775043845435093324,120.684488,12.772000,133.456488,200
1775043845301805521,1775043845435093324,1775043845446514324,133.287803,11.421000,144.708803,200
1775043845302095679,1775043845446514324,1775043845458190324,144.418645,11.676000,156.094645,200
1775043845302137803,1775043845458190324,1775043845473325324,156.052521,15.135000,171.187521,200
1775043845302620032,1775043845473325324,1775043845489470324,170.705292,16.145000,186.850292,200
1775043845303166029,1775043845489470324,1775043845507077324,186.304295,17.607000,203.911295,200
1775043845304471577,1775043845507077324,1775043845516872324,202.605747,9.795000,212.400747,200
1775043845304505515,1775043845516872324,1775043845529188324,212.366809,12.316000,224.682809,200
1775043845304876828,1775043845529188324,1775043845557029324,224.311496,27.841000,252.152496,200
1775043845305954863,1775043845557029324,1775043845569977324,251.074461,12.948000,264.022461,200
1775043845307497644,1775043845569977324,1775043845585889324,262.479680,15.912000,278.391680,200
1775043845329283331,1775043845585889324,1775043845600112324,256.605993,14.223000,270.828993,200
1775043845331255785,1775043845600112324,1775043845612046324,268.856539,11.934000,280.790539,200
1775043845333938002,1775043845612046324,1775043845628248324,278.108322,16.202000,294.310322,200
1775043845361519919,1775043845628248324,1775043845640381324,266.728405,12.133000,278.861405,200
1775043845362161205,1775043845640381324,1775043845660468324,278.220119,20.087000,298.307119,200
1775043845362817317,1775043845660468324,1775043845671377324,297.651007,10.909000,308.560007,200
1775043845366581062,1775043845671377324,1775043845684509324,304.796262,13.132000,317.928262,200
1775043845366608156,1775043845684509324,1775043845702072324,317.901168,17.563000,335.464168,200
1775043845397979902,1775043845702072324,1775043845724268324,304.092422,22.196000,326.288422,200
1775043845439208975,1775043845724268324,1775043845738041324,285.059349,13.773000,298.832349,200
1775043845472879606,1775043845738041324,1775043845751323324,265.161718,13.282000,278.443718,200
1775043845504304568,1775043845751323324,1775043845764314324,247.018756,12.991000,260.009756,200
1775043846253758445,1775043846253758445,1775043846270082445,0.000000,16.324000,16.324000,200
1775043846259570744,1775043846270082445,1775043846281208445,10.511701,11.126000,21.637701,200
1775043846288604264,1775043846288604264,1775043846302143264,0.000000,13.539000,13.539000,200
1775043846291696200,1775043846302143264,1775043846314471264,10.447064,12.328000,22.775064,200
1775043846297336183,1775043846314471264,1775043846332343264,17.135081,17.872000,35.007081,200
1775043846304198530,1775043846332343264,1775043846344915264,28.144734,12.572000,40.716734,200
1775043846306240065,1775043846344915264,1775043846356874264,38.675199,11.959000,50.634199,200
1775043846308379431,1775043846356874264,1775043846366493264,48.494833,9.619000,58.113833,200
1775043846312097715,1775043846366493264,1775043846377204264,54.395549,10.711000,65.106549,200
1775043846313958458,1775043846377204264,1775043846389163264,63.245806,11.959000,75.204806,200
1775043846315036550,1775043846389163264,1775043846400690264,74.126714,11.527000,85.653714,200
1775043846315695601,1775043846400690264,1775043846413006264,84.994663,12.316000,97.310663,200
1775043846315918709,1775043846413006264,1775043846426067264,97.087555,13.061000,110.148555,200
1775043846315957968,1775043846426067264,1775043846442726264,110.109296,16.659000,126.768296,200
1775043846346373980,1775043846442726264,1775043846456627264,96.352284,13.901000,110.253284,200
1775043846346412155,1775043846456627264,1775043846468574264,110.215109,11.947000,122.162109,200
1775043846347714946,1775043846468574264,1775043846481997264,120.859318,13.423000,134.282318,200
1775043846352320272,1775043846481997264,1775043846491380264,129.676992,9.383000,139.059992,200
1775043846362536304,1775043846491380264,1775043846502136264,128.843960,10.756000,139.599960,200
1775043846368296317,1775043846502136264,1775043846519594264,133.839947,17.458000,151.297947,200
1775043846408636747,1775043846519594264,1775043846533303264,110.957517,13.709000,124.666517,200
1775043846409045350,1775043846533303264,1775043846545333264,124.257914,12.030000,136.287914,200
