arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775039908795892529,1775039908795892529,1775039908809115529,0.000000,13.223000,13.223000,200
1775039908858740308,1775039908858740308,1775039908869004308,0.000000,10.264000,10.264000,200
1775039908938635491,1775039908938635491,1775039908948464491,0.000000,9.829000,9.829000,200
1775039908996488868,1775039908996488868,1775039909005797868,0.000000,9.309000,9.309000,200
1775039909054199593,1775039909054199593,1775039909063193593,0.000000,8.994000,8.994000,200
1775039909125592544,1775039909125592544,1775039909134874544,0.000000,9.282000,9.282000,200
1775039909202863943,1775039909202863943,1775039909212057943,0.000000,9.194000,9.194000,200
1775039909260421711,1775039909260421711,1775039909270765711,0.000000,10.344000,10.344000,200
1775039909326611411,1775039909326611411,1775039909335923411,0.000000,9.312000,9.312000,200
1775039909402957771,1775039909402957771,1775039909412938771,0.000000,9.981000,9.981000,200
1775039909483029172,1775039909483029172,1775039909492831172,0.000000,9.802000,9.802000,200
1775039909559547313,1775039909559547313,1775039909569632313,0.000000,10.085000,10.085000,200
1775039909636918149,1775039909636918149,1775039909646303149,0.000000,9.385000,9.385000,200
1775039909714265130,1775039909714265130,1775039909723428130,0.000000,9.163000,9.163000,200
1775039909792183786,1775039909792183786,1775039909803630786,0.000000,11.447000,11.447000,200
1775039909858864476,1775039909858864476,1775039909868208476,0.000000,9.344000,9.344000,200
1775039909925589211,1775039909925589211,1775039909934796211,0.000000,9.207000,9.207000,200
1775039909982621373,1775039909982621373,1775039909992409373,0.000000,9.788000,9.788000,200
1775039910050461092,1775039910050461092,1775039910059473092,0.000000,9.012000,9.012000,200
1775039910107141619,1775039910107141619,1775039910116770619,0.000000,9.629000,9.629000,200
1775039910169201879,1775039910169201879,1775039910178780879,0.000000,9.579000,9.579000,200
1775039910242187174,1775039910242187174,1775039910252277174,0.000000,10.090000,10.090000,200
1775039910299627670,1775039910299627670,1775039910307603670,0.000000,7.976000,7.976000,200
1775039910356333886,1775039910356333886,1775039910364130886,0.000000,7.797000,7.797000,200
1775039910413500145,1775039910413500145,1775039910423038145,0.000000,9.538000,9.538000,200
1775039910471189200,1775039910471189200,1775039910480888200,0.000000,9.699000,9.699000,200
1775039910529546143,1775039910529546143,1775039910540980143,0.000000,11.434000,11.434000,200
1775039910590994884,1775039910590994884,1775039910600938884,0.000000,9.944000,9.944000,200
1775039910648877647,1775039910648877647,1775039910658975647,0.000000,10.098000,10.098000,200
1775039910706432007,1775039910706432007,1775039910715778007,0.000000,9.346000,9.346000,200
1775039910763695244,1775039910763695244,1775039910771898244,0.000000,8.203000,8.203000,200
1775039910819727077,1775039910819727077,1775039910829048077,0.000000,9.321000,9.321000,200
1775039910884173652,1775039910884173652,1775039910892006652,0.000000,7.833000,7.833000,200
1775039910939853745,1775039910939853745,1775039910948463745,0.000000,8.610000,8.610000,200
1775039911009275678,1775039911009275678,1775039911018518678,0.000000,9.243000,9.243000,200
1775039911076006594,1775039911076006594,1775039911083961594,0.000000,7.955000,7.955000,200
1775039911142556945,1775039911142556945,1775039911154396945,0.000000,11.840000,11.840000,200
1775039911217608351,1775039911217608351,1775039911228597351,0.000000,10.989000,10.989000,200
1775039911292535680,1775039911292535680,1775039911302838680,0.000000,10.303000,10.303000,200
1775039911368553315,1775039911368553315,1775039911378258315,0.000000,9.705000,9.705000,200
1775039911428427340,1775039911428427340,1775039911436906340,0.000000,8.479000,8.479000,200
1775039911487293293,1775039911487293293,1775039911497452293,0.000000,10.159000,10.159000,200
1775039911547175936,1775039911547175936,1775039911557013936,0.000000,9.838000,9.838000,200
1775039911617558528,1775039911617558528,1775039911627566528,0.000000,10.008000,10.008000,200
1775039911684187174,1775039911684187174,1775039911692499174,0.000000,8.312000,8.312000,200
1775039911750632625,1775039911750632625,1775039911759973625,0.000000,9.341000,9.341000,200
1775039911809416110,1775039911809416110,1775039911818758110,0.000000,9.342000,9.342000,200
1775039911882075561,1775039911882075561,1775039911891274561,0.000000,9.199000,9.199000,200
1775039911961513800,1775039911961513800,1775039911973365800,0.000000,11.852000,11.852000,200
1775039912038685645,1775039912038685645,1775039912049088645,0.000000,10.403000,10.403000,200
1775039912117829145,1775039912117829145,1775039912127984145,0.000000,10.155000,10.155000,200
1775039912193898860,1775039912193898860,1775039912203486860,0.000000,9.588000,9.588000,200
1775039912272678707,1775039912272678707,1775039912283458707,0.000000,10.780000,10.780000,200
1775039912350021222,1775039912350021222,1775039912359660222,0.000000,9.639000,9.639000,200
1775039912427753029,1775039912427753029,1775039912436168029,0.000000,8.415000,8.415000,200
1775039912505018332,1775039912505018332,1775039912514908332,0.000000,9.890000,9.890000,200
1775039912563061394,1775039912563061394,1775039912572656394,0.000000,9.595000,9.595000,200
1775039912629902968,1775039912629902968,1775039912639189968,0.000000,9.287000,9.287000,200
1775039912686877958,1775039912686877958,1775039912696141958,0.000000,9.264000,9.264000,200
1775039912754606801,1775039912754606801,1775039912764473801,0.000000,9.867000,9.867000,200
1775039912833999697,1775039912833999697,1775039912845024697,0.000000,11.025000,11.025000,200
1775039912910679232,1775039912910679232,1775039912922054232,0.000000,11.375000,11.375000,200
1775039912988004996,1775039912988004996,1775039912996507996,0.000000,8.503000,8.503000,200
1775039913064212377,1775039913064212377,1775039913073702377,0.000000,9.490000,9.490000,200
1775039913122246610,1775039913122246610,1775039913131812610,0.000000,9.566000,9.566000,200
1775039913201705383,1775039913201705383,1775039913211992383,0.000000,10.287000,10.287000,200
1775039913261861525,1775039913261861525,1775039913272127525,0.000000,10.266000,10.266000,200
1775039913321347606,1775039913321347606,1775039913332189606,0.000000,10.842000,10.842000,200
1775039913402810519,1775039913402810519,1775039913413319519,0.000000,10.509000,10.509000,200
1775039913463268050,1775039913463268050,1775039913480869050,0.000000,17.601000,17.601000,200
1775039913538131835,1775039913538131835,1775039913551898835,0.000000,13.767000,13.767000,200
1775039913603378942,1775039913603378942,1775039913613427942,0.000000,10.049000,10.049000,200
1775039913661274172,1775039913661274172,1775039913670907172,0.000000,9.633000,9.633000,200
1775039913728721514,1775039913728721514,1775039913738103514,0.000000,9.382000,9.382000,200
1775039913884580262,1775039913884580262,1775039913894370262,0.000000,9.790000,9.790000,200
1775039913928740412,1775039913928740412,1775039913938639412,0.000000,9.899000,9.899000,200
1775039914000998439,1775039914000998439,1775039914011282439,0.000000,10.284000,10.284000,200
1775039914036181497,1775039914036181497,1775039914045309497,0.000000,9.128000,9.128000,200
1775039914084443747,1775039914084443747,1775039914093182747,0.000000,8.739000,8.739000,200
1775039914110716177,1775039914110716177,1775039914120401177,0.000000,9.685000,9.685000,200
1775039914113749454,1775039914120401177,1775039914130075177,6.651723,9.674000,16.325723,200
1775039914191331209,1775039914191331209,1775039914201910209,0.000000,10.579000,10.579000,200
1775039914210985656,1775039914210985656,1775039914221517656,0.000000,10.532000,10.532000,200
1775039914218787674,1775039914221517656,1775039914231032656,2.729982,9.515000,12.244982,200
1775039914226217033,1775039914231032656,1775039914242312656,4.815623,11.280000,16.095623,200
1775039914243498654,1775039914243498654,1775039914259266654,0.000000,15.768000,15.768000,200
1775039914251233876,1775039914259266654,1775039914275356654,8.032778,16.090000,24.122778,200
1775039914292915813,1775039914292915813,1775039914304340813,0.000000,11.425000,11.425000,200
1775039914309890733,1775039914309890733,1775039914318946733,0.000000,9.056000,9.056000,200
1775039914425932416,1775039914425932416,1775039914436152416,0.000000,10.220000,10.220000,200
1775039914427080930,1775039914436152416,1775039914446077416,9.071486,9.925000,18.996486,200
1775039914443681680,1775039914446077416,1775039914455378416,2.395736,9.301000,11.696736,200
1775039914500957790,1775039914500957790,1775039914511653790,0.000000,10.696000,10.696000,200
1775039914525958701,1775039914525958701,1775039914536599701,0.000000,10.641000,10.641000,200
1775039914527269869,1775039914536599701,1775039914546386701,9.329832,9.787000,19.116832,200
1775039914701003383,1775039914701003383,1775039914710720383,0.000000,9.717000,9.717000,200
1775039914701039575,1775039914710720383,1775039914720383383,9.680808,9.663000,19.343808,200
1775039914709489397,1775039914720383383,1775039914730406383,10.893986,10.023000,20.916986,200
1775039914851156977,1775039914851156977,1775039914861935977,0.000000,10.779000,10.779000,200
1775039914884565516,1775039914884565516,1775039914894466516,0.000000,9.901000,9.901000,200
1775039914892849950,1775039914894466516,1775039914902545516,1.616566,8.079000,9.695566,200
1775039914934685708,1775039914934685708,1775039914944545708,0.000000,9.860000,9.860000,200
1775039915068784105,1775039915068784105,1775039915079506105,0.000000,10.722000,10.722000,200
1775039915069502255,1775039915079506105,1775039915089782105,10.003850,10.276000,20.279850,200
1775039915084484052,1775039915089782105,1775039915102754105,5.298053,12.972000,18.270053,200
1775039915085160227,1775039915102754105,1775039915112640105,17.593878,9.886000,27.479878,200
1775039915115553830,1775039915115553830,1775039915127287830,0.000000,11.734000,11.734000,200
1775039915120028894,1775039915127287830,1775039915144616830,7.258936,17.329000,24.587936,200
1775039915136752605,1775039915144616830,1775039915155197830,7.864225,10.581000,18.445225,200
1775039915175680419,1775039915175680419,1775039915185347419,0.000000,9.667000,9.667000,200
1775039915185872689,1775039915185872689,1775039915195734689,0.000000,9.862000,9.862000,200
1775039915210366119,1775039915210366119,1775039915220636119,0.000000,10.270000,10.270000,200
1775039915225996230,1775039915225996230,1775039915235392230,0.000000,9.396000,9.396000,200
1775039915334508913,1775039915334508913,1775039915347326913,0.000000,12.818000,12.818000,200
1775039915377161006,1775039915377161006,1775039915387690006,0.000000,10.529000,10.529000,200
1775039915418890575,1775039915418890575,1775039915428795575,0.000000,9.905000,9.905000,200
1775039915484443272,1775039915484443272,1775039915494544272,0.000000,10.101000,10.101000,200
1775039915493846994,1775039915494544272,1775039915504049272,0.697278,9.505000,10.202278,200
1775039915528917485,1775039915528917485,1775039915539034485,0.000000,10.117000,10.117000,200
1775039915536097434,1775039915539034485,1775039915548711485,2.937051,9.677000,12.614051,200
1775039915542859873,1775039915548711485,1775039915560249485,5.851612,11.538000,17.389612,200
1775039915542926244,1775039915560249485,1775039915573053485,17.323241,12.804000,30.127241,200
1775039915551027720,1775039915573053485,1775039915583328485,22.025765,10.275000,32.300765,200
1775039915636193870,1775039915636193870,1775039915645931870,0.000000,9.738000,9.738000,200
1775039915743837240,1775039915743837240,1775039915754318240,0.000000,10.481000,10.481000,200
1775039915776089503,1775039915776089503,1775039915784315503,0.000000,8.226000,8.226000,200
1775039915807242212,1775039915807242212,1775039915816876212,0.000000,9.634000,9.634000,200
1775039916133513840,1775039916133513840,1775039916154965840,0.000000,21.452000,21.452000,200
1775039916133784764,1775039916154965840,1775039916167543840,21.181076,12.578000,33.759076,200
1775039916135571286,1775039916167543840,1775039916178840840,31.972554,11.297000,43.269554,200
1775039916135616746,1775039916178840840,1775039916188709840,43.224094,9.869000,53.093094,200
1775039916135771912,1775039916188709840,1775039916198218840,52.937928,9.509000,62.446928,200
1775039916136618498,1775039916198218840,1775039916208291840,61.600342,10.073000,71.673342,200
1775039916137846515,1775039916208291840,1775039916218737840,70.445325,10.446000,80.891325,200
1775039916139158558,1775039916218737840,1775039916229317840,79.579282,10.580000,90.159282,200
1775039916140110011,1775039916229317840,1775039916238917840,89.207829,9.600000,98.807829,200
1775039916149056717,1775039916238917840,1775039916249517840,89.861123,10.600000,100.461123,200
1775039916153482891,1775039916249517840,1775039916259188840,96.034949,9.671000,105.705949,200
1775039916182817526,1775039916259188840,1775039916267127840,76.371314,7.939000,84.310314,200
1775039916182853938,1775039916267127840,1775039916276543840,84.273902,9.416000,93.689902,200
1775039916413513289,1775039916413513289,1775039916424160289,0.000000,10.647000,10.647000,200
1775039916445260050,1775039916445260050,1775039916456432050,0.000000,11.172000,11.172000,200
1775039916445720892,1775039916456432050,1775039916467637050,10.711158,11.205000,21.916158,200
1775039916539235169,1775039916539235169,1775039916548027169,0.000000,8.792000,8.792000,200
1775039916539258405,1775039916548027169,1775039916560105169,8.768764,12.078000,20.846764,200
1775039916583449735,1775039916583449735,1775039916593476735,0.000000,10.027000,10.027000,200
1775039916598364919,1775039916598364919,1775039916608920919,0.000000,10.556000,10.556000,200
1775039916644593306,1775039916644593306,1775039916654565306,0.000000,9.972000,9.972000,200
1775039916645455822,1775039916654565306,1775039916665148306,9.109484,10.583000,19.692484,200
1775039916690945734,1775039916690945734,1775039916701824734,0.000000,10.879000,10.879000,200
1775039916755268617,1775039916755268617,1775039916766430617,0.000000,11.162000,11.162000,200
1775039917018234223,1775039917018234223,1775039917036891223,0.000000,18.657000,18.657000,200
1775039917175392141,1775039917175392141,1775039917186216141,0.000000,10.824000,10.824000,200
1775039917175443192,1775039917186216141,1775039917200716141,10.772949,14.500000,25.272949,200
