arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775046744253184164,1775046744253184164,1775046744257359164,0.000000,4.175000,4.175000,200
1775046744269958069,1775046744269958069,1775046744273994069,0.000000,4.036000,4.036000,200
1775046744286168569,1775046744286168569,1775046744289746569,0.000000,3.578000,3.578000,200
1775046744321019989,1775046744321019989,1775046744324514989,0.000000,3.495000,3.495000,200
1775046744336564260,1775046744336564260,1775046744340003260,0.000000,3.439000,3.439000,200
1775046744352075042,1775046744352075042,1775046744355443042,0.000000,3.368000,3.368000,200
1775046744367234388,1775046744367234388,1775046744370820388,0.000000,3.586000,3.586000,200
1775046744382753562,1775046744382753562,1775046744386586562,0.000000,3.833000,3.833000,200
1775046744398598794,1775046744398598794,1775046744402770794,0.000000,4.172000,4.172000,200
1775046744429746097,1775046744429746097,1775046744434704097,0.000000,4.958000,4.958000,200
1775046744447651174,1775046744447651174,1775046744450866174,0.000000,3.215000,3.215000,200
1775046744463213259,1775046744463213259,1775046744466888259,0.000000,3.675000,3.675000,200
1775046744491814250,1775046744491814250,1775046744495355250,0.000000,3.541000,3.541000,200
1775046744508198428,1775046744508198428,1775046744511882428,0.000000,3.684000,3.684000,200
1775046744525483530,1775046744525483530,1775046744528905530,0.000000,3.422000,3.422000,200
1775046744553938100,1775046744553938100,1775046744557366100,0.000000,3.428000,3.428000,200
1775046744584552482,1775046744584552482,1775046744588102482,0.000000,3.550000,3.550000,200
1775046744600096611,1775046744600096611,1775046744604675611,0.000000,4.579000,4.579000,200
1775046744616546500,1775046744616546500,1775046744620306500,0.000000,3.760000,3.760000,200
1775046744647144108,1775046744647144108,1775046744650565108,0.000000,3.421000,3.421000,200
1775046744662470281,1775046744662470281,1775046744666420281,0.000000,3.950000,3.950000,200
1775046744680083310,1775046744680083310,1775046744684331310,0.000000,4.248000,4.248000,200
1775046744697145295,1775046744697145295,1775046744700891295,0.000000,3.746000,3.746000,200
1775046744713476090,1775046744713476090,1775046744717814090,0.000000,4.338000,4.338000,200
1775046744730483149,1775046744730483149,1775046744734169149,0.000000,3.686000,3.686000,200
1775046744748092599,1775046744748092599,1775046744752664599,0.000000,4.572000,4.572000,200
1775046744765149670,1775046744765149670,1775046744768613670,0.000000,3.464000,3.464000,200
1775046744781288217,1775046744781288217,1775046744785042217,0.000000,3.754000,3.754000,200
1775046744797765361,1775046744797765361,1775046744801607361,0.000000,3.842000,3.842000,200
1775046744813474264,1775046744813474264,1775046744816836264,0.000000,3.362000,3.362000,200
1775046744828522307,1775046744828522307,1775046744833147307,0.000000,4.625000,4.625000,200
1775046744845179297,1775046744845179297,1775046744849276297,0.000000,4.097000,4.097000,200
1775046744862080237,1775046744862080237,1775046744865740237,0.000000,3.660000,3.660000,200
1775046744877776447,1775046744877776447,1775046744881572447,0.000000,3.796000,3.796000,200
1775046744893307435,1775046744893307435,1775046744896803435,0.000000,3.496000,3.496000,200
1775046744908529580,1775046744908529580,1775046744912227580,0.000000,3.698000,3.698000,200
1775046744924743610,1775046744924743610,1775046744929133610,0.000000,4.390000,4.390000,200
1775046744957941831,1775046744957941831,1775046744961582831,0.000000,3.641000,3.641000,200
1775046744973530221,1775046744973530221,1775046744977219221,0.000000,3.689000,3.689000,200
