arrival_unix_ns,service_ms,queue_ms,response_ms,status_code
1775046449317859137,49.920000,21.363000,71.283000,200
1775046449428895559,4.276000,1.362000,5.638000,200
1775046449466741711,5.025000,0.396000,5.421000,200
1775046449501583417,4.320000,0.035000,4.355000,200
1775046449549102611,4.277000,0.030000,4.307000,200
1775046449582756270,5.359000,0.036000,5.396000,200
1775046449625888609,6.995000,0.027000,7.022000,200
1775046449662433232,4.405000,0.022000,4.427000,200
1775046449695188388,4.079000,0.032000,4.112000,200
1775046449727917517,3.772000,0.022000,3.795000,200
1775046449760950168,4.316000,0.033000,4.350000,200
1775046449813372474,4.491000,0.036000,4.527000,200
1775046449847038791,4.048000,0.023000,4.071000,200
1775046449882577379,5.187000,0.024000,5.211000,200
1775046449937462557,6.847000,0.047000,6.894000,200
1775046449975163856,5.187000,0.122000,5.310000,200
1775046450010795739,4.570000,0.037000,4.607000,200
1775046450061423777,4.028000,0.029000,4.057000,200
1775046450108552745,4.179000,0.049000,4.228000,200
1775046450142637385,4.071000,0.029000,4.101000,200
1775046450175882826,4.036000,0.048000,4.085000,200
1775046450208823778,3.933000,0.022000,3.955000,200
1775046450243030187,4.754000,0.061000,4.815000,200
1775046450279842955,4.788000,0.036000,4.824000,200
1775046450317340797,6.376000,0.029000,6.406000,200
1775046450353325768,4.267000,0.031000,4.298000,200
1775046450390433816,5.575000,0.031000,5.607000,200
1775046450427072039,4.977000,0.040000,5.017000,200
1775046450482380075,7.163000,0.036000,7.199000,200
1775046450522729657,5.847000,0.031000,5.878000,200
1775046450559756360,8.542000,0.030000,8.573000,200
1775046450600814702,4.962000,0.032000,4.994000,200
1775046450635594169,4.247000,0.030000,4.277000,200
1775046450668256956,4.388000,0.036000,4.424000,200
1775046450702325058,4.103000,0.057000,4.160000,200
1775046450746931184,4.269000,0.039000,4.309000,200
1775046450779687185,3.780000,0.033000,3.814000,200
1775046450812143900,4.016000,0.025000,4.042000,200
1775046450845994194,5.095000,0.034000,5.129000,200
1775046450882006156,5.291000,0.030000,5.321000,200
