arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775039495895000000,1775039495895000000,1775039495895169024,0.000000,0.169024,0.169024,200
1775039495920000000,1775039495920000000,1775039495920167065,0.000000,0.167065,0.167065,200
1775039495944000000,1775039495944000000,1775039495944171281,0.000000,0.171281,0.171281,200
1775039495969000000,1775039495969000000,1775039495969238035,0.000000,0.238035,0.238035,200
1775039496003000000,1775039496003000000,1775039496003170157,0.000000,0.170157,0.170157,200
1775039496026000000,1775039496026000000,1775039496026097752,0.000000,0.097752,0.097752,200
1775039496049000000,1775039496049000000,1775039496049204963,0.000000,0.204963,0.204963,200
1775039496072000000,1775039496072000000,1775039496072160801,0.000000,0.160801,0.160801,200
1775039496097000000,1775039496097000000,1775039496097164113,0.000000,0.164113,0.164113,200
1775039496120000000,1775039496120000000,1775039496120187775,0.000000,0.187775,0.187775,200
1775039496143000000,1775039496143000000,1775039496143196833,0.000000,0.196833,0.196833,200
1775039496189000000,1775039496189000000,1775039496189286919,0.000000,0.286919,0.286919,200
1775039496214000000,1775039496214000000,1775039496214233707,0.000000,0.233707,0.233707,200
1775039496240000000,1775039496240000000,1775039496240187367,0.000000,0.187367,0.187367,200
1775039496268000000,1775039496268000000,1775039496268132898,0.000000,0.132898,0.132898,200
1775039496313000000,1775039496313000000,1775039496313118837,0.000000,0.118837,0.118837,200
1775039496337000000,1775039496337000000,1775039496337197954,0.000000,0.197954,0.197954,200
1775039496361000000,1775039496361000000,1775039496361304568,0.000000,0.304568,0.304568,200
1775039496384000000,1775039496384000000,1775039496384182219,0.000000,0.182219,0.182219,200
1775039496407000000,1775039496407000000,1775039496407171627,0.000000,0.171627,0.171627,200
1775039496439000000,1775039496439000000,1775039496439222192,0.000000,0.222192,0.222192,200
1775039496462000000,1775039496462000000,1775039496462099500,0.000000,0.099500,0.099500,200
1775039496500000000,1775039496500000000,1775039496500157904,0.000000,0.157904,0.157904,200
1775039496523000000,1775039496523000000,1775039496523218499,0.000000,0.218499,0.218499,200
1775039496546000000,1775039496546000000,1775039496546255133,0.000000,0.255133,0.255133,200
1775039496592000000,1775039496592000000,1775039496592162549,0.000000,0.162549,0.162549,200
1775039496618000000,1775039496618000000,1775039496618208669,0.000000,0.208669,0.208669,200
1775039496654000000,1775039496654000000,1775039496654198104,0.000000,0.198104,0.198104,200
1775039496678000000,1775039496678000000,1775039496678245901,0.000000,0.245901,0.245901,200
1775039496704000000,1775039496704000000,1775039496704114191,0.000000,0.114191,0.114191,200
1775039496728000000,1775039496728000000,1775039496728225496,0.000000,0.225496,0.225496,200
1775039496753000000,1775039496753000000,1775039496753097075,0.000000,0.097075,0.097075,200
1775039496776000000,1775039496776000000,1775039496776062064,0.000000,0.062064,0.062064,200
1775039496801000000,1775039496801000000,1775039496801140157,0.000000,0.140157,0.140157,200
1775039496825000000,1775039496825000000,1775039496825123687,0.000000,0.123687,0.123687,200
