arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775039703242000000,1775039703242000000,1775039703242266888,0.000000,0.266888,0.266888,200
1775039703266000000,1775039703266000000,1775039703266185357,0.000000,0.185357,0.185357,200
1775039703289000000,1775039703289000000,1775039703289347017,0.000000,0.347017,0.347017,200
1775039703311000000,1775039703311000000,1775039703311186550,0.000000,0.186550,0.186550,200
1775039703332000000,1775039703332000000,1775039703332223823,0.000000,0.223823,0.223823,200
1775039703367000000,1775039703367000000,1775039703367192280,0.000000,0.192280,0.192280,200
1775039703394000000,1775039703394000000,1775039703394450922,0.000000,0.450922,0.450922,200
1775039703431000000,1775039703431000000,1775039703431131230,0.000000,0.131230,0.131230,200
1775039703468000000,1775039703468000000,1775039703468206208,0.000000,0.206208,0.206208,200
1775039703497000000,1775039703497000000,1775039703497127332,0.000000,0.127332,0.127332,200
1775039703518000000,1775039703518000000,1775039703518131450,0.000000,0.131450,0.131450,200
1775039703541000000,1775039703541000000,1775039703541134006,0.000000,0.134006,0.134006,200
1775039703559000000,1775039703559000000,1775039703559162632,0.000000,0.162632,0.162632,200
1775039703583000000,1775039703583000000,1775039703583129837,0.000000,0.129837,0.129837,200
1775039703608000000,1775039703608000000,1775039703608131621,0.000000,0.131621,0.131621,200
1775039703634000000,1775039703634000000,1775039703634131951,0.000000,0.131951,0.131951,200
1775039703651000000,1775039703651000000,1775039703651173543,0.000000,0.173543,0.173543,200
1775039703683000000,1775039703683000000,1775039703683154105,0.000000,0.154105,0.154105,200
1775039703700000000,1775039703700000000,1775039703701333429,0.000000,1.333429,1.333429,200
1775039703718000000,1775039703718000000,1775039703718128784,0.000000,0.128784,0.128784,200
1775039703735000000,1775039703735000000,1775039703735140608,0.000000,0.140608,0.140608,200
1775039703752000000,1775039703752000000,1775039703752132523,0.000000,0.132523,0.132523,200
1775039703770000000,1775039703770000000,1775039703770130658,0.000000,0.130658,0.130658,200
1775039703787000000,1775039703787000000,1775039703787129536,0.000000,0.129536,0.129536,200
1775039703805000000,1775039703805000000,1775039703805140528,0.000000,0.140528,0.140528,200
1775039703841000000,1775039703841000000,1775039703841132833,0.000000,0.132833,0.132833,200
1775039703859000000,1775039703859000000,1775039703859129286,0.000000,0.129286,0.129286,200
1775039703876000000,1775039703876000000,1775039703876128394,0.000000,0.128394,0.128394,200
1775039703895000000,1775039703895000000,1775039703895193563,0.000000,0.193563,0.193563,200
1775039703916000000,1775039703916000000,1775039703916178272,0.000000,0.178272,0.178272,200
1775039703949000000,1775039703949000000,1775039703949201308,0.000000,0.201308,0.201308,200
1775039703967000000,1775039703967000000,1775039703967183574,0.000000,0.183574,0.183574,200
1775039703996000000,1775039703996000000,1775039703996267379,0.000000,0.267379,0.267379,200
1775039704014000000,1775039704014000000,1775039704014141580,0.000000,0.141580,0.141580,200
1775039704034000000,1775039704034000000,1775039704034174576,0.000000,0.174576,0.174576,200
1775039704053000000,1775039704053000000,1775039704053181609,0.000000,0.181609,0.181609,200
1775039704089000000,1775039704089000000,1775039704089160658,0.000000,0.160658,0.160658,200
1775039704109000000,1775039704109000000,1775039704109140027,0.000000,0.140027,0.140027,200
1775039704127000000,1775039704127000000,1775039704127172601,0.000000,0.172601,0.172601,200
