arrival_unix_ns,service_ms,queue_ms,response_ms,status_code
1775039283871000000,9.614772,1.183914,10.798686,200
1775039283959000000,2.290523,0.875022,3.165545,200
1775039284021000000,4.252377,0.288100,4.540477,200
1775039284088000000,12.986486,0.284663,13.271149,200
1775039284168000000,1.877817,0.108956,1.986773,200
1775039284230000000,2.448757,0.319873,2.768630,200
1775039284296000000,4.392254,0.358580,4.750834,200
1775039284359000000,7.199241,0.234524,7.433765,200
1775039284448000000,9.585646,0.416926,10.002572,200
1775039284518000000,2.774392,0.300254,3.074646,200
1775039284585000000,1.257460,0.277830,1.535290,200
1775039284643000000,1.187631,0.398770,1.586401,200
1775039284710000000,1.165357,0.056892,1.222249,200
1775039284767000000,1.144306,0.057183,1.201489,200
1775039284828000000,1.067704,0.062073,1.129777,200
1775039284898000000,1.466904,0.072594,1.539498,200
1775039284955000000,1.851244,0.083275,1.934519,200
1775039285037000000,1.097643,0.061482,1.159125,200
1775039285101000000,1.134556,0.079017,1.213573,200
1775039285169000000,1.044809,0.063075,1.107884,200
1775039285252000000,4.935661,0.053807,4.989468,200
1775039285320000000,1.166288,0.056803,1.223091,200
1775039285374000000,1.069077,0.054919,1.123996,200
1775039285433000000,1.028987,0.060539,1.089526,200
1775039285489000000,1.075068,0.057223,1.132291,200
1775039285551000000,0.961814,0.056111,1.017925,200
1775039285627000000,18.147348,0.080379,18.227727,200
1775039285706000000,1.261106,0.070319,1.331425,200
1775039285763000000,5.144384,1.111350,6.255734,200
1775039285840000000,0.916264,0.117703,1.033967,200
1775039285901000000,0.865022,0.077464,0.942486,200
1775039285977000000,0.914060,0.085218,0.999278,200
1775039286035000000,1.264072,0.099277,1.363349,200
1775039286106000000,0.870584,0.055219,0.925803,200
1775039286173000000,0.801787,0.055440,0.857227,200
1775039286233000000,2.794201,0.061492,2.855693,200
1775039286306000000,0.889762,0.710095,1.599857,200
1775039286366000000,0.804252,0.069928,0.874180,200
1775039286431000000,0.841416,0.056201,0.897617,200
1775039286498000000,1.653183,0.053726,1.706909,200
1775039286554000000,1.102323,0.053636,1.155959,200
1775039286621000000,0.584127,0.077704,0.661831,200
1775039286689000000,0.687120,0.054237,0.741357,200
1775039286754000000,0.594787,0.060240,0.655027,200
1775039286809000000,0.504549,0.061943,0.566492,200
1775039286873000000,0.597543,0.061872,0.659415,200
1775039286932000000,9.706276,0.059167,9.765443,200
1775039287010000000,0.463588,0.094727,0.558315,200
1775039287076000000,0.484610,0.060630,0.545240,200
1775039287152000000,0.571471,0.063977,0.635448,200
1775039287223000000,0.614707,0.058486,0.673193,200
1775039287289000000,0.823811,0.149135,0.972946,200
1775039287356000000,4.674905,0.061802,4.736707,200
1775039287425000000,0.658313,0.057704,0.716017,200
1775039287498000000,0.569698,0.192651,0.762349,200
1775039287555000000,0.446193,0.036663,0.482856,200
1775039287625000000,0.470992,0.035370,0.506362,200
1775039287699000000,1.305084,0.780816,2.085900,200
1775039287771000000,0.554878,0.148714,0.703592,200
1775039287850000000,1.023186,0.036001,1.059187,200
1775039287908000000,0.441464,0.033205,0.474669,200
1775039287971000000,1.197991,0.077524,1.275515,200
1775039288028000000,0.594908,0.137943,0.732851,200
1775039288089000000,0.728542,0.059858,0.788400,200
1775039288160000000,4.757198,0.029028,4.786226,200
1775039288219000000,0.452787,0.032845,0.485632,200
1775039288284000000,1.463377,0.035370,1.498747,200
1775039288362000000,0.641309,0.052173,0.693482,200
1775039288417000000,0.468348,0.030460,0.498808,200
1775039288501000000,6.942733,0.034348,6.977081,200
1775039288566000000,0.428248,0.032635,0.460883,200
1775039288641000000,0.491613,0.029369,0.520982,200
1775039288718000000,0.443257,0.031533,0.474790,200
1775039288781000000,0.527865,0.033306,0.561171,200
1775039288837000000,0.416985,0.035310,0.452295,200
1775039289002000000,8.596578,16.302017,24.898595,200
1775039289030000000,0.626781,31.332160,31.958941,200
1775039289091000000,0.577082,15.962063,16.539145,200
1775039289091000000,0.510291,46.675000,47.185291,200
