arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775044212584000000,1775044212584000000,1775044212584126822,0.000000,0.126822,0.126822,200
1775044212658000000,1775044212658000000,1775044212658178665,0.000000,0.178665,0.178665,200
1775044212679000000,1775044212679000000,1775044212679130199,0.000000,0.130199,0.130199,200
1775044212705000000,1775044212705000000,1775044212705186120,0.000000,0.186120,0.186120,200
1775044212734000000,1775044212734000000,1775044212734190368,0.000000,0.190368,0.190368,200
1775044212769000000,1775044212769000000,1775044212769668719,0.000000,0.668719,0.668719,200
1775044212796000000,1775044212796000000,1775044212797098103,0.000000,1.098103,1.098103,200
1775044212844000000,1775044212844000000,1775044212844200979,0.000000,0.200979,0.200979,200
1775044212866000000,1775044212866000000,1775044212866214737,0.000000,0.214737,0.214737,200
1775044212905000000,1775044212905000000,1775044212905200759,0.000000,0.200759,0.200759,200
1775044212928000000,1775044212928000000,1775044212928125709,0.000000,0.125709,0.125709,200
1775044212951000000,1775044212951000000,1775044212951191430,0.000000,0.191430,0.191430,200
1775044212973000000,1775044212973000000,1775044212973127353,0.000000,0.127353,0.127353,200
1775044212995000000,1775044212995000000,1775044212995174857,0.000000,0.174857,0.174857,200
1775044213021000000,1775044213021000000,1775044213021418381,0.000000,0.418381,0.418381,200
1775044213046000000,1775044213046000000,1775044213046380997,0.000000,0.380997,0.380997,200
1775044213072000000,1775044213072000000,1775044213072206711,0.000000,0.206711,0.206711,200
1775044213097000000,1775044213097000000,1775044213097164387,0.000000,0.164387,0.164387,200
1775044213122000000,1775044213122000000,1775044213122186671,0.000000,0.186671,0.186671,200
1775044213205000000,1775044213205000000,1775044213205191791,0.000000,0.191791,0.191791,200
1775044213230000000,1775044213230000000,1775044213230196189,0.000000,0.196189,0.196189,200
1775044213257000000,1775044213257000000,1775044213257136552,0.000000,0.136552,0.136552,200
1775044213285000000,1775044213285000000,1775044213285139788,0.000000,0.139788,0.139788,200
1775044213310000000,1775044213310000000,1775044213310207161,0.000000,0.207161,0.207161,200
1775044213336000000,1775044213336000000,1775044213336224296,0.000000,0.224296,0.224296,200
1775044213361000000,1775044213361000000,1775044213361251510,0.000000,0.251510,0.251510,200
1775044213385000000,1775044213385000000,1775044213385191009,0.000000,0.191009,0.191009,200
1775044213407000000,1775044213407000000,1775044213407223303,0.000000,0.223303,0.223303,200
1775044213431000000,1775044213431000000,1775044213431221922,0.000000,0.221922,0.221922,200
