arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775046121205000000,1775046121205000000,1775046121205194920,0.000000,0.194920,0.194920,200
1775046121223000000,1775046121223000000,1775046121223192754,0.000000,0.192754,0.192754,200
1775046121247000000,1775046121247000000,1775046121247197413,0.000000,0.197413,0.197413,200
1775046121271000000,1775046121271000000,1775046121271270626,0.000000,0.270626,0.270626,200
1775046121289000000,1775046121289000000,1775046121289196171,0.000000,0.196171,0.196171,200
1775046121305000000,1775046121305000000,1775046121305115322,0.000000,0.115322,0.115322,200
1775046121319000000,1775046121319000000,1775046121319234478,0.000000,0.234478,0.234478,200
1775046121334000000,1775046121334000000,1775046121334185822,0.000000,0.185822,0.185822,200
1775046121349000000,1775046121349000000,1775046121349189488,0.000000,0.189488,0.189488,200
1775046121365000000,1775046121365000000,1775046121365215599,0.000000,0.215599,0.215599,200
1775046121382000000,1775046121382000000,1775046121382225557,0.000000,0.225557,0.225557,200
1775046121396000000,1775046121396000000,1775046121396323682,0.000000,0.323682,0.323682,200
1775046121412000000,1775046121412000000,1775046121412265908,0.000000,0.265908,0.265908,200
1775046121429000000,1775046121429000000,1775046121429215150,0.000000,0.215150,0.215150,200
1775046121444000000,1775046121444000000,1775046121444154797,0.000000,0.154797,0.154797,200
1775046121458000000,1775046121458000000,1775046121458139064,0.000000,0.139064,0.139064,200
1775046121474000000,1775046121474000000,1775046121474226788,0.000000,0.226788,0.226788,200
1775046121491000000,1775046121491000000,1775046121491342742,0.000000,0.342742,0.342742,200
1775046121510000000,1775046121510000000,1775046121510209480,0.000000,0.209480,0.209480,200
1775046121528000000,1775046121528000000,1775046121528197796,0.000000,0.197796,0.197796,200
1775046121545000000,1775046121545000000,1775046121545253338,0.000000,0.253338,0.253338,200
1775046121562000000,1775046121562000000,1775046121562117298,0.000000,0.117298,0.117298,200
1775046121581000000,1775046121581000000,1775046121581182611,0.000000,0.182611,0.182611,200
1775046122494000000,1775046122494000000,1775046122494249301,0.000000,0.249301,0.249301,200
1775046122512000000,1775046122512000000,1775046122512289230,0.000000,0.289230,0.289230,200
1775046122551000000,1775046122551000000,1775046122551187756,0.000000,0.187756,0.187756,200
1775046122569000000,1775046122569000000,1775046122569238540,0.000000,0.238540,0.238540,200
1775046122587000000,1775046122587000000,1775046122587226953,0.000000,0.226953,0.226953,200
1775046122628000000,1775046122628000000,1775046122628279192,0.000000,0.279192,0.279192,200
1775046122649000000,1775046122649000000,1775046122649133849,0.000000,0.133849,0.133849,200
1775046122667000000,1775046122667000000,1775046122667256947,0.000000,0.256947,0.256947,200
1775046122686000000,1775046122686000000,1775046122686114556,0.000000,0.114556,0.114556,200
1775046122719000000,1775046122719000000,1775046122719074614,0.000000,0.074614,0.074614,200
1775046122750000000,1775046122750000000,1775046122750162893,0.000000,0.162893,0.162893,200
1775046122770000000,1775046122770000000,1775046122770144500,0.000000,0.144500,0.144500,200
1775046122791000000,1775046122791000000,1775046122791289523,0.000000,0.289523,0.289523,200
1775046122827000000,1775046122827000000,1775046122827266696,0.000000,0.266696,0.266696,200
1775046122858000000,1775046122858000000,1775046122858128465,0.000000,0.128465,0.128465,200
1775046122877000000,1775046122877000000,1775046122877286324,0.000000,0.286324,0.286324,200
1775046122898000000,1775046122898000000,1775046122898139738,0.000000,0.139738,0.139738,200
1775046122917000000,1775046122917000000,1775046122917199342,0.000000,0.199342,0.199342,200
1775046122937000000,1775046122937000000,1775046122937183917,0.000000,0.183917,0.183917,200
1775046122954000000,1775046122954000000,1775046122954215476,0.000000,0.215476,0.215476,200
1775046122971000000,1775046122971000000,1775046122971283151,0.000000,0.283151,0.283151,200
1775046122998000000,1775046122998000000,1775046122998264035,0.000000,0.264035,0.264035,200
1775046123015000000,1775046123015000000,1775046123015236081,0.000000,0.236081,0.236081,200
1775046123046000000,1775046123046000000,1775046123046265219,0.000000,0.265219,0.265219,200
1775046123062000000,1775046123062000000,1775046123062248156,0.000000,0.248156,0.248156,200
1775046123081000000,1775046123081000000,1775046123081161628,0.000000,0.161628,0.161628,200
1775046123097000000,1775046123097000000,1775046123097156060,0.000000,0.156060,0.156060,200
1775046123128000000,1775046123128000000,1775046123128171777,0.000000,0.171777,0.171777,200
1775046123145000000,1775046123145000000,1775046123145250169,0.000000,0.250169,0.250169,200
1775046123177000000,1775046123177000000,1775046123177187067,0.000000,0.187067,0.187067,200
1775046123220000000,1775046123220000000,1775046123220509993,0.000000,0.509993,0.509993,200
1775046123252000000,1775046123252000000,1775046123252150011,0.000000,0.150011,0.150011,200
1775046123282000000,1775046123282000000,1775046123282134596,0.000000,0.134596,0.134596,200
1775046123314000000,1775046123314000000,1775046123314277696,0.000000,0.277696,0.277696,200
1775046123330000000,1775046123330000000,1775046123330357787,0.000000,0.357787,0.357787,200
1775046123347000000,1775046123347000000,1775046123347250788,0.000000,0.250788,0.250788,200
1775046123375000000,1775046123375000000,1775046123375285045,0.000000,0.285045,0.285045,200
1775046123396000000,1775046123396000000,1775046123396358412,0.000000,0.358412,0.358412,200
1775046123417000000,1775046123417000000,1775046123417198742,0.000000,0.198742,0.198742,200
1775046123442000000,1775046123442000000,1775046123442118698,0.000000,0.118698,0.118698,200
1775046123470000000,1775046123470000000,1775046123470167689,0.000000,0.167689,0.167689,200
1775046123494000000,1775046123494000000,1775046123494298287,0.000000,0.298287,0.298287,200
1775046123525000000,1775046123525000000,1775046123525117748,0.000000,0.117748,0.117748,200
1775046123548000000,1775046123548000000,1775046123548208821,0.000000,0.208821,0.208821,200
1775046123576000000,1775046123576000000,1775046123576227396,0.000000,0.227396,0.227396,200
1775046123606000000,1775046123606000000,1775046123606182376,0.000000,0.182376,0.182376,200
1775046123633000000,1775046123633000000,1775046123633272908,0.000000,0.272908,0.272908,200
1775046123654000000,1775046123654000000,1775046123654258199,0.000000,0.258199,0.258199,200
1775046123683000000,1775046123683000000,1775046123683507163,0.000000,0.507163,0.507163,200
1775046123700000000,1775046123700000000,1775046123700262153,0.000000,0.262153,0.262153,200
1775046123719000000,1775046123719000000,1775046123719162734,0.000000,0.162734,0.162734,200
1775046123760000000,1775046123760000000,1775046123760165767,0.000000,0.165767,0.165767,200
1775046123777000000,1775046123777000000,1775046123777149298,0.000000,0.149298,0.149298,200
1775046123795000000,1775046123795000000,1775046123795298215,0.000000,0.298215,0.298215,200
1775046123836000000,1775046123836000000,1775046123836165443,0.000000,0.165443,0.165443,200
1775046123856000000,1775046123856000000,1775046123856200582,0.000000,0.200582,0.200582,200
1775046123889000000,1775046123889000000,1775046123889275639,0.000000,0.275639,0.275639,200
1775046123920000000,1775046123920000000,1775046123920155692,0.000000,0.155692,0.155692,200
1775046123947000000,1775046123947000000,1775046123947183934,0.000000,0.183934,0.183934,200
1775046123971000000,1775046123971000000,1775046123971100920,0.000000,0.100920,0.100920,200
1775046124007000000,1775046124007000000,1775046124007135454,0.000000,0.135454,0.135454,200
1775046124025000000,1775046124025000000,1775046124025165385,0.000000,0.165385,0.165385,200
1775046124053000000,1775046124053000000,1775046124053242191,0.000000,0.242191,0.242191,200
1775046124072000000,1775046124072000000,1775046124072327461,0.000000,0.327461,0.327461,200
1775046124092000000,1775046124092000000,1775046124092204652,0.000000,0.204652,0.204652,200
1775046124131000000,1775046124131000000,1775046124131228114,0.000000,0.228114,0.228114,200
1775046124147000000,1775046124147000000,1775046124147219999,0.000000,0.219999,0.219999,200
1775046124176000000,1775046124176000000,1775046124176313937,0.000000,0.313937,0.313937,200
1775046124194000000,1775046124194000000,1775046124194291477,0.000000,0.291477,0.291477,200
1775046124213000000,1775046124213000000,1775046124213229207,0.000000,0.229207,0.229207,200
1775046124232000000,1775046124232000000,1775046124232139265,0.000000,0.139265,0.139265,200
1775046124251000000,1775046124251000000,1775046124251292613,0.000000,0.292613,0.292613,200
1775046124272000000,1775046124272000000,1775046124272238952,0.000000,0.238952,0.238952,200
1775046124331000000,1775046124331000000,1775046124331331737,0.000000,0.331737,0.331737,200
1775046124354000000,1775046124354000000,1775046124354203746,0.000000,0.203746,0.203746,200
1775046124407000000,1775046124407000000,1775046124407439652,0.000000,0.439652,0.439652,200
1775046124430000000,1775046124430000000,1775046124430179340,0.000000,0.179340,0.179340,200
1775046124468000000,1775046124468000000,1775046124468382352,0.000000,0.382352,0.382352,200
1775046124505000000,1775046124505000000,1775046124505215535,0.000000,0.215535,0.215535,200
1775046124536000000,1775046124536000000,1775046124536168720,0.000000,0.168720,0.168720,200
1775046124594000000,1775046124594000000,1775046124594133061,0.000000,0.133061,0.133061,200
1775046124626000000,1775046124626000000,1775046124626194396,0.000000,0.194396,0.194396,200
