arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775046229569000000,1775046229569000000,1775046229569134416,0.000000,0.134416,0.134416,200
1775046229649000000,1775046229649000000,1775046229649192752,0.000000,0.192752,0.192752,200
1775046229727000000,1775046229727000000,1775046229727160388,0.000000,0.160388,0.160388,200
1775046229808000000,1775046229808000000,1775046229808225076,0.000000,0.225076,0.225076,200
1775046229826000000,1775046229826000000,1775046229826170858,0.000000,0.170858,0.170858,200
1775046229843000000,1775046229843000000,1775046229843197902,0.000000,0.197902,0.197902,200
1775046229860000000,1775046229860000000,1775046229860213773,0.000000,0.213773,0.213773,200
1775046229877000000,1775046229877000000,1775046229877199866,0.000000,0.199866,0.199866,200
1775046229894000000,1775046229894000000,1775046229894246688,0.000000,0.246688,0.246688,200
1775046229911000000,1775046229911000000,1775046229911193974,0.000000,0.193974,0.193974,200
1775046229926000000,1775046229926000000,1775046229926193293,0.000000,0.193293,0.193293,200
1775046229940000000,1775046229940000000,1775046229940198403,0.000000,0.198403,0.198403,200
1775046229955000000,1775046229955000000,1775046229955186129,0.000000,0.186129,0.186129,200
1775046229975000000,1775046229975000000,1775046229975251609,0.000000,0.251609,0.251609,200
1775046229992000000,1775046229992000000,1775046229992241519,0.000000,0.241519,0.241519,200
1775046230007000000,1775046230007000000,1775046230007188453,0.000000,0.188453,0.188453,200
1775046230025000000,1775046230025000000,1775046230025186049,0.000000,0.186049,0.186049,200
1775046230042000000,1775046230042000000,1775046230042130148,0.000000,0.130148,0.130148,200
1775046230056000000,1775046230056000000,1775046230056187732,0.000000,0.187732,0.187732,200
1775046230075000000,1775046230075000000,1775046230075191829,0.000000,0.191829,0.191829,200
1775046230090000000,1775046230090000000,1775046230090185548,0.000000,0.185548,0.185548,200
1775046230105000000,1775046230105000000,1775046230105237620,0.000000,0.237620,0.237620,200
1775046230126000000,1775046230126000000,1775046230126193243,0.000000,0.193243,0.193243,200
1775046230145000000,1775046230145000000,1775046230145163323,0.000000,0.163323,0.163323,200
1775046230167000000,1775046230167000000,1775046230167215687,0.000000,0.215687,0.215687,200
1775046230183000000,1775046230183000000,1775046230184342491,0.000000,1.342491,1.342491,200
1775046230198000000,1775046230198000000,1775046230198200698,0.000000,0.200698,0.200698,200
1775046230214000000,1775046230214000000,1775046230214214044,0.000000,0.214044,0.214044,200
1775046230232000000,1775046230232000000,1775046230232203503,0.000000,0.203503,0.203503,200
1775046230246000000,1775046230246000000,1775046230246183123,0.000000,0.183123,0.183123,200
1775046230265000000,1775046230265000000,1775046230265233993,0.000000,0.233993,0.233993,200
1775046230280000000,1775046230280000000,1775046230280196540,0.000000,0.196540,0.196540,200
1775046230296000000,1775046230296000000,1775046230296190166,0.000000,0.190166,0.190166,200
1775046230314000000,1775046230314000000,1775046230314227010,0.000000,0.227010,0.227010,200
1775046230332000000,1775046230332000000,1775046230332134866,0.000000,0.134866,0.134866,200
1775046230350000000,1775046230350000000,1775046230350207671,0.000000,0.207671,0.207671,200
1775046230370000000,1775046230370000000,1775046230370132792,0.000000,0.132792,0.132792,200
1775046230391000000,1775046230391000000,1775046230391129386,0.000000,0.129386,0.129386,200
1775046230413000000,1775046230413000000,1775046230413231077,0.000000,0.231077,0.231077,200
1775046230432000000,1775046230432000000,1775046230432216639,0.000000,0.216639,0.216639,200
1775046230453000000,1775046230453000000,1775046230453224514,0.000000,0.224514,0.224514,200
1775046230474000000,1775046230474000000,1775046230474189455,0.000000,0.189455,0.189455,200
1775046230492000000,1775046230492000000,1775046230492207631,0.000000,0.207631,0.207631,200
1775046230512000000,1775046230512000000,1775046230512157181,0.000000,0.157181,0.157181,200
1775046230530000000,1775046230530000000,1775046230530211389,0.000000,0.211389,0.211389,200
1775046230547000000,1775046230547000000,1775046230547238472,0.000000,0.238472,0.238472,200
1775046230563000000,1775046230563000000,1775046230563218533,0.000000,0.218533,0.218533,200
1775046230579000000,1775046230579000000,1775046230579198673,0.000000,0.198673,0.198673,200
1775046230598000000,1775046230598000000,1775046230598208794,0.000000,0.208794,0.208794,200
1775046230614000000,1775046230614000000,1775046230614146871,0.000000,0.146871,0.146871,200
1775046230632000000,1775046230632000000,1775046230632211359,0.000000,0.211359,0.211359,200
1775046230652000000,1775046230652000000,1775046230652209114,0.000000,0.209114,0.209114,200
1775046230673000000,1775046230673000000,1775046230673146810,0.000000,0.146810,0.146810,200
1775046230689000000,1775046230689000000,1775046230689212190,0.000000,0.212190,0.212190,200
1775046230707000000,1775046230707000000,1775046230707194074,0.000000,0.194074,0.194074,200
1775046230725000000,1775046230725000000,1775046230725171881,0.000000,0.171881,0.171881,200
1775046230742000000,1775046230742000000,1775046230742172501,0.000000,0.172501,0.172501,200
1775046230763000000,1775046230763000000,1775046230763181820,0.000000,0.181820,0.181820,200
1775046230782000000,1775046230782000000,1775046230782177963,0.000000,0.177963,0.177963,200
1775046230799000000,1775046230799000000,1775046230799200978,0.000000,0.200978,0.200978,200
1775046230815000000,1775046230815000000,1775046230815199204,0.000000,0.199204,0.199204,200
1775046230831000000,1775046230831000000,1775046230831187111,0.000000,0.187111,0.187111,200
1775046230847000000,1775046230847000000,1775046230847181088,0.000000,0.181088,0.181088,200
1775046230864000000,1775046230864000000,1775046230864228082,0.000000,0.228082,0.228082,200
1775046230882000000,1775046230882000000,1775046230882145929,0.000000,0.145929,0.145929,200
1775046230898000000,1775046230898000000,1775046230898238473,0.000000,0.238473,0.238473,200
1775046230914000000,1775046230914000000,1775046230914148203,0.000000,0.148203,0.148203,200
1775046230932000000,1775046230932000000,1775046230932148605,0.000000,0.148605,0.148605,200
1775046230948000000,1775046230948000000,1775046230948196469,0.000000,0.196469,0.196469,200
1775046230969000000,1775046230969000000,1775046230969194355,0.000000,0.194355,0.194355,200
1775046230989000000,1775046230989000000,1775046230989187291,0.000000,0.187291,0.187291,200
1775046231010000000,1775046231010000000,1775046231010199666,0.000000,0.199666,0.199666,200
1775046231028000000,1775046231028000000,1775046231028325554,0.000000,0.325554,0.325554,200
1775046231049000000,1775046231049000000,1775046231049172652,0.000000,0.172652,0.172652,200
1775046231068000000,1775046231068000000,1775046231068145418,0.000000,0.145418,0.145418,200
1775046231090000000,1775046231090000000,1775046231090156650,0.000000,0.156650,0.156650,200
1775046231109000000,1775046231109000000,1775046231109241799,0.000000,0.241799,0.241799,200
1775046231125000000,1775046231125000000,1775046231125228573,0.000000,0.228573,0.228573,200
1775046231144000000,1775046231144000000,1775046231144230757,0.000000,0.230757,0.230757,200
1775046231160000000,1775046231160000000,1775046231160207219,0.000000,0.207219,0.207219,200
1775046231184000000,1775046231184000000,1775046231184190047,0.000000,0.190047,0.190047,200
1775046231205000000,1775046231205000000,1775046231205209284,0.000000,0.209284,0.209284,200
1775046231224000000,1775046231224000000,1775046231224189095,0.000000,0.189095,0.189095,200
1775046231245000000,1775046231245000000,1775046231245211359,0.000000,0.211359,0.211359,200
1775046231262000000,1775046231262000000,1775046231262157181,0.000000,0.157181,0.157181,200
1775046231280000000,1775046231280000000,1775046231280194265,0.000000,0.194265,0.194265,200
1775046231295000000,1775046231295000000,1775046231295219034,0.000000,0.219034,0.219034,200
1775046231314000000,1775046231314000000,1775046231314254705,0.000000,0.254705,0.254705,200
1775046231329000000,1775046231329000000,1775046231329188403,0.000000,0.188403,0.188403,200
1775046231345000000,1775046231345000000,1775046231345197822,0.000000,0.197822,0.197822,200
1775046231365000000,1775046231365000000,1775046231365186299,0.000000,0.186299,0.186299,200
1775046231382000000,1775046231382000000,1775046231382139396,0.000000,0.139396,0.139396,200
1775046231398000000,1775046231398000000,1775046231398175187,0.000000,0.175187,0.175187,200
1775046231418000000,1775046231418000000,1775046231418209054,0.000000,0.209054,0.209054,200
1775046231438000000,1775046231438000000,1775046231438174365,0.000000,0.174365,0.174365,200
1775046231459000000,1775046231459000000,1775046231459208332,0.000000,0.208332,0.208332,200
1775046231477000000,1775046231477000000,1775046231477180667,0.000000,0.180667,0.180667,200
1775046231497000000,1775046231497000000,1775046231497199475,0.000000,0.199475,0.199475,200
1775046231518000000,1775046231518000000,1775046231518222942,0.000000,0.222942,0.222942,200
1775046231540000000,1775046231540000000,1775046231540138705,0.000000,0.138705,0.138705,200
1775046231558000000,1775046231558000000,1775046231558202201,0.000000,0.202201,0.202201,200
1775046231578000000,1775046231578000000,1775046231578221609,0.000000,0.221609,0.221609,200
1775046231598000000,1775046231598000000,1775046231598192992,0.000000,0.192992,0.192992,200
1775046231618000000,1775046231618000000,1775046231618243472,0.000000,0.243472,0.243472,200
1775046231638000000,1775046231638000000,1775046231638185057,0.000000,0.185057,0.185057,200
