arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775046344642000000,1775046344642000000,1775046344642147052,0.000000,0.147052,0.147052,200
1775046344658000000,1775046344658000000,1775046344658194375,0.000000,0.194375,0.194375,200
1775046344674000000,1775046344674000000,1775046344674146530,0.000000,0.146530,0.146530,200
1775046344692000000,1775046344692000000,1775046344692235477,0.000000,0.235477,0.235477,200
1775046344712000000,1775046344712000000,1775046344712250847,0.000000,0.250847,0.250847,200
1775046344731000000,1775046344731000000,1775046344731149526,0.000000,0.149526,0.149526,200
1775046344761000000,1775046344761000000,1775046344761258302,0.000000,0.258302,0.258302,200
1775046344780000000,1775046344780000000,1775046344780178814,0.000000,0.178814,0.178814,200
1775046344797000000,1775046344797000000,1775046344797148064,0.000000,0.148064,0.148064,200
1775046344816000000,1775046344816000000,1775046344816131952,0.000000,0.131952,0.131952,200
1775046344836000000,1775046344836000000,1775046344836130469,0.000000,0.130469,0.130469,200
1775046344852000000,1775046344852000000,1775046344852129537,0.000000,0.129537,0.129537,200
1775046344869000000,1775046344869000000,1775046344869190868,0.000000,0.190868,0.190868,200
1775046344901000000,1775046344901000000,1775046344901144066,0.000000,0.144066,0.144066,200
1775046344932000000,1775046344932000000,1775046344932176740,0.000000,0.176740,0.176740,200
1775046344949000000,1775046344949000000,1775046344949180558,0.000000,0.180558,0.180558,200
1775046344969000000,1775046344969000000,1775046344969193885,0.000000,0.193885,0.193885,200
1775046344988000000,1775046344988000000,1775046344988176510,0.000000,0.176510,0.176510,200
1775046345013000000,1775046345013000000,1775046345013128334,0.000000,0.128334,0.128334,200
1775046345033000000,1775046345033000000,1775046345033180558,0.000000,0.180558,0.180558,200
1775046345072000000,1775046345072000000,1775046345072194836,0.000000,0.194836,0.194836,200
1775046345089000000,1775046345089000000,1775046345089185387,0.000000,0.185387,0.185387,200
1775046345110000000,1775046345110000000,1775046345110202050,0.000000,0.202050,0.202050,200
1775046345149000000,1775046345149000000,1775046345149130208,0.000000,0.130208,0.130208,200
