arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775042526767651026,1775042526767651026,1775042526768561957,0.000000,0.910931,0.910931,200
1775042526785268805,1775042526785268805,1775042526786011846,0.000000,0.743041,0.743041,200
1775042526801981390,1775042526801981390,1775042526803009702,0.000000,1.028312,1.028312,200
1775042526824114012,1775042526824114012,1775042526824961027,0.000000,0.847015,0.847015,200
1775042526843747587,1775042526843747587,1775042526844601045,0.000000,0.853458,0.853458,200
1775042526867032244,1775042526867032244,1775042526867799011,0.000000,0.766767,0.766767,200
1775042526883855365,1775042526883855365,1775042526884573487,0.000000,0.718122,0.718122,200
1775042526899159840,1775042526899159840,1775042526900004190,0.000000,0.844350,0.844350,200
1775042526916721665,1775042526916721665,1775042526917588009,0.000000,0.866344,0.866344,200
1775042526933120554,1775042526933120554,1775042526933971027,0.000000,0.850473,0.850473,200
1775042526959844911,1775042526959844911,1775042526960535840,0.000000,0.690929,0.690929,200
1775042526975628211,1775042526975628211,1775042526976464352,0.000000,0.836141,0.836141,200
1775042526993149872,1775042526993149872,1775042526993898424,0.000000,0.748552,0.748552,200
1775042527011530570,1775042527011530570,1775042527012256216,0.000000,0.725646,0.725646,200
1775042527033103588,1775042527033103588,1775042527033871388,0.000000,0.767800,0.767800,200
1775042527051441358,1775042527051441358,1775042527052401055,0.000000,0.959697,0.959697,200
1775042527067699880,1775042527067699880,1775042527068407802,0.000000,0.707922,0.707922,200
1775042527099849148,1775042527099849148,1775042527100384220,0.000000,0.535072,0.535072,200
1775042527131880164,1775042527131880164,1775042527132436417,0.000000,0.556253,0.556253,200
1775042527162149452,1775042527162149452,1775042527162900519,0.000000,0.751067,0.751067,200
1775042527177105936,1775042527177105936,1775042527177620618,0.000000,0.514682,0.514682,200
1775042527191848853,1775042527191848853,1775042527192545393,0.000000,0.696540,0.696540,200
1775042527207568614,1775042527207568614,1775042527208436461,0.000000,0.867847,0.867847,200
1775042527221875602,1775042527221875602,1775042527222742607,0.000000,0.867005,0.867005,200
1775042527236111050,1775042527236111050,1775042527236584791,0.000000,0.473741,0.473741,200
1775042527250311704,1775042527250311704,1775042527250858890,0.000000,0.547186,0.547186,200
1775042527264345681,1775042527264345681,1775042527264876154,0.000000,0.530473,0.530473,200
1775042527278981985,1775042527278981985,1775042527279739945,0.000000,0.757960,0.757960,200
1775042527293194152,1775042527293194152,1775042527293673745,0.000000,0.479593,0.479593,200
1775042527316115905,1775042527316115905,1775042527316746715,0.000000,0.630810,0.630810,200
1775042527329186808,1775042527329186808,1775042527329768612,0.000000,0.581804,0.581804,200
1775042527344508375,1775042527344508375,1775042527345077404,0.000000,0.569029,0.569029,200
1775042527359976293,1775042527359976293,1775042527360536966,0.000000,0.560673,0.560673,200
1775042527373830361,1775042527373830361,1775042527374444268,0.000000,0.613907,0.613907,200
1775042527388117068,1775042527388117068,1775042527388801875,0.000000,0.684807,0.684807,200
1775042527424203115,1775042527424203115,1775042527424813385,0.000000,0.610270,0.610270,200
1775042527438051909,1775042527438051909,1775042527438774560,0.000000,0.722651,0.722651,200
1775042527453562319,1775042527453562319,1775042527454173270,0.000000,0.610951,0.610951,200
1775042527468200630,1775042527468200630,1775042527468634884,0.000000,0.434254,0.434254,200
1775042527481868947,1775042527481868947,1775042527482508334,0.000000,0.639387,0.639387,200
1775042527496678430,1775042527496678430,1775042527497289632,0.000000,0.611202,0.611202,200
1775042527511051622,1775042527511051622,1775042527511546525,0.000000,0.494903,0.494903,200
1775042527548140173,1775042527548140173,1775042527548635587,0.000000,0.495414,0.495414,200
1775042527563436884,1775042527563436884,1775042527564290863,0.000000,0.853979,0.853979,200
1775042527580365892,1775042527580365892,1775042527581214751,0.000000,0.848859,0.848859,200
1775042527595683532,1775042527595683532,1775042527596474027,0.000000,0.790495,0.790495,200
1775042527617387481,1775042527617387481,1775042527618097918,0.000000,0.710437,0.710437,200
1775042527631932486,1775042527631932486,1775042527632530222,0.000000,0.597736,0.597736,200
1775042527646770122,1775042527646770122,1775042527647488695,0.000000,0.718573,0.718573,200
1775042527662485243,1775042527662485243,1775042527663203836,0.000000,0.718593,0.718593,200
1775042527686697325,1775042527686697325,1775042527687241935,0.000000,0.544610,0.544610,200
1775042527703237937,1775042527703237937,1775042527704054603,0.000000,0.816666,0.816666,200
1775042527718699190,1775042527718699190,1775042527719575824,0.000000,0.876634,0.876634,200
1775042527747990650,1775042527747990650,1775042527748678702,0.000000,0.688052,0.688052,200
1775042527767056173,1775042527767056173,1775042527767943247,0.000000,0.887074,0.887074,200
1775042527783013150,1775042527783013150,1775042527783799726,0.000000,0.786576,0.786576,200
1775042527797620394,1775042527797620394,1775042527798342595,0.000000,0.722201,0.722201,200
1775042527813085821,1775042527813085821,1775042527813807430,0.000000,0.721609,0.721609,200
1775042527827969258,1775042527827969258,1775042527828527315,0.000000,0.558057,0.558057,200
1775042527841649218,1775042527841649218,1775042527842168339,0.000000,0.519121,0.519121,200
1775042527856294607,1775042527856294607,1775042527857058108,0.000000,0.763501,0.763501,200
1775042527887206242,1775042527887206242,1775042527887780431,0.000000,0.574189,0.574189,200
1775042527900604792,1775042527900604792,1775042527901081119,0.000000,0.476327,0.476327,200
1775042527918787687,1775042527918787687,1775042527919262180,0.000000,0.474493,0.474493,200
1775042527932009543,1775042527932009543,1775042527932558072,0.000000,0.548529,0.548529,200
1775042527965323815,1775042527965323815,1775042527965871091,0.000000,0.547276,0.547276,200
1775042527978742772,1775042527978742772,1775042527979375847,0.000000,0.633075,0.633075,200
1775042527993436252,1775042527993436252,1775042527993950623,0.000000,0.514371,0.514371,200
1775042528007116406,1775042528007116406,1775042528007533467,0.000000,0.417061,0.417061,200
1775042528022023790,1775042528022023790,1775042528022656464,0.000000,0.632674,0.632674,200
1775042528036171276,1775042528036171276,1775042528036641421,0.000000,0.470145,0.470145,200
