arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775043349304031821,1775043349304031821,1775043349308928317,0.000000,4.896496,4.896496,200
1775043349329126764,1775043349329126764,1775043349330124299,0.000000,0.997535,0.997535,200
1775043349342912259,1775043349342912259,1775043349343576855,0.000000,0.664596,0.664596,200
1775043349356027593,1775043349356027593,1775043349356709543,0.000000,0.681950,0.681950,200
1775043349369263917,1775043349369263917,1775043349369871518,0.000000,0.607601,0.607601,200
1775043349383621465,1775043349383621465,1775043349384378133,0.000000,0.756668,0.756668,200
1775043349398213869,1775043349398213869,1775043349399031559,0.000000,0.817690,0.817690,200
1775043349433307417,1775043349433307417,1775043349434181649,0.000000,0.874232,0.874232,200
1775043349446318580,1775043349446318580,1775043349446838497,0.000000,0.519917,0.519917,200
1775043349459970551,1775043349459970551,1775043349462066772,0.000000,2.096221,2.096221,200
1775043349473898360,1775043349473898360,1775043349474585681,0.000000,0.687321,0.687321,200
1775043349498243744,1775043349498243744,1775043349498857318,0.000000,0.613574,0.613574,200
1775043349527855549,1775043349527855549,1775043349528915125,0.000000,1.059576,1.059576,200
1775043349541357118,1775043349541357118,1775043349542060741,0.000000,0.703623,0.703623,200
1775043349555675689,1775043349555675689,1775043349556272106,0.000000,0.596417,0.596417,200
1775043349571620952,1775043349571620952,1775043349588927171,0.000000,17.306219,17.306219,200
1775043349586780043,1775043349588927171,1775043349589721005,2.147128,0.793834,2.940962,200
1775043349609803926,1775043349609803926,1775043349610461487,0.000000,0.657561,0.657561,200
1775043349624585591,1775043349624585591,1775043349625312369,0.000000,0.726778,0.726778,200
1775043349641206017,1775043349641206017,1775043349641875069,0.000000,0.669052,0.669052,200
1775043349660823039,1775043349660823039,1775043349662303573,0.000000,1.480534,1.480534,200
1775043349675228762,1775043349675228762,1775043349676361429,0.000000,1.132667,1.132667,200
1775043349688512071,1775043349688512071,1775043349689291385,0.000000,0.779314,0.779314,200
1775043349701975808,1775043349701975808,1775043349702708589,0.000000,0.732781,0.732781,200
1775043349716298631,1775043349716298631,1775043349717025548,0.000000,0.726917,0.726917,200
1775043349729580247,1775043349729580247,1775043349730480482,0.000000,0.900235,0.900235,200
1775043349749843161,1775043349749843161,1775043349750420573,0.000000,0.577412,0.577412,200
1775043349764152945,1775043349764152945,1775043349764646589,0.000000,0.493644,0.493644,200
1775043349779182913,1775043349779182913,1775043349779553953,0.000000,0.371040,0.371040,200
1775043349792568437,1775043349792568437,1775043349793864372,0.000000,1.295935,1.295935,200
1775043349805810226,1775043349805810226,1775043349806490082,0.000000,0.679856,0.679856,200
1775043349828126687,1775043349828126687,1775043349828966352,0.000000,0.839665,0.839665,200
1775043349852088943,1775043349852088943,1775043349853327766,0.000000,1.238823,1.238823,200
1775043349865729651,1775043349865729651,1775043349867838522,0.000000,2.108871,2.108871,200
