arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775043349304031821,1775043349304031821,1775043349304902210,0.000000,0.870389,0.870389,200
1775043349329126764,1775043349329126764,1775043349329979779,0.000000,0.853015,0.853015,200
1775043349342912259,1775043349342912259,1775043349343802842,0.000000,0.890583,0.890583,200
1775043349356027593,1775043349356027593,1775043349357601031,0.000000,1.573438,1.573438,200
1775043349369263917,1775043349369263917,1775043349370144416,0.000000,0.880499,0.880499,200
1775043349383621465,1775043349383621465,1775043349383959090,0.000000,0.337625,0.337625,200
1775043349398213869,1775043349398213869,1775043349399428661,0.000000,1.214792,1.214792,200
1775043349433307417,1775043349433307417,1775043349434105883,0.000000,0.798466,0.798466,200
1775043349446318580,1775043349446318580,1775043349447145698,0.000000,0.827118,0.827118,200
1775043349459970551,1775043349459970551,1775043349461014608,0.000000,1.044057,1.044057,200
1775043349473898360,1775043349473898360,1775043349475031032,0.000000,1.132672,1.132672,200
1775043349498243744,1775043349498243744,1775043349500417095,0.000000,2.173351,2.173351,200
1775043349527855549,1775043349527855549,1775043349529379840,0.000000,1.524291,1.524291,200
1775043349541357118,1775043349541357118,1775043349542397253,0.000000,1.040135,1.040135,200
1775043349555675689,1775043349555675689,1775043349556249960,0.000000,0.574271,0.574271,200
1775043349571620952,1775043349571620952,1775043349572094247,0.000000,0.473295,0.473295,200
1775043349586780043,1775043349586780043,1775043349587923902,0.000000,1.143859,1.143859,200
1775043349609803926,1775043349609803926,1775043349612213634,0.000000,2.409708,2.409708,200
1775043349624585591,1775043349624585591,1775043349625576800,0.000000,0.991209,0.991209,200
1775043349641206017,1775043349641206017,1775043349642099716,0.000000,0.893699,0.893699,200
1775043349660823039,1775043349660823039,1775043349662219795,0.000000,1.396756,1.396756,200
1775043349675228762,1775043349675228762,1775043349675576897,0.000000,0.348135,0.348135,200
1775043349688512071,1775043349688512071,1775043349689285817,0.000000,0.773746,0.773746,200
1775043349701975808,1775043349701975808,1775043349703332666,0.000000,1.356858,1.356858,200
1775043349716298631,1775043349716298631,1775043349718072605,0.000000,1.773974,1.773974,200
1775043349729580247,1775043349729580247,1775043349730393777,0.000000,0.813530,0.813530,200
1775043349749843161,1775043349749843161,1775043349751096187,0.000000,1.253026,1.253026,200
1775043349764152945,1775043349764152945,1775043349765298303,0.000000,1.145358,1.145358,200
1775043349779182913,1775043349779182913,1775043349780847349,0.000000,1.664436,1.664436,200
1775043349792568437,1775043349792568437,1775043349793010188,0.000000,0.441751,0.441751,200
1775043349805810226,1775043349805810226,1775043349807243093,0.000000,1.432867,1.432867,200
1775043349828126687,1775043349828126687,1775043349828460280,0.000000,0.333593,0.333593,200
1775043349852088943,1775043349852088943,1775043349852242850,0.000000,0.153907,0.153907,200
1775043349865729651,1775043349865729651,1775043349866359245,0.000000,0.629594,0.629594,200
1775043349883061195,1775043349883061195,1775043349883568390,0.000000,0.507195,0.507195,200
1775043349899370069,1775043349899370069,1775043349901147283,0.000000,1.777214,1.777214,200
1775043349913201221,1775043349913201221,1775043349914733672,0.000000,1.532451,1.532451,200
1775043349932415445,1775043349932415445,1775043349932825656,0.000000,0.410211,0.410211,200
1775043349950871823,1775043349950871823,1775043349952613759,0.000000,1.741936,1.741936,200
1775043349963473278,1775043349963473278,1775043349963950718,0.000000,0.477440,0.477440,200
1775043349984534239,1775043349984534239,1775043349985440585,0.000000,0.906346,0.906346,200
1775043349999641943,1775043349999641943,1775043350000425704,0.000000,0.783761,0.783761,200
1775043350013275209,1775043350013275209,1775043350014318196,0.000000,1.042987,1.042987,200
1775043350025427459,1775043350025427459,1775043350027134729,0.000000,1.707270,1.707270,200
1775043350038734428,1775043350038734428,1775043350040239404,0.000000,1.504976,1.504976,200
1775043350050713070,1775043350050713070,1775043350051942888,0.000000,1.229818,1.229818,200
1775043350064024974,1775043350064024974,1775043350065542147,0.000000,1.517173,1.517173,200
1775043350092263027,1775043350092263027,1775043350093608660,0.000000,1.345633,1.345633,200
1775043350106460746,1775043350106460746,1775043350107081549,0.000000,0.620803,0.620803,200
1775043350120853836,1775043350120853836,1775043350121436588,0.000000,0.582752,0.582752,200
1775043350136214051,1775043350136214051,1775043350136906956,0.000000,0.692905,0.692905,200
1775043350148474948,1775043350148474948,1775043350149840344,0.000000,1.365396,1.365396,200
1775043350163075628,1775043350163075628,1775043350163883775,0.000000,0.808147,0.808147,200
1775043350185989250,1775043350185989250,1775043350190925304,0.000000,4.936054,4.936054,200
1775043350197945050,1775043350197945050,1775043350198487685,0.000000,0.542635,0.542635,200
1775043350218752768,1775043350218752768,1775043350219198977,0.000000,0.446209,0.446209,200
1775043350230517290,1775043350230517290,1775043350232165668,0.000000,1.648378,1.648378,200
1775043350243729851,1775043350243729851,1775043350246333779,0.000000,2.603928,2.603928,200
1775043350255131572,1775043350255131572,1775043350256503064,0.000000,1.371492,1.371492,200
1775043350265715106,1775043350265715106,1775043350267443027,0.000000,1.727921,1.727921,200
1775043350292459645,1775043350292459645,1775043350295071777,0.000000,2.612132,2.612132,200
1775043350307967435,1775043350307967435,1775043350308868857,0.000000,0.901422,0.901422,200
1775043350342601309,1775043350342601309,1775043350342956976,0.000000,0.355667,0.355667,200
1775043350353971114,1775043350353971114,1775043350354634548,0.000000,0.663434,0.663434,200
1775043350365493776,1775043350365493776,1775043350367369228,0.000000,1.875452,1.875452,200
1775043350377136531,1775043350377136531,1775043350377487078,0.000000,0.350547,0.350547,200
1775043350388635905,1775043350388635905,1775043350389621494,0.000000,0.985589,0.985589,200
1775043350410141452,1775043350410141452,1775043350411290844,0.000000,1.149392,1.149392,200
1775043350421154314,1775043350421154314,1775043350421926268,0.000000,0.771954,0.771954,200
1775043350431647817,1775043350431647817,1775043350433245273,0.000000,1.597456,1.597456,200
1775043350442721784,1775043350442721784,1775043350444167269,0.000000,1.445485,1.445485,200
1775043350454203748,1775043350454203748,1775043350459090496,0.000000,4.886748,4.886748,200
1775043350474351290,1775043350474351290,1775043350475836964,0.000000,1.485674,1.485674,200
1775043350506196266,1775043350506196266,1775043350506824754,0.000000,0.628488,0.628488,200
1775043350519278710,1775043350519278710,1775043350519928488,0.000000,0.649778,0.649778,200
1775043350533929298,1775043350533929298,1775043350534467287,0.000000,0.537989,0.537989,200
1775043350547526873,1775043350547526873,1775043350549401509,0.000000,1.874636,1.874636,200
1775043350561178666,1775043350561178666,1775043350561826159,0.000000,0.647493,0.647493,200
1775043350573404855,1775043350573404855,1775043350574321395,0.000000,0.916540,0.916540,200
1775043350586124757,1775043350586124757,1775043350587751169,0.000000,1.626412,1.626412,200
1775043350598866451,1775043350598866451,1775043350599446724,0.000000,0.580273,0.580273,200
1775043350611143380,1775043350611143380,1775043350611927274,0.000000,0.783894,0.783894,200
1775043350622858488,1775043350622858488,1775043350623123892,0.000000,0.265404,0.265404,200
1775043350633722897,1775043350633722897,1775043350634174255,0.000000,0.451358,0.451358,200
1775043350645581933,1775043350645581933,1775043350646229016,0.000000,0.647083,0.647083,200
1775043350656114767,1775043350656114767,1775043350657402606,0.000000,1.287839,1.287839,200
1775043350666613258,1775043350666613258,1775043350668832617,0.000000,2.219359,2.219359,200
1775043350677851404,1775043350677851404,1775043350678801774,0.000000,0.950370,0.950370,200
1775043350688728353,1775043350688728353,1775043350689884300,0.000000,1.155947,1.155947,200
1775043350714618106,1775043350714618106,1775043350715700919,0.000000,1.082813,1.082813,200
1775043350725783035,1775043350725783035,1775043350727839759,0.000000,2.056724,2.056724,200
1775043350750992136,1775043350750992136,1775043350752791051,0.000000,1.798915,1.798915,200
1775043350775831434,1775043350775831434,1775043350776997397,0.000000,1.165963,1.165963,200
1775043350787573451,1775043350787573451,1775043350788047979,0.000000,0.474528,0.474528,200
1775043350798730484,1775043350798730484,1775043350800542070,0.000000,1.811586,1.811586,200
1775043350810575239,1775043350810575239,1775043350811832170,0.000000,1.256931,1.256931,200
1775043350824967699,1775043350824967699,1775043350827239619,0.000000,2.271920,2.271920,200
1775043350836935697,1775043350836935697,1775043350837878489,0.000000,0.942792,0.942792,200
1775043350847746280,1775043350847746280,1775043350851522742,0.000000,3.776462,3.776462,200
1775043350858750184,1775043350858750184,1775043350859499106,0.000000,0.748922,0.748922,200
1775043350870098675,1775043350870098675,1775043350873034044,0.000000,2.935369,2.935369,200
1775043350899285565,1775043350899285565,1775043350900329063,0.000000,1.043498,1.043498,200
1775043350912354041,1775043350912354041,1775043350913024855,0.000000,0.670814,0.670814,200
1775043350923064881,1775043350923064881,1775043350923501951,0.000000,0.437070,0.437070,200
1775043350936134335,1775043350936134335,1775043350937000507,0.000000,0.866172,0.866172,200
1775043350947773763,1775043350947773763,1775043350950380373,0.000000,2.606610,2.606610,200
1775043350958667687,1775043350958667687,1775043350960372257,0.000000,1.704570,1.704570,200
1775043350971021771,1775043350971021771,1775043350972580851,0.000000,1.559080,1.559080,200
1775043350981588305,1775043350981588305,1775043350981770878,0.000000,0.182573,0.182573,200
1775043350994009260,1775043350994009260,1775043350995592617,0.000000,1.583357,1.583357,200
1775043351005714103,1775043351005714103,1775043351007134592,0.000000,1.420489,1.420489,200
1775043351016413821,1775043351016413821,1775043351017069020,0.000000,0.655199,0.655199,200
1775043351034269507,1775043351034269507,1775043351034890136,0.000000,0.620629,0.620629,200
1775043351045533487,1775043351045533487,1775043351046494663,0.000000,0.961176,0.961176,200
1775043351056892079,1775043351056892079,1775043351060111100,0.000000,3.219021,3.219021,200
1775043351071576243,1775043351071576243,1775043351072036332,0.000000,0.460089,0.460089,200
1775043351093396273,1775043351093396273,1775043351094109927,0.000000,0.713654,0.713654,200
