arrival_unix_ns,service_ms,queue_ms,response_ms,status_code
1775038149214981429,0.803518,0.251730,1.055248,200
1775038149261613218,0.981422,0.283534,1.264956,200
1775038149293703859,0.905029,0.233344,1.138373,200
1775038149326814009,1.232260,0.282121,1.514381,200
1775038149359252381,0.726074,0.223083,0.949157,200
1775038149391573936,1.513649,7.113083,8.626732,200
1775038149432686050,0.540255,0.170779,0.711034,200
1775038149463851413,0.892605,0.291269,1.183874,200
1775038149495751945,0.673780,0.194297,0.868077,200
1775038149528414645,0.600534,0.635413,1.235947,200
1775038149560688126,0.508251,0.224476,0.732727,200
1775038149593143341,0.558140,0.359355,0.917495,200
1775038149638997313,0.520855,0.321580,0.842435,200
1775038149671984051,0.662627,0.218024,0.880651,200
1775038149722037109,0.665474,0.231911,0.897385,200
1775038149765798794,0.800552,0.375827,1.176379,200
1775038149797244658,1.201970,0.337822,1.539792,200
1775038149843470949,0.510314,0.256019,0.766333,200
1775038149891428618,0.538040,0.279326,0.817366,200
1775038149923019659,0.849219,0.320778,1.169997,200
1775038149954108967,0.738048,0.216330,0.954378,200
1775038149986347036,0.608429,0.332722,0.941151,200
1775038150019281691,0.543461,0.167242,0.710703,200
1775038150051462232,0.529402,0.210760,0.740162,200
1775038150083559325,0.521347,0.237873,0.759220,200
1775038150115859154,0.952304,0.318162,1.270466,200
1775038150148957277,0.531307,0.219797,0.751104,200
1775038150180006383,0.648410,0.211159,0.859569,200
1775038150213209211,0.910791,0.272933,1.183724,200
1775038150263000021,0.531146,0.799359,1.330505,200
1775038150310098965,0.673930,0.263524,0.937454,200
1775038150343178502,0.537689,0.225158,0.762847,200
1775038150376583769,0.795903,0.308212,1.104115,200
1775038150414331515,1.418320,0.352511,1.770831,200
1775038150467272491,0.614762,0.283294,0.898056,200
1775038150506106382,0.984377,0.310598,1.294975,200
1775038150569360102,0.846283,0.323954,1.170237,200
1775038150613531558,1.713898,0.252291,1.966189,200
1775038150650391887,0.611646,0.554553,1.166199,200
1775038150687508198,0.962764,0.336860,1.299624,200
1775038150731261747,0.706915,0.335427,1.042342,200
1775038150777551025,0.511647,0.263244,0.774891,200
1775038150824058817,0.763378,0.341008,1.104386,200
1775038150856790965,0.597548,0.251660,0.849208,200
1775038150888932978,0.861362,0.293985,1.155347,200
1775038150931909860,0.593931,0.269436,0.863367,200
1775038150965548404,1.007924,0.292552,1.300476,200
1775038151000699633,0.791513,0.273143,1.064656,200
1775038151035437322,0.544172,0.231470,0.775642,200
1775038151069314424,0.603460,0.176511,0.779971,200
1775038151118962206,0.536777,0.255358,0.792135,200
1775038151150494546,0.550845,0.225609,0.776454,200
1775038151183509720,0.559051,0.187062,0.746113,200
1775038151227465649,0.515765,0.263705,0.779470,200
1775038151259330497,0.541456,0.236010,0.777466,200
1775038151305608930,0.664200,0.276771,0.940971,200
1775038151351841198,0.547218,0.271319,0.818537,200
1775038151399421344,0.564393,0.325767,0.890160,200
1775038151432395483,0.558861,0.177754,0.736615,200
1775038151464425893,0.546336,0.230058,0.776394,200
1775038151507121877,0.625314,0.313613,0.938927,200
1775038151554006435,0.706544,0.299726,1.006270,200
1775038151601824315,0.633730,0.277422,0.911152,200
1775038151649124409,0.537910,0.234436,0.772346,200
1775038151681626067,0.530986,0.180158,0.711144,200
1775038151714214289,0.529873,0.423963,0.953836,200
1775038151747158377,0.534523,0.261991,0.796514,200
1775038151787622812,0.676094,0.292252,0.968346,200
1775038151834033301,0.712196,0.286440,0.998636,200
1775038151881120532,0.933567,0.270668,1.204235,200
1775038151923574344,0.985690,0.332230,1.317920,200
1775038151977103417,1.082743,0.312602,1.395345,200
1775038152025356765,0.869008,1.394482,2.263490,200
1775038152068623412,3.337981,1.502124,4.840105,200
1775038152108066688,0.604051,0.285598,0.889649,200
1775038152141335767,0.811844,0.230628,1.042472,200
1775038152177145726,0.873226,0.262783,1.136009,200
1775038152235002317,1.037573,0.670924,1.708497,200
1775038152293334611,1.729989,0.685833,2.415822,200
1775038152341137624,0.869178,0.856648,1.725826,200
1775038152385908447,0.942304,0.349064,1.291368,200
1775038152433558540,0.991552,0.312852,1.304404,200
1775038152481537875,1.432348,0.541917,1.974265,200
1775038152526932989,0.561747,0.404514,0.966261,200
1775038152574261463,0.862024,0.446438,1.308462,200
1775038152609226090,0.535023,0.279406,0.814429,200
1775038152642962900,0.672286,0.314055,0.986341,200
1775038152676599585,0.797866,0.267392,1.065258,200
1775038152711628514,0.857655,0.285127,1.142782,200
1775038152761201730,0.672467,0.320086,0.992553,200
1775038152798766030,0.639562,0.324084,0.963646,200
1775038152833911988,0.890441,0.254947,1.145388,200
1775038152870769785,0.905751,0.312791,1.218542,200
1775038152906723204,1.086460,0.357962,1.444422,200
1775038152948651240,0.876764,0.305778,1.182542,200
1775038152998588891,1.086119,0.319175,1.405294,200
1775038153053885015,1.073113,0.388924,1.462037,200
1775038153101207119,0.815922,0.303424,1.119346,200
1775038153140149130,0.603890,0.246981,0.850871,200
1775038153178411865,1.168062,0.443532,1.611594,200
1775038153224497141,0.698849,0.437600,1.136449,200
1775038153260630134,0.666115,0.216510,0.882625,200
1775038153297670389,1.010980,0.291510,1.302490,200
1775038153333612073,0.608840,0.200078,0.808918,200
1775038153367604574,0.750172,0.214656,0.964828,200
1775038153411548045,0.876577,0.481578,1.358155,200
1775038153458404380,1.663277,0.771895,2.435172,200
1775038153505217349,0.797967,0.383562,1.181529,200
1775038153540046701,0.817456,0.281740,1.099196,200
1775038153575184901,0.589622,0.210038,0.799660,200
1775038153608986886,0.642066,0.232402,0.874468,200
