arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775044726148401141,1775044726148401141,1775044726149127822,0.000000,0.726681,0.726681,200
1775044726154600412,1775044726154600412,1775044726155386215,0.000000,0.785803,0.785803,200
1775044726175696162,1775044726175696162,1775044726176475837,0.000000,0.779675,0.779675,200
1775044726185547003,1775044726185547003,1775044726186429105,0.000000,0.882102,0.882102,200
1775044726191883056,1775044726191883056,1775044726193222419,0.000000,1.339363,1.339363,200
1775044726218997234,1775044726218997234,1775044726219605155,0.000000,0.607921,0.607921,200
1775044726229758631,1775044726229758631,1775044726230434148,0.000000,0.675517,0.675517,200
1775044726238142920,1775044726238142920,1775044726238882400,0.000000,0.739480,0.739480,200
1775044726286117425,1775044726286117425,1775044726286698897,0.000000,0.581472,0.581472,200
1775044726295095989,1775044726295095989,1775044726299689445,0.000000,4.593456,4.593456,200
1775044726297732841,1775044726297732841,1775044726298393521,0.000000,0.660680,0.660680,200
1775044726322664343,1775044726322664343,1775044726323208951,0.000000,0.544608,0.544608,200
1775044726333907502,1775044726333907502,1775044726334632136,0.000000,0.724634,0.724634,200
1775044726346740798,1775044726346740798,1775044726347405029,0.000000,0.664231,0.664231,200
1775044726374534424,1775044726374534424,1775044726375415117,0.000000,0.880693,0.880693,200
1775044726442357334,1775044726442357334,1775044726443185453,0.000000,0.828119,0.828119,200
1775044726447137736,1775044726447137736,1775044726447916690,0.000000,0.778954,0.778954,200
1775044726488583371,1775044726488583371,1775044726491659308,0.000000,3.075937,3.075937,200
1775044726499106850,1775044726499106850,1775044726499785229,0.000000,0.678379,0.678379,200
1775044726502575668,1775044726502575668,1775044726503200797,0.000000,0.625129,0.625129,200
1775044726550020267,1775044726550020267,1775044726551317937,0.000000,1.297670,1.297670,200
1775044726554586216,1775044726554586216,1775044726555319306,0.000000,0.733090,0.733090,200
1775044726560525288,1775044726560525288,1775044726561288077,0.000000,0.762789,0.762789,200
1775044726595784206,1775044726595784206,1775044726597057451,0.000000,1.273245,1.273245,200
1775044726600443774,1775044726600443774,1775044726601214712,0.000000,0.770938,0.770938,200
1775044726606510652,1775044726606510652,1775044726607094480,0.000000,0.583828,0.583828,200
1775044726628181090,1775044726628181090,1775044726629091418,0.000000,0.910328,0.910328,200
1775044726651447534,1775044726651447534,1775044726652217709,0.000000,0.770175,0.770175,200
1775044726657085129,1775044726657085129,1775044726657897131,0.000000,0.812002,0.812002,200
1775044726687270249,1775044726687270249,1775044726687913907,0.000000,0.643658,0.643658,200
1775044726718676872,1775044726718676872,1775044726719433853,0.000000,0.756981,0.756981,200
1775044726734045108,1775044726734045108,1775044726734873453,0.000000,0.828345,0.828345,200
1775044726762729053,1775044726762729053,1775044726763558392,0.000000,0.829339,0.829339,200
1775044726770148668,1775044726770148668,1775044726770850336,0.000000,0.701668,0.701668,200
1775044726774684962,1775044726774684962,1775044726775459572,0.000000,0.774610,0.774610,200
1775044726798352535,1775044726798352535,1775044726799379365,0.000000,1.026830,1.026830,200
1775044726805586812,1775044726805586812,1775044726806322081,0.000000,0.735269,0.735269,200
1775044726810432273,1775044726810432273,1775044726812870278,0.000000,2.438005,2.438005,200
1775044726834184866,1775044726834184866,1775044726835073321,0.000000,0.888455,0.888455,200
1775044726847535863,1775044726847535863,1775044726848352888,0.000000,0.817025,0.817025,200
1775044726858384066,1775044726858384066,1775044726859130185,0.000000,0.746119,0.746119,200
1775044726906031541,1775044726906031541,1775044726906631046,0.000000,0.599505,0.599505,200
1775044726915788390,1775044726915788390,1775044726916387020,0.000000,0.598630,0.598630,200
1775044726919758880,1775044726919758880,1775044726920569771,0.000000,0.810891,0.810891,200
1775044726945223506,1775044726945223506,1775044726945901308,0.000000,0.677802,0.677802,200
1775044726956074374,1775044726956074374,1775044726956803319,0.000000,0.728945,0.728945,200
1775044726967158665,1775044726967158665,1775044726967909087,0.000000,0.750422,0.750422,200
1775044726994994605,1775044726994994605,1775044726995804956,0.000000,0.810351,0.810351,200
1775044726999146953,1775044726999146953,1775044726999856917,0.000000,0.709964,0.709964,200
1775044727005543487,1775044727005543487,1775044727006298399,0.000000,0.754912,0.754912,200
1775044727026662395,1775044727026662395,1775044727027369492,0.000000,0.707097,0.707097,200
1775044727035539907,1775044727035539907,1775044727036269764,0.000000,0.729857,0.729857,200
1775044727039288084,1775044727039288084,1775044727040095730,0.000000,0.807646,0.807646,200
1775044727064000501,1775044727064000501,1775044727064828491,0.000000,0.827990,0.827990,200
1775044727075305381,1775044727075305381,1775044727078708709,0.000000,3.403328,3.403328,200
1775044727090248927,1775044727090248927,1775044727090964627,0.000000,0.715700,0.715700,200
1775044727137845977,1775044727137845977,1775044727139621835,0.000000,1.775858,1.775858,200
1775044727143717106,1775044727143717106,1775044727144464391,0.000000,0.747285,0.747285,200
1775044727148775415,1775044727148775415,1775044727149415608,0.000000,0.640193,0.640193,200
1775044727171427586,1775044727171427586,1775044727172047673,0.000000,0.620087,0.620087,200
1775044727199643035,1775044727199643035,1775044727200510761,0.000000,0.867726,0.867726,200
1775044727214232259,1775044727214232259,1775044727214911711,0.000000,0.679452,0.679452,200
1775044727242205576,1775044727242205576,1775044727245422257,0.000000,3.216681,3.216681,200
1775044727255946062,1775044727255946062,1775044727262969799,0.000000,7.023737,7.023737,200
1775044727261709437,1775044727261709437,1775044727262321372,0.000000,0.611935,0.611935,200
1775044727283276661,1775044727283276661,1775044727283898341,0.000000,0.621680,0.621680,200
1775044727301142156,1775044727301142156,1775044727301717837,0.000000,0.575681,0.575681,200
1775044727307436595,1775044727307436595,1775044727308124825,0.000000,0.688230,0.688230,200
1775044727329098014,1775044727329098014,1775044727336875890,0.000000,7.777876,7.777876,200
1775044727334558343,1775044727334558343,1775044727335354536,0.000000,0.796193,0.796193,200
1775044727339494541,1775044727339494541,1775044727340185204,0.000000,0.690663,0.690663,200
1775044727369750368,1775044727369750368,1775044727375819859,0.000000,6.069491,6.069491,200
1775044727395204744,1775044727395204744,1775044727395863218,0.000000,0.658474,0.658474,200
1775044727400899378,1775044727400899378,1775044727401539640,0.000000,0.640262,0.640262,200
1775044727422666921,1775044727422666921,1775044727423363987,0.000000,0.697066,0.697066,200
1775044727446971768,1775044727446971768,1775044727455016528,0.000000,8.044760,8.044760,200
1775044727462136677,1775044727462136677,1775044727470328903,0.000000,8.192226,8.192226,200
1775044727490827695,1775044727490827695,1775044727493228180,0.000000,2.400485,2.400485,200
1775044727509721307,1775044727509721307,1775044727510408584,0.000000,0.687277,0.687277,200
1775044727523264178,1775044727523264178,1775044727524026756,0.000000,0.762578,0.762578,200
1775044727553148644,1775044727553148644,1775044727553598248,0.000000,0.449604,0.449604,200
1775044727559151119,1775044727559151119,1775044727559898495,0.000000,0.747376,0.747376,200
1775044727564597888,1775044727564597888,1775044727565334257,0.000000,0.736369,0.736369,200
1775044727587733714,1775044727587733714,1775044727588559758,0.000000,0.826044,0.826044,200
