arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775044726148401141,1775044726148401141,1775044726149202474,0.000000,0.801333,0.801333,200
1775044726154600412,1775044726154600412,1775044726155389166,0.000000,0.788754,0.788754,200
1775044726175696162,1775044726175696162,1775044726176512049,0.000000,0.815887,0.815887,200
1775044726185547003,1775044726185547003,1775044726186822263,0.000000,1.275260,1.275260,200
1775044726191883056,1775044726191883056,1775044726192691684,0.000000,0.808628,0.808628,200
1775044726218997234,1775044726218997234,1775044726219378357,0.000000,0.381123,0.381123,200
1775044726229758631,1775044726229758631,1775044726230799593,0.000000,1.040962,1.040962,200
1775044726238142920,1775044726238142920,1775044726238891812,0.000000,0.748892,0.748892,200
1775044726286117425,1775044726286117425,1775044726286887325,0.000000,0.769900,0.769900,200
1775044726295095989,1775044726295095989,1775044726296020296,0.000000,0.924307,0.924307,200
1775044726297732841,1775044726297732841,1775044726298718168,0.000000,0.985327,0.985327,200
1775044726322664343,1775044726322664343,1775044726324307514,0.000000,1.643171,1.643171,200
1775044726333907502,1775044726333907502,1775044726335151397,0.000000,1.243895,1.243895,200
1775044726346740798,1775044726346740798,1775044726347662380,0.000000,0.921582,0.921582,200
1775044726374534424,1775044726374534424,1775044726375112641,0.000000,0.578217,0.578217,200
1775044726442357334,1775044726442357334,1775044726442854138,0.000000,0.496804,0.496804,200
1775044726447137736,1775044726447137736,1775044726448130692,0.000000,0.992956,0.992956,200
1775044726488583371,1775044726488583371,1775044726490365201,0.000000,1.781830,1.781830,200
1775044726499106850,1775044726499106850,1775044726499994237,0.000000,0.887387,0.887387,200
1775044726502575668,1775044726502575668,1775044726503393795,0.000000,0.818127,0.818127,200
1775044726550020267,1775044726550020267,1775044726551181729,0.000000,1.161462,1.161462,200
1775044726554586216,1775044726554586216,1775044726554976619,0.000000,0.390403,0.390403,200
1775044726560525288,1775044726560525288,1775044726561255924,0.000000,0.730636,0.730636,200
1775044726595784206,1775044726595784206,1775044726596919551,0.000000,1.135345,1.135345,200
1775044726600443774,1775044726600443774,1775044726601844916,0.000000,1.401142,1.401142,200
1775044726606510652,1775044726606510652,1775044726607270609,0.000000,0.759957,0.759957,200
1775044726628181090,1775044726628181090,1775044726629247676,0.000000,1.066586,1.066586,200
1775044726651447534,1775044726651447534,1775044726652441511,0.000000,0.993977,0.993977,200
1775044726657085129,1775044726657085129,1775044726658417915,0.000000,1.332786,1.332786,200
1775044726687270249,1775044726687270249,1775044726687740878,0.000000,0.470629,0.470629,200
1775044726718676872,1775044726718676872,1775044726719861833,0.000000,1.184961,1.184961,200
1775044726734045108,1775044726734045108,1775044726734422655,0.000000,0.377547,0.377547,200
1775044726762729053,1775044726762729053,1775044726762934799,0.000000,0.205746,0.205746,200
1775044726770148668,1775044726770148668,1775044726770770162,0.000000,0.621494,0.621494,200
1775044726774684962,1775044726774684962,1775044726775209480,0.000000,0.524518,0.524518,200
1775044726798352535,1775044726798352535,1775044726799755685,0.000000,1.403150,1.403150,200
1775044726805586812,1775044726805586812,1775044726806835929,0.000000,1.249117,1.249117,200
1775044726810432273,1775044726810432273,1775044726810876324,0.000000,0.444051,0.444051,200
1775044726834184866,1775044726834184866,1775044726835566111,0.000000,1.381245,1.381245,200
1775044726847535863,1775044726847535863,1775044726848036078,0.000000,0.500215,0.500215,200
1775044726858384066,1775044726858384066,1775044726859211264,0.000000,0.827198,0.827198,200
1775044726906031541,1775044726906031541,1775044726906769588,0.000000,0.738047,0.738047,200
1775044726915788390,1775044726915788390,1775044726916711954,0.000000,0.923564,0.923564,200
1775044726919758880,1775044726919758880,1775044726921118508,0.000000,1.359628,1.359628,200
1775044726945223506,1775044726945223506,1775044726946455015,0.000000,1.231509,1.231509,200
1775044726956074374,1775044726956074374,1775044726957125427,0.000000,1.051053,1.051053,200
1775044726967158665,1775044726967158665,1775044726968397999,0.000000,1.239334,1.239334,200
1775044726994994605,1775044726994994605,1775044726996122573,0.000000,1.127968,1.127968,200
1775044726999146953,1775044726999146953,1775044726999761626,0.000000,0.614673,0.614673,200
1775044727005543487,1775044727005543487,1775044727006128395,0.000000,0.584908,0.584908,200
1775044727026662395,1775044727026662395,1775044727027332422,0.000000,0.670027,0.670027,200
1775044727035539907,1775044727035539907,1775044727036680855,0.000000,1.140948,1.140948,200
1775044727039288084,1775044727039288084,1775044727040044092,0.000000,0.756008,0.756008,200
1775044727064000501,1775044727064000501,1775044727067128360,0.000000,3.127859,3.127859,200
1775044727075305381,1775044727075305381,1775044727075858451,0.000000,0.553070,0.553070,200
1775044727090248927,1775044727090248927,1775044727090723279,0.000000,0.474352,0.474352,200
1775044727137845977,1775044727137845977,1775044727139168662,0.000000,1.322685,1.322685,200
1775044727143717106,1775044727143717106,1775044727145610689,0.000000,1.893583,1.893583,200
