arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775044528760349638,1775044528760349638,1775044528760875444,0.000000,0.525806,0.525806,200
1775044528775169472,1775044528775169472,1775044528775563656,0.000000,0.394184,0.394184,200
1775044528786861406,1775044528786861406,1775044528787483083,0.000000,0.621677,0.621677,200
1775044528817491963,1775044528817491963,1775044528817938522,0.000000,0.446559,0.446559,200
1775044528833013215,1775044528833013215,1775044528833448561,0.000000,0.435346,0.435346,200
1775044528836781949,1775044528836781949,1775044528837353647,0.000000,0.571698,0.571698,200
1775044528862466625,1775044528862466625,1775044528863223361,0.000000,0.756736,0.756736,200
1775044528884711881,1775044528884711881,1775044528885550040,0.000000,0.838159,0.838159,200
1775044528886630333,1775044528886630333,1775044528887331649,0.000000,0.701316,0.701316,200
1775044528918752872,1775044528918752872,1775044528919432224,0.000000,0.679352,0.679352,200
1775044528932366158,1775044528932366158,1775044528932813438,0.000000,0.447280,0.447280,200
1775044528934226674,1775044528934226674,1775044528934985975,0.000000,0.759301,0.759301,200
1775044528963152611,1775044528963152611,1775044528963882955,0.000000,0.730344,0.730344,200
1775044528975892218,1775044528975892218,1775044528976394758,0.000000,0.502540,0.502540,200
1775044528978913424,1775044528978913424,1775044528979712113,0.000000,0.798689,0.798689,200
1775044529006722840,1775044529006722840,1775044529007463134,0.000000,0.740294,0.740294,200
1775044529019701932,1775044529019701932,1775044529020467385,0.000000,0.765453,0.765453,200
1775044529022104315,1775044529022104315,1775044529022840380,0.000000,0.736065,0.736065,200
1775044529050760988,1775044529050760988,1775044529051396132,0.000000,0.635144,0.635144,200
1775044529062778197,1775044529062778197,1775044529063321057,0.000000,0.542860,0.542860,200
1775044529065993207,1775044529065993207,1775044529066576628,0.000000,0.583421,0.583421,200
1775044529092814427,1775044529092814427,1775044529093527155,0.000000,0.712728,0.712728,200
1775044529102956383,1775044529102956383,1775044529103693761,0.000000,0.737378,0.737378,200
1775044529106771578,1775044529106771578,1775044529107226503,0.000000,0.454925,0.454925,200
1775044529133846129,1775044529133846129,1775044529134600520,0.000000,0.754391,0.754391,200
1775044529147656715,1775044529147656715,1775044529148098284,0.000000,0.441569,0.441569,200
1775044529153488940,1775044529153488940,1775044529154145005,0.000000,0.656065,0.656065,200
1775044529185287904,1775044529185287904,1775044529185966745,0.000000,0.678841,0.678841,200
1775044529195870928,1775044529195870928,1775044529196533727,0.000000,0.662799,0.662799,200
1775044529199591511,1775044529199591511,1775044529200089042,0.000000,0.497531,0.497531,200
1775044529226837485,1775044529226837485,1775044529227327140,0.000000,0.489655,0.489655,200
1775044529241113568,1775044529241113568,1775044529241564356,0.000000,0.450788,0.450788,200
1775044529243744251,1775044529243744251,1775044529244568642,0.000000,0.824391,0.824391,200
1775044529275197677,1775044529275197677,1775044529275739025,0.000000,0.541348,0.541348,200
1775044529286899803,1775044529286899803,1775044529287342243,0.000000,0.442440,0.442440,200
1775044529291001735,1775044529291001735,1775044529291440208,0.000000,0.438473,0.438473,200
1775044529316865273,1775044529316865273,1775044529317296140,0.000000,0.430867,0.430867,200
1775044529326911462,1775044529326911462,1775044529327369303,0.000000,0.457841,0.457841,200
1775044529331366099,1775044529331366099,1775044529331823108,0.000000,0.457009,0.457009,200
1775044529356933615,1775044529356933615,1775044529357609841,0.000000,0.676226,0.676226,200
1775044529370051786,1775044529370051786,1775044529370592462,0.000000,0.540676,0.540676,200
1775044529374826419,1775044529374826419,1775044529375216315,0.000000,0.389896,0.389896,200
1775044529398593321,1775044529398593321,1775044529399092214,0.000000,0.498893,0.498893,200
1775044529407208438,1775044529407208438,1775044529407706429,0.000000,0.497991,0.497991,200
1775044529411405986,1775044529411405986,1775044529412037192,0.000000,0.631206,0.631206,200
1775044529445214069,1775044529445214069,1775044529445619837,0.000000,0.405768,0.405768,200
1775044529454381253,1775044529454381253,1775044529455011316,0.000000,0.630063,0.630063,200
1775044529458111461,1775044529458111461,1775044529458709010,0.000000,0.597549,0.597549,200
