arrival_unix_ns,service_ms,queue_ms,response_ms,status_code
1775038840340207396,19.688415,6.746599,26.435014,200
1775038840493677423,6.403245,0.138756,6.542001,200
1775038840617333270,7.143689,0.505756,7.649445,200
1775038840741125960,6.658203,0.209977,6.868180,200
1775038840866077106,6.970023,0.106321,7.076344,200
1775038840997197016,6.999352,0.136522,7.135874,200
1775038841131918486,6.623624,0.113235,6.736859,200
1775038841256087390,6.818863,0.107724,6.926587,200
1775038841397382856,6.664766,0.108676,6.773442,200
1775038841522167519,6.650688,0.148095,6.798783,200
1775038841664941161,7.061815,0.126582,7.188397,200
1775038841791211405,6.739545,0.162042,6.901587,200
1775038841915215206,7.517792,0.141522,7.659314,200
1775038842044056015,9.826524,0.185539,10.012063,200
1775038842178489506,6.546090,0.106862,6.652952,200
1775038842320365956,6.492203,0.113676,6.605879,200
1775038842448978638,7.165763,0.108716,7.274479,200
1775038842578925378,9.082284,0.169127,9.251411,200
1775038842720296001,9.367785,0.223274,9.591059,200
1775038842849319262,7.040243,0.133926,7.174169,200
1775038842987018813,23.112080,0.265140,23.377220,200
1775038843137141474,6.584496,0.114498,6.698994,200
1775038843263028034,6.972177,0.118376,7.090553,200
1775038843385208417,6.646059,0.106773,6.752832,200
1775038843520300875,6.526090,0.111452,6.637542,200
1775038843642510617,7.529875,0.108085,7.637960,200
1775038843767035084,8.717823,0.149897,8.867720,200
1775038843892660454,6.659618,0.105980,6.765598,200
1775038844017661124,9.532007,0.149977,9.681984,200
1775038844144926041,6.707794,0.161990,6.869784,200
1775038844266806619,6.690740,0.111581,6.802321,200
1775038844398527814,6.611031,0.110670,6.721701,200
1775038844538683375,6.676782,0.111250,6.788032,200
1775038844662290252,6.923688,0.110378,7.034066,200
1775038844785403997,7.014861,0.110719,7.125580,200
1775038844910231414,6.993931,0.190667,7.184598,200
1775038845033283038,6.975794,0.108575,7.084369,200
1775038845160229091,6.778773,0.145759,6.924532,200
1775038845439310568,7.608747,30.506552,38.115299,200
1775038845725785038,12.513592,3.436207,15.949799,200
1775038845778930364,8.916126,41.376935,50.293061,200
1775038845839498536,7.801637,0.126922,7.928559,200
1775038845858481544,7.205109,14.019266,21.224375,200
1775038845962711730,9.952719,33.580459,43.533178,200
1775038846013260855,7.845476,0.179356,8.024832,200
1775038846031360874,12.408495,32.729673,45.138168,200
1775038846085173803,8.426092,0.163805,8.589897,200
1775038846137584477,10.009752,33.089116,43.098868,200
1775038846196124483,9.352642,10.076888,19.429530,200
1775038846221907624,15.963338,0.198833,16.162171,200
1775038846569755040,7.004061,17.437431,24.441492,200
1775038846729307054,6.554320,16.174043,22.728363,200
1775038846855661636,8.861124,31.612221,40.473345,200
1775038846956279824,8.581229,14.668302,23.249531,200
1775038846991632542,9.125085,0.244214,9.369299,200
1775038847130230485,10.768635,15.748110,26.516745,200
1775038847221458923,7.644428,16.330664,23.975092,200
1775038847339856128,10.340106,14.316530,24.656636,200
1775038847405301183,10.120291,8.207838,18.328129,200
1775038847453843855,9.044289,33.639804,42.684093,200
1775038847633184127,15.863057,5.883641,21.746698,200
1775038847665541296,9.050943,0.234885,9.285828,200
1775038847690810826,10.466577,0.370079,10.836656,200
1775038847716333999,8.420364,0.197832,8.618196,200
1775038847742969585,17.997116,0.348721,18.345837,200
1775038847958916632,26.380090,10.194618,36.574708,200
1775038848019594882,9.750977,0.186620,9.937597,200
1775038848089612653,9.795231,44.731031,54.526262,200
1775038848197982940,7.336288,28.477173,35.813461,200
1775038848243195684,12.346140,0.151350,12.497490,200
1775038848676113740,9.036144,30.939609,39.975753,200
1775038848862651873,7.754707,30.498752,38.253459,200
1775038848924699906,16.787326,31.553690,48.341016,200
1775038849110674186,23.253748,41.495894,64.749642,200
1775038849206730917,13.627405,0.171610,13.799015,200
1775038849355169593,7.212012,92.877834,100.089846,200
1775038849459881748,10.505385,0.201799,10.707184,200
1775038849508011669,9.494579,31.179545,40.674124,200
1775038849557148792,6.987638,0.142362,7.130000,200
1775038849576784097,6.860477,54.220928,61.081405,200
1775038849710948778,6.758073,60.816568,67.574641,200
1775038849865271515,6.561112,46.242914,52.804026,200
1775038849989095819,6.530243,46.134341,52.664584,200
1775038850205232270,8.525192,15.830141,24.355333,200
1775038850238312229,8.635070,0.310363,8.945433,200
1775038850263802196,7.865526,0.170898,8.036424,200
1775038850299784923,7.331499,29.343598,36.675097,200
1775038850343928831,7.857617,1.638094,9.495711,200
1775038850451751436,7.259576,30.769422,38.028998,200
1775038850499230392,8.140777,0.146891,8.287668,200
1775038850520589725,8.614570,8.059113,16.673683,200
1775038850668345737,9.115883,44.935271,54.051154,200
1775038850902157090,6.855115,43.900693,50.755808,200
1775038850963505594,6.710779,13.155516,19.866295,200
1775038850989518772,9.923011,18.068265,27.991276,200
1775038851086351846,7.045402,13.492481,20.537883,200
1775038851165728372,19.637585,10.559485,30.197070,200
1775038851254608493,7.620954,17.389865,25.010819,200
1775038851338276409,6.416867,9.185460,15.602327,200
1775038851455757585,8.632094,154.425021,163.057115,200
1775038851735890727,6.534498,32.548934,39.083432,200
1775038851781123295,8.598424,6.645200,15.243624,200
1775038851801660120,6.554705,0.532424,7.087129,200
1775038851827844440,9.230126,8.479512,17.709638,200
1775038852109941748,6.206017,42.535548,48.741565,200
1775038852164775014,9.595916,0.149106,9.745022,200
1775038852183236226,7.155115,0.430583,7.585698,200
1775038852203802723,7.219764,0.125669,7.345433,200
1775038852284254442,9.224334,42.992742,52.217076,200
1775038852444269666,6.493678,31.388664,37.882342,200
1775038852488520309,12.299331,0.110488,12.409819,200
1775038852644534288,6.611189,23.295554,29.906743,200
1775038852696016435,9.992003,14.598777,24.590780,200
1775038852794499499,8.390302,30.963717,39.354019,200
1775038852885974229,6.980941,32.257691,39.238632,200
1775038853077857777,9.520197,23.002910,32.523107,200
1775038853116210072,8.476373,0.514278,8.990651,200
