arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775038938252131689,1775038938252131689,1775038938260138852,0.000000,8.007163,8.007163,200
1775038938313762905,1775038938313762905,1775038938322269506,0.000000,8.506601,8.506601,200
1775038938388659697,1775038938388659697,1775038938395010741,0.000000,6.351044,6.351044,200
1775038938456015917,1775038938456015917,1775038938462924461,0.000000,6.908544,6.908544,200
1775038938515022397,1775038938515022397,1775038938521267501,0.000000,6.245104,6.245104,200
1775038938577004594,1775038938577004594,1775038938583561816,0.000000,6.557222,6.557222,200
1775038938637223087,1775038938637223087,1775038938643794186,0.000000,6.571099,6.571099,200
1775038938696558795,1775038938696558795,1775038938702973776,0.000000,6.414981,6.414981,200
1775038938757741798,1775038938757741798,1775038938764167255,0.000000,6.425457,6.425457,200
1775038938825771958,1775038938825771958,1775038938832044055,0.000000,6.272097,6.272097,200
1775038938887364020,1775038938887364020,1775038938894664209,0.000000,7.300189,7.300189,200
1775038938963511411,1775038938963511411,1775038938969675375,0.000000,6.163964,6.163964,200
1775038939038667317,1775038939038667317,1775038939044961619,0.000000,6.294302,6.294302,200
1775038939099198665,1775038939099198665,1775038939105548226,0.000000,6.349561,6.349561,200
1775038939160183939,1775038939160183939,1775038939167956487,0.000000,7.772548,7.772548,200
1775038939224284764,1775038939224284764,1775038939231054386,0.000000,6.769622,6.769622,200
1775038939303520186,1775038939303520186,1775038939312488682,0.000000,8.968496,8.968496,200
1775038939366799210,1775038939366799210,1775038939373150564,0.000000,6.351354,6.351354,200
1775038939426457281,1775038939426457281,1775038939433664059,0.000000,7.206778,7.206778,200
1775038939488180976,1775038939488180976,1775038939494461210,0.000000,6.280234,6.280234,200
1775038939550284954,1775038939550284954,1775038939557107011,0.000000,6.822057,6.822057,200
1775038939622714192,1775038939622714192,1775038939629078181,0.000000,6.363989,6.363989,200
1775038939694659196,1775038939694659196,1775038939700826185,0.000000,6.166989,6.166989,200
1775038939754203130,1775038939754203130,1775038939761078782,0.000000,6.875652,6.875652,200
1775038939815092645,1775038939815092645,1775038939821240942,0.000000,6.148297,6.148297,200
1775038939875796775,1775038939875796775,1775038939882141862,0.000000,6.345087,6.345087,200
1775038939937702991,1775038939937702991,1775038939945125566,0.000000,7.422575,7.422575,200
1775038940008627611,1775038940008627611,1775038940014959082,0.000000,6.331471,6.331471,200
1775038940067838627,1775038940067838627,1775038940074181650,0.000000,6.343023,6.343023,200
1775038940127058137,1775038940127058137,1775038940133252373,0.000000,6.194236,6.194236,200
1775038940187497896,1775038940187497896,1775038940193718653,0.000000,6.220757,6.220757,200
1775038940257456990,1775038940257456990,1775038940265464101,0.000000,8.007111,8.007111,200
1775038940335708323,1775038940335708323,1775038940344455042,0.000000,8.746719,8.746719,200
1775038940412193807,1775038940412193807,1775038940419669103,0.000000,7.475296,7.475296,200
1775038940489388699,1775038940489388699,1775038940497035867,0.000000,7.647168,7.647168,200
1775038940551036357,1775038940551036357,1775038940557465285,0.000000,6.428928,6.428928,200
1775038940614159722,1775038940614159722,1775038940621268141,0.000000,7.108419,7.108419,200
1775038940691378959,1775038940691378959,1775038940697671795,0.000000,6.292836,6.292836,200
1775038940750738557,1775038940750738557,1775038940758827657,0.000000,8.089100,8.089100,200
1775038940830590292,1775038940830590292,1775038940840781415,0.000000,10.191123,10.191123,200
1775038940897605318,1775038940897605318,1775038940904886891,0.000000,7.281573,7.281573,200
1775038940969142982,1775038940969142982,1775038940976760552,0.000000,7.617570,7.617570,200
1775038941047198201,1775038941047198201,1775038941053637429,0.000000,6.439228,6.439228,200
1775038941109164858,1775038941109164858,1775038941115857565,0.000000,6.692707,6.692707,200
1775038941188230479,1775038941188230479,1775038941194745393,0.000000,6.514914,6.514914,200
1775038941266487194,1775038941266487194,1775038941272808485,0.000000,6.321291,6.321291,200
1775038941344649044,1775038941344649044,1775038941350770810,0.000000,6.121766,6.121766,200
1775038941403198384,1775038941403198384,1775038941409782422,0.000000,6.584038,6.584038,200
1775038941465000782,1775038941465000782,1775038941471706915,0.000000,6.706133,6.706133,200
1775038941526649907,1775038941526649907,1775038941533087782,0.000000,6.437875,6.437875,200
1775038941610834715,1775038941610834715,1775038941617520619,0.000000,6.685904,6.685904,200
1775038941689184488,1775038941689184488,1775038941695311625,0.000000,6.127137,6.127137,200
1775038941747981760,1775038941747981760,1775038941754778066,0.000000,6.796306,6.796306,200
1775038941824389319,1775038941824389319,1775038941831180857,0.000000,6.791538,6.791538,200
1775038941894543898,1775038941894543898,1775038941900987304,0.000000,6.443406,6.443406,200
1775038941955745623,1775038941955745623,1775038941961922405,0.000000,6.176782,6.176782,200
1775038942015884806,1775038942015884806,1775038942022733494,0.000000,6.848688,6.848688,200
1775038942086102549,1775038942086102549,1775038942092741943,0.000000,6.639394,6.639394,200
1775038942147531569,1775038942147531569,1775038942154015053,0.000000,6.483484,6.483484,200
1775038942219234640,1775038942219234640,1775038942225305197,0.000000,6.070557,6.070557,200
1775038942279831579,1775038942279831579,1775038942286131448,0.000000,6.299869,6.299869,200
1775038942340223600,1775038942340223600,1775038942348864845,0.000000,8.641245,8.641245,200
1775038942410632695,1775038942410632695,1775038942417166947,0.000000,6.534252,6.534252,200
1775038942485413782,1775038942485413782,1775038942491800168,0.000000,6.386386,6.386386,200
1775038942552682531,1775038942552682531,1775038942558857941,0.000000,6.175410,6.175410,200
1775038942619731907,1775038942619731907,1775038942628999821,0.000000,9.267914,9.267914,200
1775038942684108825,1775038942684108825,1775038942693224946,0.000000,9.116121,9.116121,200
1775038942761656267,1775038942761656267,1775038942769839953,0.000000,8.183686,8.183686,200
1775038942827213149,1775038942827213149,1775038942834524178,0.000000,7.311029,7.311029,200
1775038942890921211,1775038942890921211,1775038942897566687,0.000000,6.645476,6.645476,200
1775038942951942829,1775038942951942829,1775038942958206658,0.000000,6.263829,6.263829,200
1775038943012039670,1775038943012039670,1775038943020034428,0.000000,7.994758,7.994758,200
1775038943072791447,1775038943072791447,1775038943079278467,0.000000,6.487020,6.487020,200
1775038943132005603,1775038943132005603,1775038943138183026,0.000000,6.177423,6.177423,200
1775038943192551831,1775038943192551831,1775038943198785272,0.000000,6.233441,6.233441,200
1775038943317830534,1775038943317830534,1775038943324479467,0.000000,6.648933,6.648933,200
1775038943357032492,1775038943357032492,1775038943364208732,0.000000,7.176240,7.176240,200
1775038943420471996,1775038943420471996,1775038943427540778,0.000000,7.068782,7.068782,200
1775038943436732839,1775038943436732839,1775038943443389025,0.000000,6.656186,6.656186,200
1775038943460295457,1775038943460295457,1775038943466789642,0.000000,6.494185,6.494185,200
1775038943483041743,1775038943483041743,1775038943489263021,0.000000,6.221278,6.221278,200
1775038943514292014,1775038943514292014,1775038943520798251,0.000000,6.506237,6.506237,200
1775038943661163427,1775038943661163427,1775038943669695351,0.000000,8.531924,8.531924,200
1775038943687705302,1775038943687705302,1775038943695774437,0.000000,8.069135,8.069135,200
1775038943720666030,1775038943720666030,1775038943726945380,0.000000,6.279350,6.279350,200
1775038943765571731,1775038943765571731,1775038943772569185,0.000000,6.997454,6.997454,200
1775038943900278958,1775038943900278958,1775038943907436290,0.000000,7.157332,7.157332,200
1775038944036837430,1775038944036837430,1775038944044874581,0.000000,8.037151,8.037151,200
1775038944060962655,1775038944060962655,1775038944067453844,0.000000,6.491189,6.491189,200
1775038944080887484,1775038944080887484,1775038944087734789,0.000000,6.847305,6.847305,200
1775038944102655100,1775038944102655100,1775038944112641087,0.000000,9.985987,9.985987,200
1775038944214063547,1775038944214063547,1775038944220901324,0.000000,6.837777,6.837777,200
1775038944237268925,1775038944237268925,1775038944243839497,0.000000,6.570572,6.570572,200
1775038944256986586,1775038944256986586,1775038944265127406,0.000000,8.140820,8.140820,200
1775038944277915885,1775038944277915885,1775038944286279825,0.000000,8.363940,8.363940,200
1775038944352294789,1775038944352294789,1775038944359227268,0.000000,6.932479,6.932479,200
1775038944395560485,1775038944395560485,1775038944407447912,0.000000,11.887427,11.887427,200
1775038944422898570,1775038944422898570,1775038944433527348,0.000000,10.628778,10.628778,200
