arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775039141326469233,1775039141326469233,1775039141334248410,0.000000,7.779177,7.779177,200
1775039141359900805,1775039141359900805,1775039141367636248,0.000000,7.735443,7.735443,200
1775039141391549996,1775039141391549996,1775039141399379220,0.000000,7.829224,7.829224,200
1775039141441511254,1775039141441511254,1775039141450690997,0.000000,9.179743,9.179743,200
1775039141474586495,1775039141474586495,1775039141482390831,0.000000,7.804336,7.804336,200
1775039141508518852,1775039141508518852,1775039141514488343,0.000000,5.969491,5.969491,200
1775039141543316984,1775039141543316984,1775039141551856189,0.000000,8.539205,8.539205,200
1775039141584898975,1775039141584898975,1775039141592492798,0.000000,7.593823,7.593823,200
1775039141628184852,1775039141628184852,1775039141635853901,0.000000,7.669049,7.669049,200
1775039141666317588,1775039141666317588,1775039141674502718,0.000000,8.185130,8.185130,200
1775039141700837178,1775039141700837178,1775039141709210890,0.000000,8.373712,8.373712,200
1775039141737864019,1775039141737864019,1775039141747911422,0.000000,10.047403,10.047403,200
1775039141775032775,1775039141775032775,1775039141784131427,0.000000,9.098652,9.098652,200
1775039141830420437,1775039141830420437,1775039141838596959,0.000000,8.176522,8.176522,200
1775039141863271013,1775039141863271013,1775039141870196297,0.000000,6.925284,6.925284,200
1775039141900765994,1775039141900765994,1775039141907326766,0.000000,6.560772,6.560772,200
1775039141936040559,1775039141936040559,1775039141944437314,0.000000,8.396755,8.396755,200
1775039141973137612,1775039141973137612,1775039141983479262,0.000000,10.341650,10.341650,200
1775039142018933256,1775039142018933256,1775039142027000364,0.000000,8.067108,8.067108,200
1775039142053961563,1775039142053961563,1775039142061798439,0.000000,7.836876,7.836876,200
1775039142088653555,1775039142088653555,1775039142097532611,0.000000,8.879056,8.879056,200
1775039142126484385,1775039142126484385,1775039142132505265,0.000000,6.020880,6.020880,200
1775039142161763006,1775039142161763006,1775039142169290347,0.000000,7.527341,7.527341,200
1775039142197883187,1775039142197883187,1775039142206690584,0.000000,8.807397,8.807397,200
1775039142234450948,1775039142234450948,1775039142243943814,0.000000,9.492866,9.492866,200
1775039142271739103,1775039142271739103,1775039142279372714,0.000000,7.633611,7.633611,200
1775039142313190556,1775039142313190556,1775039142321804070,0.000000,8.613514,8.613514,200
1775039142361996259,1775039142361996259,1775039142370396088,0.000000,8.399829,8.399829,200
