arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775045248620591130,1775045248620591130,1775045248628005989,0.000000,7.414859,7.414859,200
1775045248651748047,1775045248651748047,1775045248671646150,0.000000,19.898103,19.898103,200
1775045248678995964,1775045248678995964,1775045248686709634,0.000000,7.713670,7.713670,200
1775045248704606355,1775045248704606355,1775045248712753963,0.000000,8.147608,8.147608,200
1775045248731995707,1775045248731995707,1775045248740788207,0.000000,8.792500,8.792500,200
1775045248760901884,1775045248760901884,1775045248775263287,0.000000,14.361403,14.361403,200
1775045248788174481,1775045248788174481,1775045248795089664,0.000000,6.915183,6.915183,200
1775045248815264837,1775045248815264837,1775045248823269724,0.000000,8.004887,8.004887,200
1775045248848311135,1775045248848311135,1775045248859104254,0.000000,10.793119,10.793119,200
1775045248880999664,1775045248880999664,1775045248890793354,0.000000,9.793690,9.793690,200
1775045248925110313,1775045248925110313,1775045248935048571,0.000000,9.938258,9.938258,200
1775045248952969711,1775045248952969711,1775045248976860293,0.000000,23.890582,23.890582,200
1775045248980074669,1775045248980074669,1775045248994323302,0.000000,14.248633,14.248633,200
1775045249013993097,1775045249013993097,1775045249031331301,0.000000,17.338204,17.338204,200
1775045249045729176,1775045249045729176,1775045249056378231,0.000000,10.649055,10.649055,200
1775045249078672890,1775045249078672890,1775045249097866826,0.000000,19.193936,19.193936,200
1775045249124111041,1775045249124111041,1775045249138277858,0.000000,14.166817,14.166817,200
1775045249163969761,1775045249163969761,1775045249173562540,0.000000,9.592779,9.592779,200
1775045249191970272,1775045249191970272,1775045249201335471,0.000000,9.365199,9.365199,200
1775045249219112290,1775045249219112290,1775045249233179384,0.000000,14.067094,14.067094,200
1775045249246280869,1775045249246280869,1775045249254011492,0.000000,7.730623,7.730623,200
1775045249275549864,1775045249275549864,1775045249291799201,0.000000,16.249337,16.249337,200
1775045249302626748,1775045249302626748,1775045249311110055,0.000000,8.483307,8.483307,200
1775045249328882978,1775045249328882978,1775045249338173291,0.000000,9.290313,9.290313,200
1775045249365528063,1775045249365528063,1775045249373074241,0.000000,7.546178,7.546178,200
1775045249396762014,1775045249396762014,1775045249410305876,0.000000,13.543862,13.543862,200
1775045249425375293,1775045249425375293,1775045249434356994,0.000000,8.981701,8.981701,200
1775045249452663070,1775045249452663070,1775045249465524760,0.000000,12.861690,12.861690,200
1775045249480840920,1775045249480840920,1775045249488097735,0.000000,7.256815,7.256815,200
1775045249514450457,1775045249514450457,1775045249522332821,0.000000,7.882364,7.882364,200
1775045249540246192,1775045249540246192,1775045249555974691,0.000000,15.728499,15.728499,200
1775045249568511377,1775045249568511377,1775045249585991134,0.000000,17.479757,17.479757,200
1775045249616070791,1775045249616070791,1775045249624598050,0.000000,8.527259,8.527259,200
1775045249644441563,1775045249644441563,1775045249652687828,0.000000,8.246265,8.246265,200
1775045249682104786,1775045249682104786,1775045249690810088,0.000000,8.705302,8.705302,200
1775045249711996921,1775045249711996921,1775045249720089804,0.000000,8.092883,8.092883,200
1775045249742061257,1775045249742061257,1775045249754952133,0.000000,12.890876,12.890876,200
1775045249773329177,1775045249773329177,1775045249782217708,0.000000,8.888531,8.888531,200
1775045249801871893,1775045249801871893,1775045249817982404,0.000000,16.110511,16.110511,200
1775045249837463679,1775045249837463679,1775045249847483816,0.000000,10.020137,10.020137,200
1775045249867106274,1775045249867106274,1775045249878732967,0.000000,11.626693,11.626693,200
1775045249915088302,1775045249915088302,1775045249925390572,0.000000,10.302270,10.302270,200
1775045249951831491,1775045249951831491,1775045249969881063,0.000000,18.049572,18.049572,200
1775045249992909380,1775045249992909380,1775045250001261482,0.000000,8.352102,8.352102,200
1775045250019232223,1775045250019232223,1775045250028381430,0.000000,9.149207,9.149207,200
1775045250070612942,1775045250070612942,1775045250079799566,0.000000,9.186624,9.186624,200
1775045250117488326,1775045250117488326,1775045250128266361,0.000000,10.778035,10.778035,200
1775045250146826389,1775045250146826389,1775045250155813256,0.000000,8.986867,8.986867,200
1775045250177903872,1775045250177903872,1775045250186163232,0.000000,8.259360,8.259360,200
1775045250227583067,1775045250227583067,1775045250237662027,0.000000,10.078960,10.078960,200
1775045250261241425,1775045250261241425,1775045250278319854,0.000000,17.078429,17.078429,200
1775045250307541882,1775045250307541882,1775045250315782694,0.000000,8.240812,8.240812,200
1775045250358875173,1775045250358875173,1775045250379700046,0.000000,20.824873,20.824873,200
1775045250392527706,1775045250392527706,1775045250410830690,0.000000,18.302984,18.302984,200
1775045250436748324,1775045250436748324,1775045250464370846,0.000000,27.622522,27.622522,200
1775045250472666746,1775045250472666746,1775045250482640110,0.000000,9.973364,9.973364,200
1775045250524497861,1775045250524497861,1775045250533045793,0.000000,8.547932,8.547932,200
1775045250572022141,1775045250572022141,1775045250584250738,0.000000,12.228597,12.228597,200
1775045250620907161,1775045250620907161,1775045250632696240,0.000000,11.789079,11.789079,200
1775045250661979291,1775045250661979291,1775045250669782254,0.000000,7.802963,7.802963,200
1775045250707969273,1775045250707969273,1775045250722021554,0.000000,14.052281,14.052281,200
1775045250738414512,1775045250738414512,1775045250757986323,0.000000,19.571811,19.571811,200
1775045250776176392,1775045250776176392,1775045250789514341,0.000000,13.337949,13.337949,200
1775045250809630528,1775045250809630528,1775045250838218322,0.000000,28.587794,28.587794,200
1775045250844379503,1775045250844379503,1775045250860228151,0.000000,15.848648,15.848648,200
1775045250877583625,1775045250877583625,1775045250886963960,0.000000,9.380335,9.380335,200
1775045250909125177,1775045250909125177,1775045250918406579,0.000000,9.281402,9.281402,200
1775045250940508707,1775045250940508707,1775045250948336613,0.000000,7.827906,7.827906,200
1775045250975132293,1775045250975132293,1775045250983379637,0.000000,8.247344,8.247344,200
1775045251014261351,1775045251014261351,1775045251022633296,0.000000,8.371945,8.371945,200
1775045251044382558,1775045251044382558,1775045251053125742,0.000000,8.743184,8.743184,200
1775045251093674634,1775045251093674634,1775045251101755865,0.000000,8.081231,8.081231,200
1775045251128339851,1775045251128339851,1775045251135536279,0.000000,7.196428,7.196428,200
1775045251156544675,1775045251156544675,1775045251171149838,0.000000,14.605163,14.605163,200
1775045251202480067,1775045251202480067,1775045251211579029,0.000000,9.098962,9.098962,200
1775045251250172190,1775045251250172190,1775045251270273026,0.000000,20.100836,20.100836,200
1775045251278500127,1775045251278500127,1775045251287330442,0.000000,8.830315,8.830315,200
1775045251306969533,1775045251306969533,1775045251329112716,0.000000,22.143183,22.143183,200
1775045251336749728,1775045251336749728,1775045251347457653,0.000000,10.707925,10.707925,200
1775045251368006911,1775045251368006911,1775045251378053777,0.000000,10.046866,10.046866,200
1775045251419552366,1775045251419552366,1775045251430576478,0.000000,11.024112,11.024112,200
1775045251448475869,1775045251448475869,1775045251461934707,0.000000,13.458838,13.458838,200
1775045251479754537,1775045251479754537,1775045251488176796,0.000000,8.422259,8.422259,200
1775045251508380648,1775045251508380648,1775045251530889219,0.000000,22.508571,22.508571,200
1775045251538618129,1775045251538618129,1775045251547986252,0.000000,9.368123,9.368123,200
1775045251569872383,1775045251569872383,1775045251578915895,0.000000,9.043512,9.043512,200
1775045251607890231,1775045251607890231,1775045251620288955,0.000000,12.398724,12.398724,200
1775045251651847937,1775045251651847937,1775045251662712649,0.000000,10.864712,10.864712,200
1775045251682152505,1775045251682152505,1775045251691639063,0.000000,9.486558,9.486558,200
1775045251728611154,1775045251728611154,1775045251740685106,0.000000,12.073952,12.073952,200
1775045251774550061,1775045251774550061,1775045251785958686,0.000000,11.408625,11.408625,200
1775045251802817751,1775045251802817751,1775045251818017949,0.000000,15.200198,15.200198,200
1775045251829732098,1775045251829732098,1775045251837545971,0.000000,7.813873,7.813873,200
1775045251859170220,1775045251859170220,1775045251866781630,0.000000,7.611410,7.611410,200
1775045251886583885,1775045251886583885,1775045251903545466,0.000000,16.961581,16.961581,200
1775045251917597393,1775045251917597393,1775045251927126159,0.000000,9.528766,9.528766,200
1775045251952210819,1775045251952210819,1775045251969178681,0.000000,16.967862,16.967862,200
1775045251984052108,1775045251984052108,1775045252001488295,0.000000,17.436187,17.436187,200
1775045252016160504,1775045252016160504,1775045252023606476,0.000000,7.445972,7.445972,200
1775045252066036689,1775045252066036689,1775045252077270832,0.000000,11.234143,11.234143,200
