arrival_unix_ns,service_ms,queue_ms,response_ms,status_code
1775045400089813261,7.587518,0.200898,7.788416,200
1775045400100855271,8.726009,0.149716,8.875725,200
1775045400089892656,8.775996,0.171189,8.947185,200
1775045400122816068,10.164644,0.175117,10.339761,200
1775045400120211669,9.883064,0.171800,10.054864,200
1775045400122231437,10.659206,0.161931,10.821137,200
1775045400155882354,8.968807,0.132512,9.101319,200
1775045400160899778,8.455468,0.142733,8.598201,200
1775045400174572588,9.084425,0.162251,9.246676,200
1775045400167085245,8.963114,0.149527,9.112641,200
1775045400176579252,7.092948,0.129346,7.222294,200
1775045400203127526,8.021428,0.143223,8.164651,200
1775045400203201753,7.937301,0.112864,8.050165,200
1775045400209202059,7.450477,0.181600,7.632077,200
1775045400222046697,7.533150,0.138545,7.671695,200
1775045400222000165,8.783318,0.144256,8.927574,200
1775045400222438413,7.519844,0.144537,7.664381,200
1775045400259488983,8.272616,0.175348,8.447964,200
1775045400255601055,9.244121,0.115910,9.360031,200
1775045400259160332,9.402957,0.150458,9.553415,200
1775045400275189959,9.236901,0.281418,9.518319,200
1775045400274782486,6.300771,0.152172,6.452943,200
1775045400280512885,7.194232,0.121461,7.315693,200
1775045400309027484,7.722799,0.107403,7.830202,200
1775045400308898627,8.220796,0.139377,8.360173,200
1775045400317180475,7.062802,0.144877,7.207679,200
1775045400349153970,6.854238,0.213964,7.068202,200
1775045400343640911,8.217522,0.107143,8.324665,200
1775045400349184016,6.669392,0.207661,6.877053,200
1775045400373927371,11.258869,0.151811,11.410680,200
1775045400366429063,16.160511,0.241729,16.402240,200
1775045400366419509,9.314756,0.178734,9.493490,200
1775045400410167694,6.732978,0.111350,6.844328,200
1775045400410056314,7.124029,0.103435,7.227464,200
1775045400417171990,7.385561,0.148174,7.533735,200
1775045400448140012,8.681600,0.117643,8.799243,200
1775045400447803084,8.185517,0.131190,8.316707,200
1775045400452867162,7.592341,0.148214,7.740555,200
1775045400492844064,8.148664,0.129356,8.278020,200
1775045400487800160,7.205234,0.112002,7.317236,200
