arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775045400089813261,1775045400089813261,1775045400097400779,0.000000,7.587518,7.587518,200
1775045400089892656,1775045400089892656,1775045400098668652,0.000000,8.775996,8.775996,200
1775045400100855271,1775045400100855271,1775045400109581280,0.000000,8.726009,8.726009,200
1775045400120211669,1775045400120211669,1775045400130094733,0.000000,9.883064,9.883064,200
1775045400122231437,1775045400122231437,1775045400132890643,0.000000,10.659206,10.659206,200
1775045400122816068,1775045400122816068,1775045400132980712,0.000000,10.164644,10.164644,200
1775045400155882354,1775045400155882354,1775045400164851161,0.000000,8.968807,8.968807,200
1775045400160899778,1775045400160899778,1775045400169355246,0.000000,8.455468,8.455468,200
1775045400167085245,1775045400167085245,1775045400176048359,0.000000,8.963114,8.963114,200
1775045400174572588,1775045400174572588,1775045400183657013,0.000000,9.084425,9.084425,200
1775045400176579252,1775045400176579252,1775045400183672200,0.000000,7.092948,7.092948,200
1775045400203127526,1775045400203127526,1775045400211148954,0.000000,8.021428,8.021428,200
1775045400203201753,1775045400203201753,1775045400211139054,0.000000,7.937301,7.937301,200
1775045400209202059,1775045400209202059,1775045400216652536,0.000000,7.450477,7.450477,200
1775045400222000165,1775045400222000165,1775045400230783483,0.000000,8.783318,8.783318,200
1775045400222046697,1775045400222046697,1775045400229579847,0.000000,7.533150,7.533150,200
1775045400222438413,1775045400222438413,1775045400229958257,0.000000,7.519844,7.519844,200
1775045400255601055,1775045400255601055,1775045400264845176,0.000000,9.244121,9.244121,200
1775045400259160332,1775045400259160332,1775045400268563289,0.000000,9.402957,9.402957,200
1775045400259488983,1775045400259488983,1775045400267761599,0.000000,8.272616,8.272616,200
1775045400274782486,1775045400274782486,1775045400281083257,0.000000,6.300771,6.300771,200
1775045400275189959,1775045400275189959,1775045400284426860,0.000000,9.236901,9.236901,200
1775045400280512885,1775045400280512885,1775045400287707117,0.000000,7.194232,7.194232,200
1775045400308898627,1775045400308898627,1775045400317119423,0.000000,8.220796,8.220796,200
1775045400309027484,1775045400309027484,1775045400316750283,0.000000,7.722799,7.722799,200
1775045400317180475,1775045400317180475,1775045400324243277,0.000000,7.062802,7.062802,200
1775045400343640911,1775045400343640911,1775045400351858433,0.000000,8.217522,8.217522,200
1775045400349153970,1775045400349153970,1775045400356008208,0.000000,6.854238,6.854238,200
1775045400349184016,1775045400349184016,1775045400355853408,0.000000,6.669392,6.669392,200
1775045400366419509,1775045400366419509,1775045400375734265,0.000000,9.314756,9.314756,200
1775045400366429063,1775045400366429063,1775045400382589574,0.000000,16.160511,16.160511,200
1775045400373927371,1775045400373927371,1775045400385186240,0.000000,11.258869,11.258869,200
1775045400410056314,1775045400410056314,1775045400417180343,0.000000,7.124029,7.124029,200
1775045400410167694,1775045400410167694,1775045400416900672,0.000000,6.732978,6.732978,200
1775045400417171990,1775045400417171990,1775045400424557551,0.000000,7.385561,7.385561,200
1775045400447803084,1775045400447803084,1775045400455988601,0.000000,8.185517,8.185517,200
1775045400448140012,1775045400448140012,1775045400456821612,0.000000,8.681600,8.681600,200
1775045400452867162,1775045400452867162,1775045400460459503,0.000000,7.592341,7.592341,200
1775045400487800160,1775045400487800160,1775045400495005394,0.000000,7.205234,7.205234,200
1775045400492844064,1775045400492844064,1775045400500992728,0.000000,8.148664,8.148664,200
1775045400492916136,1775045400492916136,1775045400500290876,0.000000,7.374740,7.374740,200
1775045400509424743,1775045400509424743,1775045400517680519,0.000000,8.255776,8.255776,200
1775045400509428458,1775045400509428458,1775045400519712694,0.000000,10.284236,10.284236,200
1775045400517420451,1775045400517420451,1775045400526214414,0.000000,8.793963,8.793963,200
1775045400545029065,1775045400545029065,1775045400551844416,0.000000,6.815351,6.815351,200
1775045400545141459,1775045400545141459,1775045400552792937,0.000000,7.651478,7.651478,200
1775045400545727777,1775045400545727777,1775045400554163841,0.000000,8.436064,8.436064,200
1775045400583866856,1775045400583866856,1775045400592126903,0.000000,8.260047,8.260047,200
1775045400584026552,1775045400584026552,1775045400592670671,0.000000,8.644119,8.644119,200
1775045400593855389,1775045400593855389,1775045400600788644,0.000000,6.933255,6.933255,200
1775045400602282385,1775045400602282385,1775045400609113687,0.000000,6.831302,6.831302,200
1775045400602313603,1775045400602313603,1775045400609240770,0.000000,6.927167,6.927167,200
1775045400620481464,1775045400620481464,1775045400629117373,0.000000,8.635909,8.635909,200
1775045400620834910,1775045400620834910,1775045400628055604,0.000000,7.220694,7.220694,200
1775045400624923146,1775045400624923146,1775045400631449714,0.000000,6.526568,6.526568,200
1775045400657030749,1775045400657030749,1775045400675759134,0.000000,18.728385,18.728385,200
1775045400657168913,1775045400657168913,1775045400673790334,0.000000,16.621421,16.621421,200
1775045400660767747,1775045400660767747,1775045400677988232,0.000000,17.220485,17.220485,200
1775045400681864560,1775045400681864560,1775045400696182805,0.000000,14.318245,14.318245,200
1775045400682114722,1775045400682114722,1775045400695563989,0.000000,13.449267,13.449267,200
1775045400703513874,1775045400703513874,1775045400713148945,0.000000,9.635071,9.635071,200
1775045400709029372,1775045400709029372,1775045400728755233,0.000000,19.725861,19.725861,200
1775045400710773178,1775045400710773178,1775045400719708762,0.000000,8.935584,8.935584,200
1775045400757692311,1775045400757692311,1775045400771709279,0.000000,14.016968,14.016968,200
1775045400768448966,1775045400768448966,1775045400778254515,0.000000,9.805549,9.805549,200
1775045400773524204,1775045400773524204,1775045400782586549,0.000000,9.062345,9.062345,200
1775045400805215833,1775045400805215833,1775045400814142529,0.000000,8.926696,8.926696,200
1775045400805316209,1775045400805316209,1775045400814256155,0.000000,8.939946,8.939946,200
1775045400809203459,1775045400809203459,1775045400818460697,0.000000,9.257238,9.257238,200
1775045400846862921,1775045400846862921,1775045400855720213,0.000000,8.857292,8.857292,200
1775045400852814413,1775045400852814413,1775045400861126561,0.000000,8.312148,8.312148,200
1775045400852948013,1775045400852948013,1775045400861318330,0.000000,8.370317,8.370317,200
1775045400868775245,1775045400868775245,1775045400876583511,0.000000,7.808266,7.808266,200
1775045400868932024,1775045400868932024,1775045400877908319,0.000000,8.976295,8.976295,200
1775045400873075846,1775045400873075846,1775045400881790963,0.000000,8.715117,8.715117,200
1775045400907722069,1775045400907722069,1775045400926187960,0.000000,18.465891,18.465891,200
1775045400907722082,1775045400907722082,1775045400917110094,0.000000,9.388012,9.388012,200
1775045400908642112,1775045400908642112,1775045400925240738,0.000000,16.598626,16.598626,200
1775045400935387347,1775045400935387347,1775045400944486485,0.000000,9.099138,9.099138,200
1775045400936891438,1775045400936891438,1775045400945850648,0.000000,8.959210,8.959210,200
1775045400941012124,1775045400941012124,1775045400954427702,0.000000,13.415578,13.415578,200
1775045400962505125,1775045400962505125,1775045400971105783,0.000000,8.600658,8.600658,200
1775045400962540927,1775045400962540927,1775045400971381062,0.000000,8.840135,8.840135,200
1775045400973589909,1775045400973589909,1775045400984921800,0.000000,11.331891,11.331891,200
1775045401007436227,1775045401007436227,1775045401017423563,0.000000,9.987336,9.987336,200
1775045401007801160,1775045401007801160,1775045401019885814,0.000000,12.084654,12.084654,200
1775045401013147659,1775045401013147659,1775045401022378310,0.000000,9.230651,9.230651,200
1775045401051935583,1775045401051935583,1775045401061160059,0.000000,9.224476,9.224476,200
1775045401051939170,1775045401051939170,1775045401068875070,0.000000,16.935900,16.935900,200
1775045401057525494,1775045401057525494,1775045401070664050,0.000000,13.138556,13.138556,200
1775045401098808541,1775045401098808541,1775045401109763091,0.000000,10.954550,10.954550,200
1775045401099682327,1775045401099682327,1775045401111705172,0.000000,12.022845,12.022845,200
1775045401101092062,1775045401101092062,1775045401110378310,0.000000,9.286248,9.286248,200
1775045401125959837,1775045401125959837,1775045401135483110,0.000000,9.523273,9.523273,200
1775045401128806383,1775045401128806383,1775045401137952635,0.000000,9.146252,9.146252,200
1775045401137198379,1775045401137198379,1775045401144964124,0.000000,7.765745,7.765745,200
1775045401148706644,1775045401148706644,1775045401157508873,0.000000,8.802229,8.802229,200
1775045401149335475,1775045401149335475,1775045401158392229,0.000000,9.056754,9.056754,200
1775045401172822541,1775045401172822541,1775045401187637150,0.000000,14.814609,14.814609,200
