arrival_unix_ns,sim_service_start_unix_ns,sim_service_end_unix_ns,sim_queue_ms,sim_service_ms,sim_response_ms,sim_status
1775045706246725288,1775045706246725288,1775045706256680741,0.000000,9.955453,9.955453,200
1775045706250685547,1775045706250685547,1775045706260531179,0.000000,9.845632,9.845632,200
1775045706256761452,1775045706256761452,1775045706266843313,0.000000,10.081861,10.081861,200
1775045706277455653,1775045706277455653,1775045706291244231,0.000000,13.788578,13.788578,200
1775045706277483598,1775045706277483598,1775045706287502499,0.000000,10.018901,10.018901,200
1775045706280188880,1775045706280188880,1775045706286101822,0.000000,5.912942,5.912942,200
1775045706309918638,1775045706309918638,1775045706321878156,0.000000,11.959518,11.959518,200
1775045706309980931,1775045706309980931,1775045706319475054,0.000000,9.494123,9.494123,200
1775045706316496774,1775045706316496774,1775045706326176830,0.000000,9.680056,9.680056,200
1775045706338568383,1775045706338568383,1775045706349571793,0.000000,11.003410,11.003410,200
1775045706338677773,1775045706338677773,1775045706350185534,0.000000,11.507761,11.507761,200
1775045706339240864,1775045706339240864,1775045706355710805,0.000000,16.469941,16.469941,200
1775045706371287889,1775045706371287889,1775045706384837839,0.000000,13.549950,13.549950,200
1775045706371288660,1775045706371288660,1775045706382269314,0.000000,10.980654,10.980654,200
1775045706380377652,1775045706380377652,1775045706388297360,0.000000,7.919708,7.919708,200
1775045706403540577,1775045706403540577,1775045706410661014,0.000000,7.120437,7.120437,200
1775045706403801550,1775045706403801550,1775045706415371700,0.000000,11.570150,11.570150,200
1775045706409126174,1775045706409126174,1775045706426558560,0.000000,17.432386,17.432386,200
1775045706424348550,1775045706424348550,1775045706435041975,0.000000,10.693425,10.693425,200
1775045706424411606,1775045706424411606,1775045706434512864,0.000000,10.101258,10.101258,200
1775045706428660800,1775045706428660800,1775045706441574831,0.000000,12.914031,12.914031,200
1775045706453196746,1775045706453196746,1775045706459210257,0.000000,6.013511,6.013511,200
1775045706453392634,1775045706453392634,1775045706462723913,0.000000,9.331279,9.331279,200
1775045706460463063,1775045706460463063,1775045706473172833,0.000000,12.709770,12.709770,200
1775045706486867304,1775045706486867304,1775045706501596532,0.000000,14.729228,14.729228,200
1775045706487731907,1775045706487731907,1775045706497324151,0.000000,9.592244,9.592244,200
1775045706488376391,1775045706488376391,1775045706500541536,0.000000,12.165145,12.165145,200
