Server,c,S0,best_model,beta,slope,R2,RMSE_ms,rho0_min,rho0_max,rho_obs_min,rho_obs_max,ratio,constant?
Apache DSP (1c),1,3.242,M1 linear,0.999,30.54,0.421,1.004,0.032,0.243,0.025,0.435,4.48,NO
Apache MSG (1c),1,2.062,M1 linear,0.999,6.816,0.615,0.129,0.021,0.103,0.02,0.123,4.48,NO
Go lognormal (1c),1,1.418,M1 linear,0.999,6.554,0.713,0.209,0.071,0.284,0.061,0.435,4.48,NO
Go SQLite (1c),1,10.786,M0 constant,0.0,0.0,0.0,0.327,0.108,0.809,0.113,0.803,1.0,YES
Java DSP (1c),1,0.376,M0 constant,0.999,0.867,0.119,0.153,0.009,0.225,0.003,0.068,4.48,NO
Node DSP (1c),1,0.831,M1 linear,0.999,4.945,0.561,0.233,0.042,0.332,0.032,0.564,4.48,NO
Python DSP (1c),1,8.186,M0 constant,0.0,0.0,-0.0,0.198,0.082,0.614,0.085,0.613,1.0,YES
Python DSP (3c),3,9.702,M1 linear,0.324,4.419,0.751,0.502,0.081,0.647,0.078,0.794,1.31,NO
Node DSP (3c),3,1.068,M0 constant,0.031,0.036,0.041,0.049,0.071,0.854,0.071,0.843,1.02,YES
Java DSP (3c),3,0.303,M0 constant,0.0,0.0,-0.0,0.086,0.01,0.081,0.016,0.069,1.0,YES
Go SQLite (3c),3,4.991,M2 hyperbolic,0.318,2.088,0.967,0.085,0.083,0.665,0.087,0.845,1.3,NO
